source_name,review_date,critic_name,review_detail,movie_name
leonardmaltin.com," December 16, 2016",Leonard Maltin, Neruda offers a captivating and unusual approach to a famous person's life. I know little about the poet but I fell under this movie's sway,Neruda 
RogerEbert.com," December 16, 2016",Glenn Kenny," Neruda is, like all the LarraÌ_n films I've seen, laudable in its ambitions and ultimately unsatisfying in its execution.",Neruda 
Cinemalogue.com," December 16, 2016",Todd Jorgenson," Evocative and dramatically compelling, the film drifts between fantasy and reality in a way that Neruda himself would appreciate.",Neruda 
Globe and Mail," December 16, 2016",Eva Salinas," Is Neruda a cinematic play, a poem, a biopic? In this near-perfect homage to a literary giant, it's all open to interpretation.",Neruda 
New York Times," December 15, 2016",A.O. Scott," For anyone who believes that poetry and democracy spring from the same source and provoke the same enemies, this movie provides both encouragement and warning.",Neruda 
Kaplan vs. Kaplan," December 15, 2016",Jeanne Kaplan," ""Neruda"" is a brilliant study of a man's passion for life and poetry. Gnecco brings this eccentric, beloved poet to life with wit and panache. ",Neruda 
CinemanÌ_a (Spain)," February 8, 2017",Daniel de Partearroyo, A story capable of subvert class and of race topics in a clever way with a deep and human portrait that annihilates various prejudices and archetypes along the way. [Full review in Spanish],Moonlight 
Excelsior," February 7, 2017",AdriÌÁn Ruiz," A film that explores solitude, uncertainty and it's intimate and possesses beauty. The filmmaker relies on sounds and camera locations that allow you to feel what the protagonist experiences. [Full review in Spanish]",Moonlight 
CinemanÌ_a (Spain)," February 7, 2017",Yago GarcÌ_a," A story of indefinition. Of a life in constant danger of being shattered, not by the lack of options (although also), but by having to choose between many, and no good. [Full review in Spanish]",Moonlight 
The Skinny," February 6, 2017",Josh Slater-Williams," An authentic, complex, operatic, boldly expressive meditation on the circularity of time, alongside identity and love in all their forms.",Moonlight 
Urban Cinefile," February 5, 2017",Louise Keller," While the muffled dialogue and slang may stop you from understanding every word, one thing is sure, there is no mistaking the powerful statement this exploration of the Afro American male makes.... The subject matter is tough; the experience is touching",Moonlight 
ABC Radio Brisbane," February 4, 2017",Matthew Toomey, This is a remarkably good movie about one man trying to find love and his place in the world.,Moonlight 
El Financiero," February 3, 2017",Daniel Krauze," In Moonlight sex and sexuality are key. However, it's a strangely asexual film. A more like a thesis about desire more than a cinematographic experience. [Full review in Spanish]",Moonlight 
Independent Online (South Africa)," February 3, 2017",Theolin Tembo," Moonlight may not be a film for everyone, but it's a film everyone should be encouraged to see.",Moonlight 
International Business Times," February 3, 2017",Amy West," What it does manage to say -- be it about community, tolerance, gay masculinity or most obviously, the concept of inevitability -- it puts across beautifully and poignantly.",Moonlight 
Otroscines.com," February 2, 2017",Diego Battle," A beautiful and noble film (could be seen as a sort of african american version of Boyhood), but far from that less than revolutionary spirit that a lot of american critics and the Hollywood Academy itself exalted. [Full review in Spanish]",Moonlight 
Chicago Reader," February 2, 2017",J. R. Jones, An intimate and haunting drama.,Moonlight 
El antepenÌ¼ltimo mohicano," February 1, 2017",Alberto SÌÁez Villarino," A film that insists on a reflective narrative advance, with no special effects of great spectacularity, providing an alternative vision of that tragic determinism that dictates the life of the African American ghetto inexorably. [Full review in Spanish]",Moonlight 
Cine VÌ©rtigo," February 1, 2017",Ernesto Diezmartinez," Jenkins gives us a sensitive chronicle of growth, maturation and self-acceptance. A remarkable film. [Full review in Spanish]",Moonlight 
Letras Libres," February 1, 2017",Fernanda SolÌ_rzano," Although it's not bad, I found it overrated, as it tells a story through a trite narrative formula and flat characters that we've already been seen in dozens of films. [Full review in Spanish]",Moonlight 
Siete24.mx," February 1, 2017",Mario P. SzÌ©kely," One of the best films of 2016, that tells us that our humanity emerges when we feel empathy and compassion. When we see each other and learn to forgive ourselves. [Full review in Spanish]",Moonlight 
Excelsior," February 1, 2017",Lucero SolÌ_rzano," A well-made, simple and unpretentious film that reflects in a sensitive and profound way around the human condition. [Full review in Spanish]",Moonlight 
Cinema Movil," February 1, 2017",Gonzalo Lira GalvÌÁn," One of the most important and urgent premieres to watch, as it tackles the topics it talks about with integrity, ambiguity and lots of dignity. [Full review in Spanish]",Moonlight 
Cinegarage," February 1, 2017",Erick Estrada, Smaller and more modest than other great productions this story has subtle yet powerful attributes. [Full review in Spanish],Moonlight 
Butaca Ancha," February 1, 2017",JJ Negrete," A film that, rather than responding to tendencies or needs of genres or easy labels, finds its power in the humane through a viscerality of various nuances that finds a unique eloquence in its cast. [Full review in Spanish]",Moonlight 
Little White Lies," February 1, 2017",Charles Bramesco," A personal/political triptych which offers keen perspectives on masculinity, queer sexuality, racial identity, and the odd angles at which they intersect.",Moonlight 
Collider," September 5, 2016",Brian Formo," There's warmth and tension in every frame, mostly from characters trying to find the right words or motions to express themselves.",Moonlight 
Screen International," September 4, 2016",Tim Grierson," An indelible portrait of an imperilled life, ""Moonlight"" is a devastating depiction of masculinity, race and identity. Ambitious in scope but precise in its execution, this deceptively small-scale character piece reverberates with compassion and insight.",Moonlight 
Guardian," September 3, 2016",Benjamin Lee, A rarely seen portrait of what it really means to be a black gay man in America today. It's a stunning achievement.,Moonlight 
Hollywood Reporter," September 3, 2016",David Rooney, Glows like its title.,Moonlight 
Variety," September 3, 2016",Peter Debruge," Barry Jenkins' vital portrait of a South Florida youth revisits the character at three stages in his life, offering rich insights into the contemporary African-American experience.",Moonlight 
indieWire," September 2, 2016",Eric Kohn, The story's power comes from the gaps between words - and an ongoing battle to find the right ones.,Moonlight 
TheWrap," September 2, 2016",Sam Fragoso," Jenkins and McCraney have artfully cobbled together something that is impressionistic and wondrous, like a compendium of half-remembered memories, tinged by sadness.",Moonlight 
The Playlist," September 2, 2016",Gregory Ellwood," There have simply not been enough films about the gay experience of African-Americans or other people of color for that matter. Is is not hyperbole to note Barry Jenkins' magnificent new drama ""Moonlight"" is a historic achievement in this regard.",Moonlight 
Movie Mezzanine," September 16, 2016",Kenji Fujishima, Humane and deeply moving.,Moonlight 
Nerdist," September 16, 2016",Noah Gittell," With repressed men of all races increasingly finding reason to lash out, Moonlight asks us to put down our arms and open our hearts.",Moonlight 
BBC.com," September 16, 2016",Sam Adams, The work of a major film-maker and not just a promising one.,Moonlight 
JoBlo's Movie Emporium," September 16, 2016",Chris Bumbray, A staggering work.,Moonlight 
Slant Magazine," September 15, 2016",Jake Cole, The acting elevates the clichÌ©s of Barry Jenkins's script into something approaching lived truth. ,Moonlight 
CraveOnline," September 15, 2016",William Bibbiani," That rare film that seems to wholly capture a human experience, in all of its tragedy and wonder.",Moonlight 
PopMatters," September 15, 2016",Stephen Mayne, Understated and thought-provoking.,Moonlight 
London Evening Standard," September 15, 2016",David Sexton," Moonlight is mesmerically, sometimes swooningly, shot and scored, and well-acted all round too.",Moonlight 
Cinema Movil," September 15, 2016",Oscar Uriel, A memorable drama that analyzes the way we relate with each other under modern society standards. [Full review in Spanish],Moonlight 
The Verge," September 15, 2016",Tasha Robinson," One of Moonlight's remarkable strengths is how completely it avoids preaching, after-school messaging, or pat cinematic answers.",Moonlight 
Vox," September 14, 2016",Todd VanDerWerff," One of the year's best films, one of those movies that sneaks up on you and packs a wallop in the end.",Moonlight 
TIME Magazine," September 14, 2016",Stephanie Zacharek," Leaves you feeling both stripped bare and restored, slightly better prepared to step out and face the world of people around you, with all the confounding challenges they present. There's not much more you can ask from a movie.",Moonlight 
RogerEbert.com," September 13, 2016",Brian Tallerico," Moonlight is a film that is both lyrical and deeply grounded in its character work, a balancing act that's breathtaking to behold.",Moonlight 
The Film Stage," September 13, 2016",Jared Mobarak, Moonlight is a quietly introspective depiction steeped in unparalleled honesty of the ways in which we're saved and damned throughout our lives.,Moonlight 
ScreenCrush," September 12, 2016",Erin Whitney," A masterpiece of poetic filmmaking, Moonlight is one of the most powerful films of the year.",Moonlight 
Time Out," September 11, 2016",Joshua Rothkopf," Moonlight takes the pain of growing up and turns it into hardened scars and private caresses. This film is, without a doubt, the reason we go to the movies: to understand, to come closer, to ache -- hopefully with another.",Moonlight 
Uproxx," September 10, 2016",Mike Ryan, Moonlight is a beautiful piece of filmmaking.,Moonlight 
NOW Toronto," September 9, 2016",Radheyan Simonpillai," Jenkins balances raw honesty with dreamy imagery and keeps his narrative loose, riding emotional beats instead of getting trapped inside a finite beginning and end. That is exactly how it should be.",Moonlight 
Vanity Fair," September 9, 2016",Richard Lawson," A triptych illustrating the tidal ebb and flow of identity, Jenkins's film is awash in dreaminess, while still examining the life of one young man with piercing clarity.",Moonlight 
Film Freak Central," September 6, 2016",Walter Chaw," Moonlight is always in tension with itself. Sometimes it wins and turns into something absolutely, rapturously lovely. Sometimes it loses.",Moonlight 
Metro," October 18, 2016",Matt Prigge," By the end, calling ""Moonlight"" an ""important"" film seems like an insult. It's even better than that.",Moonlight 
The Movie Minute," October 18, 2016",Joanna Langfield, This achingly beautiful coming of ager leaves its mark on both heart and soul.,Moonlight 
New York Daily News," October 14, 2016",Stephen Whitty," ""Moonlight"" glows.",Moonlight 
Scotsman," October 11, 2016",Alistair Harkness, A remarkable drama about a young black American man wrestling with his sexuality in a society already prejudiced against him because of the colour of his skin.,Moonlight 
Times (UK)," October 7, 2016",Kate Muir," An elegiac, raw, painful film that explores the strangeness of growing up gay in Miami's black community in the 1980s.",Moonlight 
NY1-TV," October 21, 2016",Neil Rosen, It's a touching film that sensitively explores one person's search to find out who he is.,Moonlight 
CNN.com," October 21, 2016",Brian Lowry," Deeply affecting, Moonlight is a small, beautifully told story that resonates well beyond the time spent in the theater.",Moonlight 
AllMovie," October 21, 2016",Daniel Gelb, Jenkins' emotionally resonant and ambitious approach to filmmaking allows the picture to outshine its shortcomings.,Moonlight 
NYC Movie Guru," October 20, 2016",Avi Offer," Well-acted with exquisite cinematography and has its fair share of poignant moments, but it falls short of reaching the heights of powerful coming-of-age classics like Boyhood. ",Moonlight 
Wall Street Journal," October 20, 2016",John Anderson," Exhilaration and melancholy are dispensed in equal doses by Moonlight, destined to be one of the better-reviewed films of this year, and for good reason: It's a masterpiece -- an overused word, but not the wrong one.",Moonlight 
NPR," October 20, 2016",Ella Taylor," By the end, you may long for a fourth chapter.",Moonlight 
New York Post," October 20, 2016",Sara Stewart," There is so much pain in ""Moonlight"" that it's a little hard to breathe at certain moments. But there are others, of connection and redemption, that positively glow.",Moonlight 
Maclean's Magazine," October 20, 2016",John Semley," Moonlight provides a candid, achingly melancholic portrait of marginalization in America.",Moonlight 
Bullz-Eye.com," October 20, 2016",Jason Zingale, An important and affecting piece of LGBT cinema that comes at a time when the world (and especially this nation) needs more stories like it.,Moonlight 
Chicago Reader," October 20, 2016",Leah Pickett, A haunting piece of high art.,Moonlight 
AV Club," October 20, 2016",A.A. Dowd," Moonlight tells a coming-of-age story in passages, each possessed of enough stand-alone power to operate as a wonderful short film, even as the whole proves much greater than the sum of the parts.",Moonlight 
Slate," October 20, 2016",Dana Stevens, Jenkins mounts no soapboxes and brandishes no manifestos in his attempt to illuminate the inner life of this troubled boy turned teenager turned man. Instead he shows us the love that other characters feel for Chiron ...,Moonlight 
Entertainment Weekly," October 20, 2016",Chris Nashawaty, Easily one of the most personal and most powerful films of the year.,Moonlight 
Rolling Stone," October 20, 2016",Peter Travers," Barry Jenkins' game-changer about growing up black, gay and alienated in the Miami projects is both intimate and epic. It gets inside your head, makes you see the world with new eyes- and then it owns you. ",Moonlight 
The New Republic," October 20, 2016",Will Leitch," Moonlight is a film so measured, so delicate and powerful, that it proves to be sensitive in ways most movies aren't, even in ways most of life isn't.",Moonlight 
Los Angeles Times," October 20, 2016",Kenneth Turan," ""Moonlight"" is magic.",Moonlight 
Village Voice," October 20, 2016",Melissa Anderson," A question is posed to the main character of Barry Jenkins's wondrous, superbly acted new film, Moonlight: ""Who is you, man?""",Moonlight 
New York Magazine/Vulture," October 19, 2016",David Edelstein," Hype would bruise Barry Jenkins's Moonlight, which is so delicate in its touch that the usual superlatives sound unusually shrill. It's the gentlest, most suggestive of great films.",Moonlight 
Under the Radar," October 19, 2016",Stephen Danay," A work of art all its own, thoughtfully made and deeply affecting.",Moonlight 
Film Journal International," October 18, 2016",Chris Barsanti," Floridly shot, richly humanistic drama about a young man coming of age in a rough Miami slum tangles with love, violence, identity, addiction and sexuality.",Moonlight 
RedEye," October 27, 2016",Lauren Chval," Moonlight is incredible -- poetic, haunting, gorgeous, ambitious.",Moonlight 
Mark Reviews Movies," October 27, 2016",Mark Dujsik, This is a wholly special and candidly heartfelt film.,Moonlight 
Toronto Sun," October 27, 2016",Liz Braun, It's so good it may restore your faith in cinema.,Moonlight 
Washington Post," October 27, 2016",Ann Hornaday," A perfect film, one that exemplifies not only the formal and aesthetic capabilities of a medium at its most visually rich, but a capacity for empathy and compassion ...",Moonlight 
Chicago Daily Herald," October 27, 2016",Dann Gire," Barry Jenkins' character study Moonlight proves to be every bit as luminous, mysterious and elemental as its title.",Moonlight 
Miami Herald," October 27, 2016",Rene Rodriguez," ""Moonlight"" is Miami's first bonafide movie masterpiece. ",Moonlight 
Chicago Tribune," October 27, 2016",Michael Phillips," ""Moonlight"" exerts a tidal pull on your heartstrings, but honestly: It's better than that.",Moonlight 
San Francisco Chronicle," October 27, 2016",Mick LaSalle," Every year, we get only a few of these, movies that come out of nowhere, that are different, unexpected and wonderfully right. ""Moonlight"" is that kind of movie, one of the gems of 2016.",Moonlight 
Deadline Hollywood Daily," October 26, 2016",Pete Hammond, A moviing coming of age story of self discovery that should resonate with audiences and at Oscar time.,Moonlight 
Newcity," October 25, 2016",Ray Pride," Consider the thin and thick wallops of blue... Blue, blue, electric blue. Lazy blue. Electrified blue. Wash of water. Ice-blue buzz of fluorescence. Azul, azure, lapis lazuli, teal, turquoise, sea, seafoam, sky, cerulean, cobalt...",Moonlight 
Critic's Notebook," October 25, 2016",Martin Tsai," It's possible to appreciate ""Moonlight"" purely on an intellectual level. But if you happen to be gay - and especially a gay person of color - you will know exactly what a truly monumental achievement this film is.",Moonlight 
The Nation," October 24, 2016",Stuart Klawans," Mostly, [Jenkins] keeps you immersed in one young man's moment-by-moment sensations and emotions. That's a lot.",Moonlight 
New Yorker," October 24, 2016",Richard Brody," Jenkins burrows deep into his characters' pain-seared memories, creating ferociously restrained performances and confrontational yet tender images that seem wrenched from his very core.",Moonlight 
MTV," October 21, 2016",Amy Nicholson, It's a coming-of-age story that admits no one ever truly comes of age. We make choices and change shapes.,Moonlight 
Associated Press," October 21, 2016",Lindsey Bahr," Hopefully it doesn't take Jenkins another eight years to make a film. But we can take comfort in the very strong likelihood that, even if it does, it will be well worth the wait.",Moonlight 
amNewYork," October 21, 2016",Robert Levin," This is a movie set in an on-screen world that feels familiar, the American inner city, in this case one of Miami's toughest neighborhoods. But it meticulously defies the conventions typically associated with movies about that milieu.",Moonlight 
L.A. Biz," October 21, 2016",Annlee Ellingson, Cinematic poetry and one of the best films of the year.,Moonlight 
FilmDrunk," October 21, 2016",Vincent Mancini," He takes a while getting there sometimes, but director Barry Jenkins combines the personal and the political better than almost anyone. ",Moonlight 
Contactmusic.com," October 21, 2016",Rich Cline, It's a compelling and resonant drama that gets way under the skin and stays there.,Moonlight 
Newsweek," October 21, 2016",Tom Shone," This is a quiet, modestly scaled film -- a character study made by a filmmaker blessed with unusual amounts of curiosity about his characters that demands an equal commitment of patience from its audience -- but the payoff is beautiful.",Moonlight 
Philadelphia Inquirer," November 1, 2016",Tirdad Derakhshani," If you think art should challenge us, then you will embrace writer-director Barry Jenkins' exquisitely crafted drama Moonlight. It's a true American masterpiece and one of the best films of the decade.",Moonlight 
Times-Picayune," November 1, 2016",Mike Scott," Aided by beautiful, stereotype-shattering performances and subtle but rich cinematography, it is something heartfelt, stirring and unforgettable.",Moonlight 
LarsenOnFilm," October 30, 2016",Josh Larsen, ...lit with what can only be described as the aching color of compassion.,Moonlight 
The Atlantic," October 30, 2016",David Sims," This is a humane movie, one that's looking to prompt empathy and introspection most of all. On those terms, Moonlight is one of the year's most gripping viewing experiences.",Moonlight 
FilmsInReview.com," October 29, 2016",Victoria Alexander, Honest and realistic exploration of one man's journey from a neglectful childhood to adulthood and finding his own - highly personal - way in the world. The main character happens to be black and gay. ,Moonlight 
Flavorwire," October 29, 2016",Jason Bailey," This is a vivid and tremblingly lived-in portrait of young black manhood and sexuality, rendered with genuine power and grace. I've never seen anything quite like it, and most moviegoers probably haven't either.",Moonlight 
National Post," October 28, 2016",Chris Knight," Barry Jenkins' second feature is basically Boyhood if it had been made about, well, someone else. That doesn't even begin to unpack the layers and resonances in this startling drama",Moonlight 
Christian Science Monitor," October 28, 2016",Peter Rainer," So few unexploitative movies are made about young black men, especially young black gay men, that the overpraise for this frail, sweet, discursive fantasia is understandable -- and forgivable.",Moonlight 
Toronto Star," October 28, 2016",Peter Howell," It just needs to be watched and embraced, as an entirely fresh example of the power that great movies can exert on our lives.",Moonlight 
San Francisco Examiner," October 28, 2016",Anita Katz," Directing, screenwriting, acting, cinematography and music combine superbly in the movie, which is based on a play by Tarell Alvin McCraney and has been compared to Richard Linklater's Boyhood and Charles Burnett's Killer of Sheep.",Moonlight 
"Metro Weekly (Washington, DC)"," October 28, 2016",Randy Shulman," Perhaps other great films will be released between now and the end of the year, but I honestly can't imagine any being as worthy as Moonlight for every top prize.",Moonlight 
EntertainmentTell," October 28, 2016",Stephen Silver, What's most wondrous about Moonlight is that it's an uncommonly small story that has so much going on. Beautiful filmmaking on every level (Splice Today) ,Moonlight 
Reel Film Reviews," October 28, 2016",David Nusair, ...an intriguing yet erratically-paced character study. ,Moonlight 
Globe and Mail," October 28, 2016",Kate Taylor, Barry Jenkins's excellent Moonlight is a film filled with bittersweet ironies.,Moonlight 
Beliefnet," October 27, 2016",Nell Minow," We are continually challenged, yet held close to the heart of the story by its romantic lyricism and, most of all, the spacious humanity of its love for its characters. ",Moonlight 
Truthdig," October 27, 2016",Carrie Rickey," In this film, with minimal plot and dialogue, [Jenkins] brings his camera up close to his characters. Without telling us how to feel, he gives us the space to feel Chiron's inner thoughts.",Moonlight 
Punch Drunk Critics," October 27, 2016",Travis Hopson, Jenkins crafts cinematic poetry that will echo through to his next movie and beyond,Moonlight 
Chicago Sun-Times," October 27, 2016",Richard Roeper," ""Moonlight"" is gorgeous and yet bleak, uplifting and yet sobering, exhilarating but also grounded in some unshakable realities.",Moonlight 
RedEye," October 27, 2016",Lauren Chval," Moonlight is incredible -- poetic, haunting, gorgeous, ambitious.",Moonlight 
Mark Reviews Movies," October 27, 2016",Mark Dujsik, This is a wholly special and candidly heartfelt film.,Moonlight 
Cinemalogue.com," November 4, 2016",Rubin Safaya," Jenkins accomplishes a feat of narrative genius. The three stories of Little, Chiron, and Black, could exist separately as shorts... Still, we see them as one character in different stages.",Moonlight 
"Capital Times (Madison, WI)"," November 4, 2016",Rob Thomas," The film left me tremendously sad at the near hopelessness of these lives, but also invigorated by the power of Jenkins' storytelling, at once achingly specific and utterly universal.",Moonlight 
Detroit News," November 4, 2016",Adam Graham," ""Moonlight"" is a film of rare grace - a tender, compassionate, restrained look at a life lived in the shadows.",Moonlight 
Austin American-Statesman," November 3, 2016",Joe Gross," All it takes is a moment to change your life. One encounter, a tiny handful of friendships, a few life turns, fewer than you might imagine, this way or that. Barry Jenkins' exquisite character study Moonlight understands this.",Moonlight 
Baltimore Magazine," November 3, 2016",Max Weiss," Barry Jenkins' Moonlight is a deeply personal, deeply expressive film, unlike anything I've ever seen before.",Moonlight 
Reeling Reviews," November 3, 2016",Robin Clifford," Chiron's life experiences have almost all been bad but, in the end, the character is given a glimmer of hope and possible happiness.",Moonlight 
Austin Chronicle," November 3, 2016",Steve Davis," Truly, madly, deeply: There's magic in this Moonlight.",Moonlight 
San Diego Reader," November 3, 2016",Scott Marks," Bullying, poverty, closeted sexuality, drug abuse, and racial strife combine to form an overworked agenda of cultural woes that's more concerned with rubber-stamping issues than telling an original story.",Moonlight 
Boston Globe," November 3, 2016",Ty Burr," In its quietly radical grace, it's a cultural watershed - a work that dismantles all the ways our media view young black men and puts in their place a series of intimate truths.",Moonlight 
Newsday," November 3, 2016",Rafer Guzman, A deeply personal and visually mesmerizing drama that just might be the year's best movie.,Moonlight 
Reeling Reviews," November 3, 2016",Laura Clifford," As good as [Hibbert, Sanders and Rhodes] all are, it is Holland who makes the strongest impression, the director's alter ego in guiding this young man towards the light.",Moonlight 
Minneapolis Star Tribune," November 3, 2016",Colin Covert," Touching and disturbing, avoiding clichÌ©s, shattering stereotypes and succeeding from every angle.",Moonlight 
Seattle Times," November 2, 2016",Moira MacDonald," It's less a story than a collection of moments, which leaves its viewer feeling moved and changed, as if you've spent time in someone else's dreams and woke up understanding who they are.",Moonlight 
Charlotte Observer," November 2, 2016",Lawrence Toppman," It may cast a spell on anyone who has known loneliness, exclusion, feelings of inferiority or a desire to be encased in a hard shell to protect a soft interior.",Moonlight 
Orlando Weekly," November 2, 2016",Cameron Meier," If you're patient enough to stick with it, the emotional payoffs are profound.",Moonlight 
The Young Folks," November 2, 2016",Yasmin Kleinbart, Moonlight is a story that needed to be told and is achingly beautiful every step of the way.,Moonlight 
Willamette Week," November 2, 2016",Chance Solem-Pfeifer, Every piece of Moonlight is staged in service to a humanist question: What would love mean to a boy who's been conditioned to hide?,Moonlight 
Fort Worth Star-Telegram/DFW.com," November 2, 2016",Cary Darling," The film soon moves from the familiar to the foreign, becoming a textured exploration of black masculinity and coming-of-age that plumbs beyond clichÌ©s and stereotypes.",Moonlight 
Baret News," November 2, 2016",Kam Williams," A decidedly-dystopic, African-American answer to the relatively-sedate, suburban bildungsroman served up by Boyhood!",Moonlight 
Arizona Republic," November 2, 2016",Bill Goodykoontz," ""Moonlight"" is a minor miracle, a movie that mines beauty out of the ugliest situations, and a glimmer of hope from heartbreak.",Moonlight 
Movie Nation," November 12, 2016",Roger Moore," Gay coming-of-age melodramas are common enough, but this is uncommon on most every level -- extraordinary, one of the best pictures of the year. ",Moonlight 
New York Times," November 11, 2016",A.O. Scott," Moonlight is both a disarmingly, at times almost unbearably personal film and an urgent social document, a hard look at American reality and a poem written in light, music and vivid human faces.",Moonlight 
Playback:stl," November 11, 2016",Sarah Boslaugh," ...has many good moments, with some of the best coming in quiet passages when the camera is still and we can focus on the interactions of the characters. ",Moonlight 
"Vue Weekly (Edmonton, Canada)"," November 10, 2016",Josef Braun," It isn't for black audiences or art-house audiences or liberal audiences or whatever reductive cultural niche people might try to shove it into. Simply, it is one of the most striking films of the year and it is, I believe, for everyone.",Moonlight 
Salt Lake Tribune," November 10, 2016",Sean P. Means," A life, any life, is a collection of moments - and the beauty of writer-director Barry Jenkins' incandescent drama Moonlight is how he crystallizes three moments in the life of a young African-American man into a film that's so moving and beautiful.",Moonlight 
Fort Worth Weekly," November 10, 2016",Kristian M. Lin, It's one of the best things you'll see all year.,Moonlight 
Kansas City Star," November 10, 2016",David Frese," ""Moonlight"" is a poetic and poignant story of immense and oppressive loneliness.",Moonlight 
St. Louis Post-Dispatch," November 10, 2016",Calvin Wilson," Basking in this ""Moonlight"" is one of the cinematic joys of the year.",Moonlight 
Cleveland Plain Dealer," November 10, 2016",Julie Washington," At times, Chiron's life is heartbreaking, but the film ends with a life-affirming, yet understated, message. Moonlight deserves a spot among the most provocative films of the year.",Moonlight 
Las Vegas Weekly," November 9, 2016",Josh Bell," A soulful, meditative character study of a character who doesn't even understand himself.",Moonlight 
Combustible Celluloid," November 9, 2016",Jeffrey M. Anderson," Jenkins's setups and scenes are remarkably perceptive, and quietly textured.",Moonlight 
Seattle Weekly," November 8, 2016",Robert Horton," Jenkins ... tends to try on different modes, as though looking for ways to drape style around the story's bones.",Moonlight 
Spliced Personality," November 6, 2016",Sean Burns, A work of extraordinary empathy about the kind of character we seldom meet at the cinema.,Moonlight 
Black Girl Nerds," November 5, 2016",Jacqueline Coley, An intimate tale that will leave you deeply affected [and] one of the best films of 2016.,Moonlight 
One Guy's Opinion," November 5, 2016",Frank Swietek," A searing coming-of-age tale, one that goes well beyond any genre boundaries to resonate in a universal way.",Moonlight 
The Patriot Ledger," November 5, 2016",Al Alexander," It's a coming-of-age tale writ large, yet director Barry Jenkins renders it so small and intimate you almost feel like you're eavesdropping. ",Moonlight 
Boston Herald," November 5, 2016",James Verniere," A unique, brilliantly acted twist on an indie coming-of-age film. ",Moonlight 
Paste Magazine," November 4, 2016",Andy Crump," This isn't simply Jenkins' sophomore effort -- it's the defining pivot of his career, and one of 2016's most essential pictures.",Moonlight 
Georgia Straight," November 4, 2016",Ken Eisner," Jenkins lets the scenes play out with organic ease, and cinematographer James Laxton physicalizes the locations with a kind of off-kilter poetry.",Moonlight 
National Review," November 4, 2016",Armond White," Moonlight's best moments come in Little's reaction to Juan's affection, but later scenes of Chiron's erotic confusion and Black's maudlin self-pity (he wears muscular drag yet succumbs to weakness) insist that viewers feel sorry for black gay males.",Moonlight 
PopMatters," December 1, 2016",Kyle Aaronson," Despite its melancholy, and at times upsetting subject matter, Moonlight is a film with a genuine, openhearted message: love survives. Surely the hardest of hearts would be moved by this beautiful film.",Moonlight 
Lyles' Movie Files," November 29, 2016",Jeffrey Lyles," Exquisitely conceived and beautifully realized, Moonlight is one of 2016's most radiant and must-see films.",Moonlight 
MLive.com," November 29, 2016",John Serba," 'Moonlight' is a rarity in cinema. And like all rarities, it deserves to be held close, lovingly examined, and treasured.",Moonlight 
"Quad City Times (Davenport, IA)"," November 24, 2016",Linda Cook, A masterpiece - one of the most incredible films of this year. Or any year.,Moonlight 
Us Weekly," November 22, 2016",Mara Reinstein," The indie drama touches on themes of race, sexuality and isolation in ways that are rarely depicted in cinema.",Moonlight 
Cinemaphile.org," November 20, 2016",David Keyes," An audacious, emboldening injection into the fabric of the American consciousness, a film that will be remembered as a watershed among followers as the reality of modern film is carved into the walls of important history.",Moonlight 
Illinois Times," November 18, 2016",Charles Koplinski," A powerful, timely tale of lost youth.",Moonlight 
Your Movies (cleveland.com)," November 18, 2016",John Urbancich," Jenkins' ensemble might be the year's finest, with Naomie Harris, as the boy's crack-addicted mother, and likely winner Mahershala Ali, as a kindly drug dealer, of all things, surely to earn Best Supporting Actress and Actor noms, respectively. ",Moonlight 
Sacramento News & Review," November 18, 2016",Daniel Barnes," It's only Jenkins' second feature, but Moonlight feels more like a hard-earned career-capper rather than the career-igniter that it should become.",Moonlight 
ScreenRant," November 18, 2016",Sandy Schaefer," Moonlight is one of the most poignant, poetic and beautiful movies of the year.",Moonlight 
Las Vegas Review-Journal," November 17, 2016",Christopher Lawrence," If you're looking for a moving story, artfully told by a filmmaker on the rise, Moonlight certainly warrants the hype.",Moonlight 
MetroActive," November 17, 2016",Richard von Busack, It's somehow hard to define great direction-it's easier to define its absence-but Jenkins is surely a great director. He's got it all and more.,Moonlight 
Missoula Independent," November 17, 2016",Molly Laich, I'm in love with these characters. I can't stop thinking about them. And I can't wait to see this movie again.,Moonlight 
Tulsa World," November 17, 2016",Michael Smith, One of the year's most provocative and sensitive films. And one of the best.,Moonlight 
Movie Mezzanine," November 17, 2016",Josh Spiegel, Moonlight takes the concept of the bildungsroman to its natural end point in ways that many coming-of-age stories don't.,Moonlight 
Flick Filosopher," November 16, 2016",MaryAnn Johanson," Luminous and plaintive, Moonlight is emotional virtual reality, transforming a unique human experience into something universal and unforgettable.",Moonlight 
Tampa Bay Times," November 15, 2016",Steve Persall," ... practically vibrates with authenticity, a sense of unique place and unsure purpose, gliding like a dream from which one doesn't wish to awaken.",Moonlight 
Cinemixtape," November 14, 2016",J. Olson," The visuals are lush, the performances are lived-in, and the story is lyrical, if painstakingly subdued.",Moonlight 
SSG Syndicate," November 12, 2016",Susan Granger," An anguished, achingly affecting, incandescent, coming-of-age story - shattering stereotypes of the LGBTQ community.",Moonlight 
Creative Loafing," November 12, 2016",Matt Brunson," Black lives matter in the quiet, contemplative Moonlight, but let's not stop there.",Moonlight 
