Primary Key,DC Real Property ID,PM Property ID,Property Name,PM Parent Property ID,Parent Property Name,Year Ending,Report Status,Address of Record,Owner of Record,Ward,Reported Address,City,State,Postal Code,Year Built,Primary Property Type - Self-Selected,Primary Property Type - Calculated,Tax Record Floor Area,Reported Building Gross Floor Area,ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft²),Water Use (All Water Sources) (kgal),Electricity Use (kWh),Natural Gas Use (therms),Fuel Oil & Diesel Fuel Use (kBtu),District Water-Based Energy Use (kBtu),Metered Areas (Energy),Metered Areas  (Water),Latitude,Longitude
PM3989980,0517_3053,3989980,Meridian on Mass Avenue LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,450 MASSACHUSETTS AVENUE NW,MERIDAN ON MASS AV CONDO,2,450 Massachusetts Avenue NW,Washington,DC,20001,2003,Multifamily Housing,Multifamily Housing,383518,409410,,9.6,,29.2,,484.7,1.2,17266.7,1101194,1673.934,,,Whole Building,Whole Building,38.90050027,-77.0183229
PM3512771,0517_3063,3512771,400 Massachsetts Ave Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,0400 MASSACHUSETTS AVE NW,400 MASS AVE CONDOMINIUMS,6,400 Massachusetts Ave NW,Washington,DC,20016,2004,Multifamily Housing,Multifamily Housing,249966,178700,,,,,,,,11820.3,,76252.061,,,Whole Building,,38.9000788,-77.0170565
PM3644406,0525_0840,3644406,Golden Rule Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1050 NEW JERSEY AV,GOLDEN RULE PLAZA INC,6,1050 New Jersey Avenue NW,Washington,DC,20001,2003,Multifamily Housing,Multifamily Housing,"112,378","112,378",,37.5,37.5,117.8,117.8,533.7,4.7,5519.9,1235180,,,,Whole Building,Common areas only,,
DC05282819,0528_2819,N/A,Sonata Condominium - Whole Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,301 MASSACHUSETTS AVE NW,THE SONATA CONDO,6,301 Massachusetts Avenue NW,Washington,DC,20001,,Not Provided,Not Provided,"68,989",,,,,,,,,,,,,,,,,
PM3622132,0528_2871,3622132,Madrigal Lofts - Whole Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0811 4TH ST NW,MADRIGAL LOFTS CONDOMINIUM,6,811 4th Street NW,Washington,DC,20001,2007,Multifamily Housing,Multifamily Housing,"208,767","258,426",,53.5,53.6,140.9,140.8,1504.3,5.8,,3071108,33411.263,,,Whole Building,Whole Building,38.9009511,-77.0157111
PM3507775,0529_0851*,3507775,Mass Court - Municipal Benchmarking Account,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,*not matched with covered building list,*not matched with covered building list,2,300 Massachsetts Avenue NW,Washington,DC,20894,2004,Multifamily Housing,Multifamily Housing,,368297,,37,37.2,97.7,97.9,1486.3,4,13910.5,3038050.715,32708.887,,,Whole Building,Whole Building,38.89964972,-77.01546727
DC05310036,0531_0036,N/A,DC0321ZZ - JUDICIARY CENTER,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0555 4TH ST NW,555 FOURTH STREET ASSOCIATES,2,555 4TH STREET NW,Washington,DC,20001,,Not Provided,Not Provided,"472,168",,,,,,,,,,,,,,,,,
PM1498178,0536_0053,1498178,409 3rd Street SW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0300 D ST SW,THE MUSEUM OF THE BIBLE INC,6,409 3rd Street SW,Washington,DC,20024,1985,Office,Office,"415,511","435,069",74,83.3,83.3,261.5,261.5,4588.7,10.5,12960,10617510,,13805.5,,Whole Building,Whole Building,38.88491835,-77.01550292
PM3503081,0536_0053,3503081,300 D St SW - W Design C,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0300 D ST SW,THE MUSEUM OF THE BIBLE INC,6,300 D St SW,Washington,DC,20024,1980,Other,Other,"415,511","433,771",,39.5,39.5,124,124,2169.5,5,,5021073,,,,Whole Building,Whole Building,,
DC05360054,0536_0054,N/A,Not Reported,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,No Report Received,0409 3RD ST SW,WOC LLC,6,,Washington,DC,20024,,Not Provided,Not Provided,"651,704",,,,,,,,,,,,,,,,,
DC05370809,0537_0809,N/A,Residence Inn Capitol,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,333 E ST,SOUTHWEST CAPITOL ASSOCIATES LLC,6,333 E St SW,Washington,DC,20024,,Not Provided,Not Provided,"235,962",,,,,,,,,,,,,,,,,
PM1479517,0537_0810,1479517,Capitol View,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,425 3RD ST,SQUARE 537 ASSOCIATES LP,6,425 3rd Street SW,Washington,DC,20024,2007,Office,Office,"317,623","252,361",75,74.6,74.6,228.8,228.8,2335.6,9.3,8042.8,5321914,6797.411,,,Whole Building,,38.88360133,-77.01548904
PM1378775,0537_0811,1378775,Patriots Plaza I - 2061,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0410 4TH ST,RIGGS BANK TRUSTEE,6,395 E Street S.W.,Washington,DC,20024,2005,Office,Office,"294,130","304,401",82,70.7,70.7,222.1,222.1,2727,9,4092.8,6311263,,,,Whole Building,Whole Building,,
PM2497109,0537_0812,2497109,Patriots Plaza II - 2261,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,375 E ST,RIGGS BANK N.A. TRUSTEE,6,375 E Street SW,Washington,DC,20024,2009,Office,Office,"484,047","406,105",81,69.1,69.1,216.9,216.9,3552.6,8.7,4962.1,8222065,,,,Whole Building,Whole Building,,
PM2497113,0537_0813,2497113,Patriots Plaza III - 2262,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,355 E ST,RIGGS BANK N.A. TRUSTEE,6,355 E Street SW,Washington,DC,20024,2009,Office,Office,"572,413","379,613",80,62.9,62.9,197.4,197.4,3022.8,8,3797.8,6995790,,,,Whole Building,Whole Building,,
PM1189000,0538_0873,1189000,One Independence Square,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,250 E ST,WELLS REIT/INDEPENDENCE SQARE LLC,6,250 E. Street SW,Washington,DC,20024,1991,Office,Office,"560,150","378,045",100,22.3,22.3,70.1,70.1,1069,2.8,1820.4,2474099,,,,Whole Building,,38.88300325,-77.0149237
PM1420135,0538_0874,1420135,GSA: 300 E Street SW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0300 E ST SW,WELLS REIT/INDEPENDENCE SQUARE LLC,6,300 E St SW,Washington,DC,20024,1991,Office,Office,"899,096","673,343",82,73.7,73.8,224.9,224.9,6129,9.1,9123.9,13922410,21355.043,,,Whole Building,,38.88293684,-77.01635376
DC05402661,0540_2661,N/A,Not Reported,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,No Report Received,0350 G ST SW,POTOMAC PLACE CONDOMINIUM,6,,Washington,DC,,,Not Provided,Not Provided,"226,297",,,,,,,,,,,,,,,,,
PM3490061,0540_2838,3490061,Potomac Place Tower,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0800 4TH ST SW,POTOMAC PLACE TOWER,6,800 4th Street SW,Washington,DC,20024,1958,Multifamily Housing,Multifamily Housing,"251,028","324,756",60,41.3,41.3,125.1,125.1,1738,5.4,10133.9,3722354,7115,,,Whole Building,Whole Building,38.8802745,-77.017125
PM3295814,05400109; 05400118,3295814,Capital Park Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,0101 G ST SW,CAPITAL PARK APARTMENTS LTD PRTNSHP,6,201 I St SW,Washington,DC,20024,1965,Multifamily Housing,Multifamily Housing,289750,546234,,81.9,,149.4,,3592.7,6.6,28398.5,4851606,281959.507,,,Whole Building,,38.8796914,-77.0141252
PM2590105,0542_0827,2590105,1101 4th Street SW at Waterfront Station II,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1101 4TH ST,USGBF WATERFRONT STATION LLC,6,1101 4th Street SW,Washington,DC,20024,2010,Office,Office,"283,464","296,748",78,70.3,70.3,220.3,220.3,2638.4,8.9,6710.1,6098914,,41372.4,,Whole Building,Whole Building,38.87761027,-77.01815222
DC05422962,0542_2962,N/A,Waterfront Towers,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,1101 3RD ST SW,WATERFRONT TOWER,6,1101 3rd Street SW,Washington,DC,20024,,Not Provided,Not Provided,"84,168",,,,,,,,,,,,,,,,,
PM2590110,05420870; 05420871; 05427000; 05427001; 05427002; 05427003*,2590110,1100 4th Street at Waterfront Station l,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,*not matched with covered building list,*not matched with covered building list,6,1100 4th Street SW,Washington,DC,20024,2010,Other,Other,,355846,78,91.3,91.4,259.2,259.3,3772,10.6,9713.8,8150604.372,46304.326,60265,,Whole Building,Another configuration,38.8776475,-77.0172102
PM3668860,0546_0819,3668860,River Park Mutual Homes Inc.,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1301 DELAWARE AV SW,RIVER PARK MUTUAL HOMES INC,6,1301 Delaware Avenue SW,Washington,DC,20024,1960,Multifamily Housing,Multifamily Housing,"363,870","368,870",,68.1,68,103.3,102.8,1746,4.7,19934.1,1643225,195207.887,,,Whole Building,Whole Building,,
PM3987320,0546_2281,3987320,Carrollsburg Square Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0200 M ST SW,CARROLLSBURG SQUARE CONDO,6,M St. N St. 4th St. Delaware St. SW,Washington,DC,20024,1967,Multifamily Housing,Multifamily Housing,"164,702","164,702",,21.5,21.5,67.4,67.5,447.9,2.7,5636,1036541,,,,Whole Building,Common areas only,,
PM3332272,05462281; 05462282,3332272,Carrollsburg A Condominium,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0200 M ST SW,CARROLLSBURG SQUARE CONDO,6,1250 4th St. SW,Washington,DC,20024,1974,Multifamily Housing,Multifamily Housing,"164,702","486,912",,72,71.9,122.7,122.3,2668.9,5.5,16979.3,3216389,241020.521,,,Whole Building,Whole Building,38.8751593,-77.017243
DC05470023,0547_0023,N/A,Not Reported,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,No Report Received,1410 3RD ST,SAINT JAMES MUTUAL HOMES,6,,Washington,DC,20024,,Not Provided,Not Provided,"161,977",,,,,,,,,,,,,,,,,
DC05510231,0551_0231,N/A,Not Reported,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,No Report Received,1600 1ST ST NW,NORTHWEST COOPERATIVE HOMES,5,,Washington,DC,20001,,Not Provided,Not Provided,"468,390",,,,,,,,,,,,,,,,,
DC05600838,0560_0838,N/A,251 Massachusetts Avenue LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,251 H ST,251 MASSACHUSETTS AVENUE LLC,6,251 H St. NW,Washington,DC,20001,,Not Provided,Not Provided,"93,877",,,,,,,,,,,,,,,,,
PM3639762,0560_0841,3639762,Carmel Plaza North Associates,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0200 K ST,CARMEL PLAZA NORTH ASSOCIATES L L P,6,200 K Street NW,Washington,DC,20001,1987,Multifamily Housing,Multifamily Housing,"171,068","152,055",,29,29.3,67,67.3,429.5,2.8,6191.5,778676.8,17516.896,,,Whole Building,Whole Building,38.90223675,-77.01419589
PM3656431,0561_0037,3656431,Golden Rule Apartments,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0901 NEW JERSEY AV NW,GRA PROPERTIES LIMITED PARTNERSHIP,6,901 New Jersey Ave NW,Washington,DC,20001,1972,Multifamily Housing,Multifamily Housing,"174,591","174,591",,24.3,24.3,76.1,76.1,536.2,3.1,12861.6,1240877,,,,Whole Building,Whole Building,38.90187396,-77.01287581
PM3283514,0563_0016,3283514,Jemal's Darth Vader LLC,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0111 MASSACHUSETTS AV NW,JEMAL'S DARTH VADER LLC,6,111 Massachusetts Ave NW,Washington,DC,20001,1983,Office,Office,"382,448","310,129",60,72.1,72.1,226.4,226.4,2831.5,9.1,,6553105,,,,Whole Building,Whole Building,38.89967769,-77.01317606
PM1502748,0565_0020,1502748,Edward Bennett Williams Library,3612277,Georgetown Law,12/31/2013,In Compliance,0111 G ST NW,GEORGETOWN UNIVERSITY,6,111 G Street,Washington,DC,20001,1989,College/University,College/University,"148,385","150,176",,68.9,68.9,216.2,216.2,1384.3,9.2,1273.2,3030792,,,,Whole Building,Whole Building,38.89873858,-77.01305392
PM1491224,0567_0062,1491224,McDonough Hall,3612277,Georgetown Law,12/31/2013,In Compliance,101 F ST,GEORGETOWN COLLEGE LAW CENTER,6,600 New Jersey Avenue NW,Washington,DC,20001,1971,College/University,College/University,"285,258","339,174",,81.9,82.5,203.9,204.6,3020.2,8.9,4778.6,5608016,86370.99866,,,Whole Building,Whole Building,,
PM3612277,0567_0062,3612277,Georgetown Law,3612277,Georgetown Law,12/31/2013,In Compliance,101 F ST,GEORGETOWN COLLEGE LAW CENTER,6,600 New Jersey Ave.,Washington,DC,20001,1971,Not Provided,Not Provided,285258,,,,,,,446.3,,,,84097.299,,,Whole Building,,,
PM2728715,0568_0043,2728715,Communications  Workers of America Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0501 3RD ST NW,COMMUNICATIONS WORKERS OF AMERICA,2,501 Third Street N.W.,Washington,DC,20001,1991,Office,Office,"396,727","217,705",46,86.5,86.5,271.5,271.5,2384.1,11,44.5,5517713,,,,Whole Building,Whole Building,38.89656709,-77.0147821
PM3267016,0569_0080,3267016,500 First Street NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0500 1ST ST NW,VEF-VN 500 FIRST LLC,6,500 1st Street NW,Washington,DC,20001,1969,Office,Office,"160,600","134,435",84,80.1,81.1,184.9,186.2,1048.3,7.8,,1899315,42888.106,,,Whole Building,Whole Building,38.89639159,-77.01258109
PM1532643,0569_0864,1532643,Hotung International Building/Sport & Fitness Center,3612277,Georgetown Law,12/31/2013,In Compliance,550 1ST ST,GEORGETOWN UNIVERSITY,6,550 1st Street NW,Washington,DC,20001,2004,College/University,College/University,"229,266","194,140",,105.1,105.6,256.7,257.2,2181.7,11.2,4433,3983640,68183.80148,,,Whole Building,Whole Building,38.89690688,-77.01249173
PM1454748,0569_0865,1454748,Gewirz Residence Building,3612277,Georgetown Law,12/31/2013,In Compliance,0120 F ST NW,GEORGETOWN UNIVERSITY,6,120 F St.,Washington,DC,20001,1993,Residence Hall/Dormitory,Residence Hall/Dormitory,"242,217","225,264",66,52.5,52.8,128.6,129,1268,5.6,5504.2,2322186,39035.70043,,,Whole Building,Whole Building,38.89689525,-77.01338916
DC05710055,0571_0055,N/A,Not Reported,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,No Report Received,0440 1ST ST NW,FP 440 1ST STREET LLC,6,,Washington,DC,20001,,Not Provided,Not Provided,"141,930",,,,,,,,,,,,,,,,,
PM3472542,0574_0024,3472542,122 C Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0122 C ST NW,ZG 122 C STREET LLC,6,122 C Street NW,Washington,DC,20001,1968,Office,Office,"128,076","117,932",58,87,87.8,197.2,198,983.9,8.3,1359.3,1750702,42853.379,,,Whole Building,,38.89334005,-77.01302389
PM1342182,0574_0025,1342182,101 Constitution,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0101 CONSTITUTION AV NW,UNITED BROTHERHD CRPT JNR AM NATL H S FD,6,101 Constitution Avenue NW,Washington,DC,20001,2002,Office,Office,"561,068","528,711",76,73.9,73.9,232.1,232.1,4948.6,9.4,12439.6,11452890,,,,Whole Building,Whole Building,38.89279296,-77.01306886
PM2977909,0574_0810,2977909,NALC-100 Indiana Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0100 INDIANA AV NW,NATIONAL ASSOCIATION OF LETTER CARRIERS,6,100 Indiana Avenue NW,Washington,DC,20001,1951,Office,Office,"101,094","61,168",67,70.2,70.2,170.9,169.6,437.1,7.1,585.3,833794.3,14464.928,,,Whole Building,Whole Building,38.89333317,-77.01252649
PM4097123,0597    0829,4097123,Greenleaf Senior,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1200 Delaware Ave. SW,District of Columbia Housing Authority (DCHA),6,1200 Delaware Ave. SW,Washington,DC,20024,1959,Multifamily Housing,Multifamily Housing,,196736,2,138.9,140.4,233.9,235.5,2121,10.8,19252.6,2429700,190395.8116,,,Whole Building,Whole Building,,
PM4435637,0613_0010,4435637,2100 2nd St SW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,2100 2ND ST SW,2100 2ND ST HOLDINGS LLC,6,2100 2nd Street SW,Washington,DC,20593,1973,Not Provided,Not Provided,887039,,,,,,,,,,,,,,,,,
PM2929580,0619_0176,2929580,Tyler House Associates 95 LP,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,1200 NORTH CAPITOL ST NW,TYLER HOUSE ASSOCIATES 95 L.P.,6,1200 North Capitol St NW,Washington,DC,20001,1996,Multifamily Housing,Multifamily Housing,"325,984","325,984",,10.2,10.3,32.2,32.2,422.8,1.3,24461.3,978552.6,,,,Whole Building,Whole Building,,
DC06192284,0619_2284,N/A,Julius Hobson Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0055 M ST NW,JULIUS HOBSON PLAZA CONDO,6,55 M St NW,Washington,DC,20001,,Not Provided,Not Provided,"65,144",,,,,,,,,,,,,,,,,
PM1345607,0622_0089,1345607,800 N CAPITOL,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0800 NORTH CAPITOL ST NW,WEH CAPTIOL LLC,6,800 N CAPITOL STREET NW,Washington,DC,20004,1989,Office,Office,"417,442","322,538",74,71.5,71.5,224.4,224.6,2685.5,8.3,5505.9,6754890,,,,Whole Building,,38.9005122,-77.00973054
PM1852852,0625_0060,1852852,National Guard Memorial Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,0001 MASSACHUSETTS AV NW,NATIONAL GUARD ASSOCIATION OF THE UNITED STATES INC,6,1 Massachusetts Avenue NW,Washington,DC,20001,1991,Office,Office,335272,195276,,63.5,,199.4,,1570.2,8,3150.4,3633894,,,,Whole Building,,38.89812581,-77.00956144
PM1583321,0625_0061,1583321,Republic Square - 25 Mass Ave,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0025 MASSACHUSETTS AV,25 MASSACHUSETTS AVE PROPERTY LLC,6,25 Massachusetts Ave NW,Washington,DC,20001,2006,Office,Office,"551,388","402,012",89,45.5,45.5,143,143,2317.8,5.8,3781.4,5364321,,,,Whole Building,Whole Building,38.89846544,-77.01041674
PM1409004,0626_0078,1409004,20 Massachusetts Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0020 - 0011 MASSACHUSETTS AV NW,GOVERNMENT PROPERTIES INCOME TRUST LLC,6,20 Massachusetts Avenue NW,Washington,DC,20001,1973,Office,Office,"437,693","343,324",88,62.2,62.4,179,179.2,2507.4,7.3,4774.6,5474442,26749.85,,,Whole Building,Whole Building,38.89777321,-77.01066806
PM1424750,0626_0079,1424750,601 New Jersey Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,601 NEW JERSEY AV,601 NEW JERSEY AVE LLC,6,601 New Jersey Avenue,Washington,DC,20001,2001,Office,Office,"278,640","275,102",93,50.8,50.8,159.6,159.6,1771,6.4,4104.4,4098637,,,,Whole Building,,38.89786015,-77.01153543
PM3510427,0627_0013,3510427,06270013_500 New Jersey Avenue,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0500 NEW JERSEY AV,NATL ASSOCIATION OF REALTORS,6,500 New Jersey Ave. NW,Washington,DC,20001,2004,Office,Office,"105,000","101,985",65,72.8,72.8,228.6,228.6,940.2,9.2,1982.5,2176042,,,,Whole Building,,38.89652228,-77.01191263
PM3335507,0628_0169,3335507,500 North Capitol,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Incomplete Report,0500 NORTH CAPITOL ST NW,500 NORTH CAPITOL LLC,6,500 North Capitol Street,Washington,DC,20001,2012,Office,Office,297600,231958,,46.9,,146.3,,1370,5.9,5302.6,3159605,906.119,,,Whole Building,Whole Building,38.89658475,-77.00948146
DC06280174,0628_0174,N/A,Washington DC PPH,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0520 NORTH CAPITOL ST NW,PHOENIX PARK HOTEL OPERATING LLC,6,520 N Capitol St,Washington,DC,20001,,Not Provided,Not Provided,"55,820",,,,,,,,,,,,,,,,,
DC06280859,0628_0859,N/A,Capital Plaza,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0035 E ST NW,CAPITAL PLAZA PROPERTIES LLC,6,35 E St. NW,Washington,DC,20001,,Not Provided,Not Provided,"82,478",,,,,,,,,,,,,,,,,
DC06280876,0628_0876,N/A,Hotel George,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0015 E ST NW,LHO WASHINGTON HOTEL SIX LLC,6,15 E Street NW,Washington,DC,20001,,Not Provided,Not Provided,"88,704",,,,,,,,,,,,,,,,,
PM3502542,0628_0891,3502542,Capitol Place I,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0555 NEW JERSEY AV NW,SHELDON B KAMINS TRUSTEES,6,0555 New Jersey Ave NW,Washington,DC,20001,1983,Office,Office,"216,300","149,722",40,96.6,96.6,303.2,303.2,1830.9,12.2,,4237353,,,,Whole Building,,38.89705564,-77.01124526
PM3680559,0628_0893,3680559,Washington Court Hotel on Capitol Hill,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0525 NEW JERSEY AV NW,OPERATING ENGINEERS FUND,6,525 New Jersey Avenue NW,Washington,DC,20001,1983,Hotel,Hotel,"275,396","275,396",41,98.5,98.7,225.7,226,2625.3,9.5,22126.9,4725112,109964.288,,,Whole Building,Whole Building,38.89681703,-77.01110078
DC06280895,0628_0895,N/A,american federation of government employee,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0080 F ST NW,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,6,80 f street nw,Washington,DC,20001,,Not Provided,Not Provided,"142,975",,,,,,,,,,,,,,,,,
PM1831622,0628_0896,1831622,Normandy- Capitol Place III,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0050 F ST NW,GLB CAPITOL PLACE III LLC,6,50 F Street NW,Washington,DC,20001,1985,Office,Office,"266,907","246,172",45,95,95,298.3,298.2,2961.1,12,5786.1,6853032,,,,Whole Building,,38.89707194,-77.0103936
PM3500320,0628_0901,3500320,20 F Street,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0020 F ST,AMERICAN COLLEGE OF SURGEONS,6,20 F St NW,Washington,DC,20001,2009,Office,Office,"173,460","178,146",78,54.5,54.5,171.2,171.2,1230.1,6.9,1537.2,2846909,,,,Whole Building,Whole Building,38.89705702,-77.00997618
PM3519199,0629_0041,3519199,Hyatt Regency Washington on Capitol Hill,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0400 NEW JERSEY AV NW,NSHE TEMPLE LLC,6,400 New Jersey Ave NW,Washington,DC,20001,1975,Hotel,Hotel,"605,014","715,075",77,73.7,73.9,152.2,152.4,4679.3,6.5,30731999.1,7499799,271086.005,,,Whole Building,Whole Building,38.89537545,-77.01170563
PM4007803,0629_0041,4007803,D.C. Hyatt Regency,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0400 NEW JERSEY AV NW,NSHE TEMPLE LLC,6,400 New Jersey Ave NW,Washington,DC,20001,2000,Hotel,Hotel,"605,014","715,000",83,72.3,72.6,150.7,151,4626,6.5,30504,7499843,261036.968,,,Whole Building,Whole Building,,
DC06300069,0630_0069,N/A,The Liaison Capitol Hill,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0415 - 0427 NEW JERSEY AV NW,I&G CAPITOL INC,6,415 New Jersey Ave NW,Washington,DC,20001,,Not Provided,Not Provided,"259,770",,,,,,,,,,,,,,,,,
PM1357840,0630_0071,1357840,Hall of the States,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0400 NORTH CAPITOL ST NW,JAMES J HAYES,6,400/444 North Capitol Street NW,Washington,DC,20001,1975,Office,Office,"961,282","606,193",89,55.3,55.3,173.6,173.6,4243.2,7,3519.7,9820387,,,,Whole Building,Whole Building,38.89582982,-77.00960061
DC06300072,0630_0072,N/A,IBT Headquarters,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,Exempt from this year's disclosure,0025 LOUISIANA AV NW,INTERNATIONAL BROTHERHOOD OF TEAMSTERS,6,25 Louisiana Ave NW,Washington,DC,20001,,Not Provided,Not Provided,"92,328",,,,,,,,,,,,,,,,,
PM1707454,0631_0809,1707454,51 Louisiana Ave. NW,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0051 LOUISIANA AV,51 LINCOLN LLC,6,51 Louisiana Ave. NW,Washington,DC,20001,1953,Office,Office,"260,352","205,580",32,128,128.1,402,402.3,3333.1,16.2,5474,7713975,,,,Whole Building,Whole Building,38.89425379,-77.01144951
PM3362197,06310017; 06920819*,3362197,300 New Jersey,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,*not matched with covered building list,*not matched with covered building list,6,300 New Jersey NW,Washington,DC,20001,2009,Office,Office,,251302,70,81.9,81.9,257,257,2604.8,10.4,5004.6,6028520.691,,,,Whole Building,,,
PM3687817,0640_0069,3687817,Fairchild Building,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,In Compliance,0499 SOUTH CAPITOL ST SW,MARFAIR JOINT VENTURE,6,499 S Capitol St SW,Washington,DC,20003,1981,Office,Office,"278,599","221,313",65,100,99.9,276.7,276.7,2598.8,11.7,1785.8,5351098,,3864000.1,,Whole Building,Whole Building,38.88342284,-77.01001127
DC06410833,0641_0833,N/A,Not Reported,Not Applicable: Standalone Property,Not Applicable: Standalone Property,12/31/2013,No Report Received,0030 E ST SW,C&P TELEPHONE COMPANY,6,,Washington,DC,20024,,Not Provided,Not Provided,"365,598",,,,,,,,,,,,,,,,,
