Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2010 Status,2010 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2)
0526/021,Davinci villa,2550 VAN NESS AVE,94109,"2550 VAN NESS AVE
San Francisco, CA 94109
(37.799173, -122.424049)",56598,Hotel,http://propertymap.sfplanning.org/?&search=0526/021,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2016,Did Not Comply,95,36,,-47.7,,146.57,,38.7,,84,30.5,95.6,-32.1,,151.5,,30.5,95.6,40,84.8,149.9,9.3,9.3,312.1,5.5,84.8,149.9,14,116.7,187.5,42.8,42.8,400.8,7.1,116.7,187.5,15,118.6,191,42.2,42.2,407.8,7.2,119.8,191.5
0225/004,725 GRANT AVE,725 GRANT AVE,94108,"725 GRANT AVE
San Francisco, CA 94108
(37.79378, -122.40622)",16131,,http://propertymap.sfplanning.org/?&search=0225/004,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0289/001,225 Bush Street,225 BUSH ST,94104,"225 BUSH ST
San Francisco, CA 94104
(37.791131, -122.401213)",666418,Office,http://propertymap.sfplanning.org/?&search=0289/001,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Exempt - ENERGY STAR,90,57.5,,-45.4,,4002.95,,53.7,,86,63.2,138.6,-39,,3829.98,,64.1,143.1,78,70.3,147.7,-30.1,-30.1,3369,5.2,70.5,147.9,76,69.7,152.1,-27.7,-27.7,3363.1,5.2,72.3,155.2,78,67.8,150.1,-29.6,-29.6,3280.1,5,69.1,151.1
3727/002,140 7TH ST,140 7TH ST,94103,"140 7TH ST
San Francisco, CA 94103
(37.7787, -122.410322)",37630,Hotel,http://propertymap.sfplanning.org/?&search=3727/002,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,4,88.9,147.1,78.1,78.1,205.1,5.5,87.7,148.1,6,80.2,137.4,67.3,67.3,187.5,5,75.9,131.7,2,79.1,146.5,103.2,103.2,190.6,5.1,87.3,155.1,4,71.6,134.4,78.7,78.7,173.4,4.6,74.5,137.5
0269/021,471 PINE ST,471 PINE ST,94104,"471 PINE ST
San Francisco, CA 94104
(37.791798, -122.403464)",12760,,http://propertymap.sfplanning.org/?&search=0269/021,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,98,15.4,48.4,-61.8,-61.8,16,1.3,15.3,48,97,15.9,49.8,-59.1,-59.1,16.5,1.3,17.3,54.4,,,,,,,,,
3706/064,Digital Garage Development,717 MARKET ST,94103,"717 MARKET ST
San Francisco, CA 94103
(37.787194, -122.40405)",81406,,http://propertymap.sfplanning.org/?&search=3706/064,Violation - Insufficient Data,,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Violation - Did Not Report,,11/15/2012,Pending,,,,,,,,,,92,47.8,120.9,-49.1,-49.1,284.9,3.5,47.8,120.9,90,54.9,131.1,-44.8,-44.8,324,4,,,74,75.5,171,-25.9,-25.9,445.5,5.5,73.9,166.1,,,,,,,,,
0327/018,165 OFARRELL ST,165 OFARRELL ST,94102,"165 OFARRELL ST
San Francisco, CA 94102
(37.786521, -122.407383)",23925,,http://propertymap.sfplanning.org/?&search=0327/018,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Vacant,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0739/015,819 ELLIS ST,819 ELLIS ST,94109,"819 ELLIS ST
San Francisco, CA 94109
(37.783971, -122.419838)",20354,,http://propertymap.sfplanning.org/?&search=0739/015,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3705/021,67 5TH ST,67 5TH ST,94103,"67 5TH ST
San Francisco, CA 94103
(37.78293, -122.40674)",66700,,http://propertymap.sfplanning.org/?&search=3705/021,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5240/042,Meals on Wheels,1375 FAIRFAX AVE,94124,"1375 FAIRFAX AVE
San Francisco, CA 94124
(37.739726, -122.38433)",20000,,http://propertymap.sfplanning.org/?&search=5240/042,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,4/1/2014,Pending,,,,,,,,,,,,,,,,,,,,87.2,180.1,79.4,79.4,116.8,5.8,83.6,176.8,,87.1,187.1,86.4,86.4,118.5,5.9,89.6,187.4,,,,,,,,,
3717/019,188 Spear St.,188 Spear St.,94105,"188 Spear St
San Francisco, CA 94105
(37.791438, -122.392671)",214898,Office,http://propertymap.sfplanning.org/?&search=3717/019,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Exempt,,Complied,,Complied,,4/1/2018,Upcoming,,,,,,,,,,,,,,,,,,,93,46.7,114.8,-49.8,-49.8,725.5,3.4,46.3,113.4,91,51.3,126.5,-47.6,-47.6,797.7,3.7,51.3,126.5,91,55.7,143.3,-46.6,-46.6,883.6,4.1,55.7,143.3
3785/132,"601 Brannan Street, LLC",601 Brannan St,94107,"601 Brannan St
San Francisco, CA 94107
(37.776302, -122.399103)",73666,College/University,http://propertymap.sfplanning.org/?&search=3785/132,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,82.1,,-5.9,,495.51,,82.1,,,82.3,234.9,-20.8,,502.59,,81.8,234.4,,85.8,226.2,-13.9,-13.9,502.6,6.8,85.9,226.3,,90.8,242.6,-7.6,-7.6,502.8,6.8,91.7,243.6,,94.6,244.3,-7,-7,515.3,7,94.6,244.3
0330/023,Hotel Abri,119 ELLIS ST,94102,"119 ELLIS ST
San Francisco, CA 94102
(37.785445, -122.408405)",65892,Hotel,http://propertymap.sfplanning.org/?&search=0330/023,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Pending,,,,,,,,,,7,102,221.2,62,,443.3,,99.4,214.9,39,102.5,209.9,9.9,9.9,414.8,6.8,104.5,216.3,27,104.2,223.2,23,23,429.9,7.1,101.1,213.6,44,94.1,194.2,5.3,5.3,382.2,6.3,92.9,190.3
3740/030,160 Folsom,160 FOLSOM ST,94105,"160 FOLSOM ST
San Francisco, CA 94105
(37.789581, -122.391617)",11567,,http://propertymap.sfplanning.org/?&search=3740/030,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0293/003,133 KEARNY ST,133 KEARNY ST,94108,"133 KEARNY ST
San Francisco, CA 94108
(37.789298, -122.403741)",24759,,http://propertymap.sfplanning.org/?&search=0293/003,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Insufficient Data,,Violation - Insufficient Data,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0284/010,Hotel Rex,562 SUTTER ST,94108,"562 SUTTER ST
San Francisco, CA 94108
(37.789094, -122.409748)",41272,Hotel,http://propertymap.sfplanning.org/?&search=0284/010,Complied,,Exempt,,Exempt,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,59,107,182.7,-8.6,-8.6,274,6.6,104.3,181.2,70,100.6,177,-17.6,-17.6,260.6,6.3,105,179,72,100.6,175.3,-19.5,-19.5,259.6,6.3,102.1,175.8
0136/004A,940 BATTERY ST,940 BATTERY ST,94111,"940 BATTERY ST
San Francisco, CA 94111
(37.800018, -122.401349)",21720,,http://propertymap.sfplanning.org/?&search=0136/004A,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,4/1/2017,Upcoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5719/005,3743 MISSION ST,3743 MISSION ST,94110,"3743 MISSION ST
San Francisco, CA 94110
(37.73648, -122.42432)",15000,Mixed Use Property,http://propertymap.sfplanning.org/?&search=5719/005,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,32.4,66,-46.4,-46.4,31.5,2.2,32.4,65.9,,29.5,61.1,-50.4,-50.4,29.7,2,29.1,59.7,,29.9,62.4,-49.3,-49.3,30.2,2,29.8,61.8
4083/004,3001 19TH ST,3001 19TH ST,94110,"3001 19TH ST
San Francisco, CA 94110
(37.760364, -122.412055)",16800,,http://propertymap.sfplanning.org/?&search=4083/004,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,98,31,56.5,-63.2,-63.2,33.2,2,27.9,52.5,96,32.5,65.2,-57,-57,36.1,2.1,38.7,71.7,,,,,,,,,
3718/026,201 Mission Street,201 MISSION ST,94105,"201 MISSION ST
San Francisco, CA 94105
(37.791663, -122.395179)",609818,Office,http://propertymap.sfplanning.org/?&search=3718/026,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Exempt - LEED EBOM,86,58.4,,-0.4,,2713,,56.3,,86,60.9,166.8,-39.1,,2796.45,,60.9,166.8,90,49.9,139.5,-45.9,-46,2339.8,4.1,50,139.6,92,43.4,126.4,-47.6,-47.6,1962.8,3.4,45,128.2,93,39.4,117,-50.4,-50.4,1838.2,3.1,39.7,117.3
0323/009,FYCC,434 ELLIS ST,94102,"434 ELLIS ST
San Francisco, CA 94102
(37.784792, -122.413424)",11500,,http://propertymap.sfplanning.org/?&search=0323/009,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,4/1/2014,Pending,,,,,,,,,,,,,,,,,,,80,33.1,88.8,-26.9,-26.9,28.7,2.5,32.4,88.1,86,27.6,77.1,-34.1,-34.1,24.4,2.1,29.2,78.7,,,,,,,,,
0175/003,729 Sansome Street,705 SANSOME ST,94133,"705 SANSOME ST
San Francisco, CA 94133
(37.796997, -122.401943)",14400,Office,http://propertymap.sfplanning.org/?&search=0175/003,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - Change of Ownership,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,90,27.7,77,-45,-45,32.6,2.3,27.7,77,72,37,104.1,-23.2,-23.2,41.1,2.9,37,104.1,68,40,111.9,-19.2,-19.2,44.3,3.1,40,111.9
0309/022,275 Post,275 POST ST,94108,"275 POST ST
San Francisco, CA 94108
(37.788528, -122.406533)",13081,Office,http://propertymap.sfplanning.org/?&search=0309/022,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,7,106.6,240.5,77.8,77.8,97,7.4,106.6,240.5,23,80,175.7,34.7,34.7,71.9,5.5,84.4,180.3,35,72.2,156.1,17.5,17.5,64.5,4.9,76.6,160.7
0260/004,217 SANSOME ST,217 SANSOME ST,94104,"217 SANSOME ST
San Francisco, CA 94104
(37.79244, -122.401026)",10588,,http://propertymap.sfplanning.org/?&search=0260/004,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3206/003,4610 MISSION ST,4610 MISSION ST,94112,"4610 MISSION ST
San Francisco, CA 94112
(37.724309, -122.435095)",27750,Office,http://propertymap.sfplanning.org/?&search=3206/003,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Pending,,,,,,,,,,,,,,,,,,,16,96.5,275.8,47.2,47.2,159.4,7.5,96.5,275.8,18,91.1,260.5,44.2,44.2,150.4,7.1,91.1,260.5,20,92.4,255.2,39.8,39.8,150,7.1,93.3,254.4
5350/014,2253 SHAFTER AVE,2253 SHAFTER AVE,94124,"2253 SHAFTER AVE
San Francisco, CA 94124
(37.738029, -122.40302)",10474,,http://propertymap.sfplanning.org/?&search=5350/014,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2013,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0029/007,Hyatt Fisherman's Wharf,555 NORTH POINT ST,94133,"555 NORTH POINT ST
San Francisco, CA 94133
(37.806263, -122.416144)",283765,Hotel,http://propertymap.sfplanning.org/?&search=0029/007,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,57,70.1,,-7,,1367.28,,70.6,,61,66.9,161.5,-10.2,,1305.99,,67.7,164,19,98.3,224.8,34.4,34.4,1773.9,6.9,98.3,224.8,45,74.7,173.1,4.1,4.1,1245.3,5.3,74.4,172.2,50,71.8,168.8,-0.8,-0.8,1205.2,5.1,71.5,168
0277/025,St. Francis Memorial Hospital - 900 Hyde Street,900 HYDE ST,94109,"900 HYDE ST
San Francisco, CA 94109
(37.789561, -122.417112)",446031,Hospital (General Medical & Surgical),http://propertymap.sfplanning.org/?&search=0277/025,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,11/15/2012,Complied,73,177.7,343.5,-12.2,-12.3,5372.3,12,176.2,343.3,72,177.5,343.3,-12,-12,5368.1,12,176.2,343.4,70,179.1,350.1,-10.6,-10.6,5443.2,12.2,179.1,349.1,73,169.2,344.3,-12.3,-12.3,5019.6,11.3,175.8,351.3,66,179.4,360.4,-8.4,-8.4,5293.6,11.9,182,361.3
9900/019,Pier 19,19 Pier,94111,"19 Pier
San Francisco, CA 94111
(37.796302, -122.394836)",97641,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=9900/019,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2099,Municipal,71,8.2,25.7,-29.3,-29.6,70.3,0.7,8.2,25.7,82,6.4,20,-44.8,-45.1,54.6,0.6,6.4,20,91,4.8,15,-58.6,-58.9,41.1,0.4,4.8,15,98,2.6,8.3,-77.3,-77.3,21.1,0.2,2.6,8.3,99,2.3,7.1,-80.7,-80.7,17.9,0.2,2.3,7.1
0296/013C,545 Sutter St.,535 SUTTER ST,94102,"535 SUTTER ST
San Francisco, CA 94102
(37.789158, -122.409267)",19786,Office,http://propertymap.sfplanning.org/?&search=0296/013C,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2014,Pending,,,,,,,,,,,,,,,,,,,,14.6,41.2,-72.2,-72.2,22.3,1.1,14.6,41.2,,14.5,39.4,-73.4,-73.4,21.8,1.1,14.9,39.8,,16,41.3,-72.1,-72.1,23.4,1.2,16.5,41.9
7083/010,Nineteenth Avenue Self-Storage,4050 19TH AVE,94132,"4050 19TH AVE
San Francisco, CA 94132
(37.714922, -122.470442)",31000,,http://propertymap.sfplanning.org/?&search=7083/010,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - Change of Ownership,4/1/2013,Complied,,,,,,,,,,68,11.4,38,-25.2,,32.08,,11.6,38.8,70,11.2,35.1,-27.7,-27.8,30.5,1,11.5,36.3,71,11.8,37.1,-29.8,-29.8,29.8,1,11.2,35.1,,,,,,,,,
3937/002A,PSAI - 251 Rhode Island Street,251 RHODE ISLAND ST,94103,"251 RHODE ISLAND ST
San Francisco, CA 94103
(37.76673, -122.402803)",79809,Office,http://propertymap.sfplanning.org/?&search=3937/002A,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,87,45.6,120.1,-40.1,-40.1,253.7,3.6,45.6,120.1,87,45.4,120,-40.1,-40,253.2,3.6,45.4,120,,43.5,113.5,-23.3,-23.3,225.3,3.2,43.5,113.5,88,39.8,103,-41.9,-41.9,206.4,2.9,39.8,103
3511/012,1500 Howard Street,1500 HOWARD ST,94103,"1500 HOWARD ST
San Francisco, CA 94103
(37.772871, -122.415849)",29221,Adult Education,http://propertymap.sfplanning.org/?&search=3511/012,Complied,,Complied,,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,99,16.1,50.5,-68.2,-68.2,41.9,1.3,16.6,52.2,99,17,53.5,-65.8,-65.8,44.5,1.4,16.1,50.6,,25.3,60.6,-57.2,-57.2,52.8,1.8,25.6,59.7
1542/042,3855 GEARY BLVD,3855 GEARY BLVD,94118,"3855 GEARY BLVD
San Francisco, CA 94118
(37.781122, -122.460752)",21500,Retail Store,http://propertymap.sfplanning.org/?&search=1542/042,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,99,26.7,48.9,-73.4,-73.4,36.6,1.7,23.6,45.7,99,20.6,41.7,-75.7,-75.7,29.4,1.4,20.6,41.7,99,22.4,41.6,-76.4,-76.4,30.9,1.4,24.6,43.8
3729/024,Ninth Street,271 9TH ST,94103,"271 9TH ST
San Francisco, CA 94103
(37.774051, -122.411969)",18050,Office,http://propertymap.sfplanning.org/?&search=3729/024,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,20.6,48.9,-73.7,-73.7,26.4,1.5,24.3,52.8,99,17.5,42.3,-68.4,-68.4,22.6,1.3,,
4329/008,1501 Vermont,1501 VERMONT ST,94107,"1501 VERMONT ST
San Francisco, CA 94107
(37.750215, -122.402829)",12000,Office,http://propertymap.sfplanning.org/?&search=4329/008,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,28.4,73.5,-50.3,-50.4,26.8,2.2,28.2,73.2,,29.2,73.5,-50.4,-50.4,25.6,2.1,32.3,75.5,,37,93.1,-37.1,-37.1,32.4,2.7,38.2,94.3
5431A/016,1819 Egbert Ave,1819 Egbert Ave,94124,"1819 Egbert Ave
San Francisco, CA 94124
(37.726946, -122.39996)",27440,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=5431A/016,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,62,6.9,21.8,-17.9,-17.1,16.7,0.6,6.9,21.8,68,6.2,19.4,-25.3,-25.7,14.9,0.5,6.2,19.4,57,6.4,20.2,-10.2,-10.2,14.4,0.5,6.4,20.2,68,5.6,17.7,-25.8,-25.8,12.6,0.5,5.6,17.7
3609/015,2488 MISSION ST,2488 MISSION ST,94110,"2488 MISSION ST
San Francisco, CA 94110
(37.757204, -122.418915)",10388,,http://propertymap.sfplanning.org/?&search=3609/015,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009/029,Laurel Medical Building,3490 SACRAMENTO ST,94118,"3490 SACRAMENTO ST
San Francisco, CA 94118
(37.787791, -122.450058)",15000,Medical Office,http://propertymap.sfplanning.org/?&search=1009/029,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,57,48,131.6,-8.4,-8.4,58.5,3.9,47.5,131,46,51.2,144.1,4.3,4.3,59.2,3.9,52.3,145.2,37,56.2,156.4,12.4,12.4,64.6,4.3,56.7,156.9
7521/002,Diamond Heights Shopping Center - Building B2,5290 DIAMOND HEIGHTS BLVD,94131,"5290 DIAMOND HEIGHTS BLVD
San Francisco, CA 94131
(37.743846, -122.438211)",10728,Mixed Use Property,http://propertymap.sfplanning.org/?&search=7521/002,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,,50.8,153.4,24.6,24.6,43.6,4.1,50.1,152.7,,50.7,155,25.9,25.9,43.8,4.1,51.4,155.7,,48.9,149.6,21.5,21.5,42.2,3.9,49.1,149.8
0351/051,Art Institute of California,1170 MARKET ST,94102,"1170 MARKET ST
San Francisco, CA 94102
(37.779236, -122.4141)",43060,College/University,http://propertymap.sfplanning.org/?&search=0351/051,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,Complied,,4/1/2014,Complied,,,,,,,,,,,68.5,88.4,-34.1,,168.72,,65.7,85.5,,126.6,272.5,3.9,3.8,389.5,9,122.7,268.5,,126.8,268.8,2.4,2.4,369.4,8.6,128.2,265.7,,105.4,220.9,-15.9,-15.9,305.5,7.1,105.4,220.9
0228/011,565 COMMERCIAL ST,565 COMMERCIAL ST,94111,"565 COMMERCIAL ST
San Francisco, CA 94111
(37.794285, -122.402625)",28840,Office,http://propertymap.sfplanning.org/?&search=0228/011,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Complied,,Complied,,Complied,,Complied,,4/1/2013,Pending,,,,,,,,,,,18.4,43.7,-70.5,-70.5,37.8,1.3,18.4,43.7,,26,60.7,-59,-59,53,1.8,26.2,60.9,,23.5,62,-58.1,-58.1,50.6,1.8,25,63.7,,22.3,56.7,-61.7,-61.7,47.2,1.6,23.3,57.8
3935/004,200 KANSAS ST,200 KANSAS ST,94103,"200 KANSAS ST
San Francisco, CA 94103
(37.766755, -122.403721)",90637,Office,http://propertymap.sfplanning.org/?&search=3935/004,Complied,,Complied,,Exempt,,Exempt,Exempt - Vacant,Complied,,Complied,,4/1/2014,Exempt - Vacant,98,18.2,,-64.5,,140.22,,18.2,,,,,,,,,,,,,,,,,,,,99,14.8,45.1,-70.1,-70.1,107.7,1.2,14.8,45.1,87,28.8,90.3,-40.9,-40.9,212.5,2.3,28.8,90.3
3703/076,1019 Market Street,1019 MARKET ST,94103,"1019 MARKET ST
San Francisco, CA 94103
(37.781916, -122.410694)",75523,Office,http://propertymap.sfplanning.org/?&search=3703/076,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Complied,,Complied,,4/1/2014,Exempt - Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,76,-48.7,-48.7,151.5,2,21,62,87,43.1,131.4,-40.7,-40.7,261.3,3.5,43.4,131.7
3918/010,Showplace Square West,550 15TH ST,94103,"550 15TH ST
San Francisco, CA 94103
(37.76718, -122.406204)",72180,,http://propertymap.sfplanning.org/?&search=3918/010,Violation - Insufficient Data,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Did Not Report,,Violation - Did Not Report,,4/1/2014,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6474/034,765 MORSE ST,5655 Mission St,94112,"5655 Mission St
San Francisco, CA 94112
(37.710535, -122.448085)",15444,Worship Facility,http://propertymap.sfplanning.org/?&search=6474/034,Exempt,Exempt - SqFt Not Subject This Year,Violation - Insufficient Data,,Complied,,Complied,,Complied,,Complied,,4/1/2013,Complied,,,,,,,,,,,,,,,,,,,83,39.2,76,-37.4,-37.4,39.5,2.6,37.1,73.9,80,34.6,76.2,-33.5,-33.5,36.7,2.4,39,80.8,89,37,80.2,-46.1,-46.1,39,2.5,39.1,82.5
