"company","pro"
"Royal Caribbean Cruises Ltd.",",traveling different places around America and europe.paid transportation and hotel accommodations"
"Royal Caribbean Cruises Ltd.",",working while travelling. good salary system."
"Royal Caribbean Cruises Ltd.",",free meals, accomodation"
"Royal Caribbean Cruises Ltd.",",free accomodation, free food, travel"
"Royal Caribbean Cruises Ltd.",",Free meals, recreations, and a lot more"
"Royal Caribbean Cruises Ltd.",",free food and view of the world"
"Royal Caribbean Cruises Ltd.",",Good company to work for."
"Royal Caribbean Cruises Ltd.",",free room and board, free global travel, free health care at no cost to you"
"Royal Caribbean Cruises Ltd.",",Free place and food"
"Royal Caribbean Cruises Ltd.",",Accommodation and food all provided, friendly working atmosphere, meeting so many different people of different cultures."
"Royal Caribbean Cruises Ltd.",",promotion opportunity"
"Royal Caribbean Cruises Ltd.",",Visiting new places every day"
"Royal Caribbean Cruises Ltd.",",Any"
"Walmart eCommerce","professional development courses offered and/or encouraged"
"Walmart eCommerce",",Low prices and community support and donations"
"Walmart eCommerce",",Free donuts on fri am., co stock programs"
"Walmart eCommerce",",busy"
"Walmart eCommerce",",The employees and free lunch"
"Walmart eCommerce",",raises, good pay, benefits"
"Walmart eCommerce",",pay"
"Walmart eCommerce",",15 percent discount"
"Walmart eCommerce",",Food"
"Walmart eCommerce",",good poeple great hours"
"Walmart eCommerce",",customers"
"Walmart eCommerce",",career opportunities"
"University of Utah","Free lunches, Research funding is high"
"University of Utah",",fun environment, great people, great culture, team work"
"University of Utah",",Long breaks"
"University of Utah",",Benefits"
"University of Utah",",Fun, free printing was a bonus"
"University of Utah",",Worked at school"
"University of Utah",",Benefits"
"University of Utah",",Nice Staff, relative freedom"
"University of Utah",",Quiet environment, easy work, decent pay, perfect for a student"
"University of Utah",",The campus is public transportation friendly"
"University of Utah",",benefits, people, community feel"
"The Advisory Board Company","Availability to work from home."
"The Advisory Board Company",",good healthcare, insurance, PTO"
"The Advisory Board Company",",Lots of benefits and holidays"
"The Advisory Board Company",",working together as a unit for the greater good"
"The Advisory Board Company",",Benefits, younger demographic, exposure to lots of high level people in the firm"
"The Advisory Board Company",",fun trips"
"The Advisory Board Company",",opportunity"
"The Advisory Board Company",",Flex hours"
"The Advisory Board Company",",Culture, people"
"New York Institute of Technology","Mediocre health benefits for full-time staff, most weekends off"
"New York Institute of Technology",",Exposure"
"New York Institute of Technology",",Medical benefits"
"New York Institute of Technology",",Have more chance to communicate with professors"
"New York Institute of Technology",",Yes, free lunches"
"New York Institute of Technology",",I made enough money to pay my bills over the summer, and learned a lot."
"New York Institute of Technology",",Great workplace"
"New York Institute of Technology",",Good Salary and Flexible work hours"
"Comcast","HOLIDAYS OFF"
"Comcast",",lunch, and the coffe provided is FREE"
"Comcast",",n/a"
"Comcast",",Very casual"
"Comcast",",great benifits"
"Comcast",",Inovative"
"Comcast",",Pay as a Contractor and Independence."
"Comcast",",cheap cabe and internet, lots of time off, good bene"
"Scientific Games","great pay"
"Scientific Games",",good work environment"
"Scientific Games",",pot lucks, games"
"Scientific Games",",free lunch if you work Saturday"
"Scientific Games",",Relaxed work environment"
"Scientific Games",",a job"
"Scientific Games",",software guys at card blanc expense accounts and took us out to eat just about every night"
"Scientific Games",",Excellent Salary"
"Scientific Games",",pay"
"Scientific Games",",Good pay"
"Veterans Medical Research Foundation","Breakfast and coffee every Friday"
"Veterans Medical Research Foundation",",Great life-work balance"
"Veterans Medical Research Foundation",",co-workers, work-life balance"
"Veterans Medical Research Foundation",",none"
"Veterans Medical Research Foundation",",opportunities to learn and grow"
"Veterans Medical Research Foundation",",psychology experience"
"Shell","good pay"
"Shell",",we got raises"
"Shell",",Travel"
"Shell",",International assignments, opportunity to have a number of different Jobs, Ample Training provided, Flexibility to perform in different functions."
"Shell",",20% discount, very lenient, Makes everyone feel important"
"Shell",",free drinks, healthcare, flexible hours"
"Shell",",i learned a lot"
"Shell",",free launch"
"Shell",",Overtime Opportunities"
"Shell",",best company to work at"
"Shell",",flex hours"
"UnitedHealth Group","nice co-workers"
"UnitedHealth Group",",Community outreach"
"UnitedHealth Group",",a lot of work"
"UnitedHealth Group",",Meet challenges of KanCare initiative as directed by state guidelines."
"UnitedHealth Group",",Patients"
"UnitedHealth Group",",None"
"UnitedHealth Group",",work from home"
"UnitedHealth Group",",Options for advancement"
"UnitedHealth Group",",Schedule Flexibility to an extent"
"UnitedHealth Group",",work at home"
"UnitedHealth Group",",free food during open enrollment and prizes"
"Pfizer Inc.","Value of Respect for People"
"Pfizer Inc.",",good services of the cafeteria."
"Pfizer Inc.",",Outstanding Work Culture"
"Pfizer Inc.",",Same as Endo."
"Pfizer Inc.",",Size, resources."
"Pfizer Inc.",",good place..."
"Pfizer Inc.",",Good pipeline"
"BB&T","generous pto"
"BB&T",",pay"
"BB&T",",Good Values and Benfits"
"BB&T",",Great benefits, good company"
"BB&T",",Good co workers, Supervisors"
"BB&T",",Holidays"
"BB&T",",Great work environment and location"
"Asurion","environment"
"Asurion",",benefits"
"Asurion",",Good Pay"
"Asurion",",Good environment"
"Asurion",",Work from home"
"Asurion",",great medical benefits"
"Asurion",",Wonderful atmospher, management, monthly bonuses available"
"Asurion",",Excellent Lunches. Fun Games. & Friendly Workplace"
"Asurion",",Training"
"Asurion",",Interacting with A.T.s, counting parts, extended lunch/breaks, recycle areas, and goofing off with employees."
"Asurion",",Great work enviorment"
"Asurion",",Free lunches, drawings for free stuff"
"Asurion",",Flexible shifts, pay raises, great coworkers"
"TEKsystems","Free lunch meetings and a consistent work flow"
"TEKsystems",",decent"
"TEKsystems",",Friendly recruiters, Pay is decent"
"TEKsystems",",Weekly Pay"
"TEKsystems",",Personable and helpful"
"TEKsystems",",Contractor, great people, great money"
"TEKsystems",",Got paid for expenses on mileage to and from work after the first 50 miles."
"TEKsystems",",Always available"
"Pitney Bowes","Lunch breaks, discounts"
"Pitney Bowes",",GREAT MANGERS"
"Pitney Bowes",",Good pay and benefits, good work culture, interesting work"
"Pitney Bowes",",weekly pay"
"Pitney Bowes",",interesting work"
"Pitney Bowes",",Competitive Salary"
"Pitney Bowes",",Good benifits."
"Pitney Bowes",",my co-workers"
"Pitney Bowes",",Divisity"
"Pitney Bowes",",Benefits and people"
"Pitney Bowes",",US Congress"
"Pitney Bowes",",Friendly, informative, healthcare"
"Birchbox","Free lunches, fun work environment, amazing co-workers, ownership of intern projects."
"Birchbox",",Free makeup samples"
"Montefiore Medical Center","Being in a management position, which allowed me to understand the direction of the organization"
"Montefiore Medical Center",",a lot of experience"
"Montefiore Medical Center",",growing organization"
"Montefiore Medical Center",",Flexibility with time"
"Montefiore Medical Center",",great coworker atmosphere"
"Montefiore Medical Center",",Well known Hospital, good to work for. Staff was like a family. Always busy. I like to be busy."
"ThriveHive","Great opportunities to learn/expand and a great product."
"ThriveHive",",Interesting, challenging, flexible"
"Merck","Opportunity to build strong relationships with advocates and KOL"
"Merck",",Time Management"
"Merck",",Great benefits and perks"
"Merck",",great benefits, 401k, health insurance, bonuses"
"Merck",",Salary and benefits"
"Merck",",Good paying and room for advancement"
"Merck",",Free Lunch at team and departmental meetings."
"Merck",",Good pay and benefits. Good people"
"Merck",",Job Work/Life Balance, Healthcare Benefits"
"Merck",",Every employees support each other and make the place lively"
"Merck",",Continue to increase their pipeline."
"U.S. Bank","Flexible lunch hour and breaks"
"U.S. Bank",",work from home opportunities"
"U.S. Bank",",Customer Service"
"U.S. Bank",",Relaxed work hours, e.g work 10 hours a day for 4 days and have three days off /week"
"U.S. Bank",",Easily assessable to transit"
"U.S. Bank",",benefits"
"U.S. Bank",",location and work hours"
"U.S. Bank",",Bank hours. Paid vacation. Incentives."
"U.S. Bank",",Great work environment"
"U.S. Bank",",Good health benefits"
"U.S. Bank",",Expanding, good products, good rates, overtime"
"United Airlines","Flexible work schedules for all woks of life."
"United Airlines",",Flight Benefits"
"United Airlines",",Free Flights"
"United Airlines",",free lunch"
"United Airlines",",easy to get to by train"
"United Airlines",",Great travel benefits"
"United Airlines",",great benefits"
"United Airlines",",lunches free sometimes."
"United Airlines",",Travel, management culture"
"United Airlines",",A different listening ability is developed due to having multiple conversations at the same time, something new is learned daily"
"United Airlines",",pay, vacation awesome insurance package"
"United Airlines",",flight benefits"
"United Airlines",",Airplanes, people from all over the wor"
"University of Maryland, Baltimore","Education"
"University of Maryland, Baltimore",",free lunch sometimes"
"University of Maryland, Baltimore",",Higher pay than most academic hospitals, will pay for continuing education"
"University of Maryland, Baltimore",",great coworkers"
"University of Maryland, Baltimore",",Off during the Christmas break"
"Rutgers University","Seeing the faces of the children light up when they see you"
"Rutgers University",",faculty permit"
"Rutgers University",",excellent benefits"
"Rutgers University",",great work place"
"Rutgers University",",working with and around student population and smart committed professionals and professors"
"Rutgers University",",Work with clients, most days 9-5, no on- call but different rules may apply to different units"
"Vulcan Inc.","Free lunches, free tickets to go different places"
"KEMET Electronics Corporation","Good pay and benefits"
"KEMET Electronics Corporation",",Work schedule benefits"
"KEMET Electronics Corporation",",Exposure to new responsibilities"
"KEMET Electronics Corporation",",Extremely challenging work atmosphere."
"KEMET Electronics Corporation",",had the opportunity to learn more aspects of the kemet systems, part of the financial systems integration team for new plant acquisitions."
"Vencore","Health Benefits, 401k"
"Vencore",",Simple and easy to manage tasks"
"Vencore",",Lots of flexibility on your schedule and working hours."
"Vencore",",Work without supervision"
"Vencore",",great benefits"
"Vencore",",flexible schedule"
"Vencore",",A typical day at work was stimulating enjoyable and interesting"
"Vencore",",Decent pay"
"Vencore",",great place to work"
"Vencore",",Flexible work schedule"
"Vencore",",Get to work outdoors sometimes"
"Domino's","Free pizza as a manager. Discounts on Pizza"
"Domino's",",Driving, money in your pocket daily."
"Domino's",",Listen to radio while driving, very social job"
"Domino's",",Discount food, tips"
"Domino's",",No free lunch"
"Domino's",",Benefits"
"Domino's",",Discounts"
"Domino's",",Discounted food for employees and flexible schedule"
"Domino's",",nothing"
"Domino's",",great starting pay"
"Domino's",",good discount, flexible"
"Domino's",",Low cost pizza, 401k, healthcare"
"Kamehameha Schools","Rewarding work"
"Kamehameha Schools",",Good employee benefits"
"Kamehameha Schools",",Too much to mention"
"Kamehameha Schools",",The workers were great, we did have alot of trip to Oahu to the main office on Oahu"
"Kamehameha Schools",",Support from my teammates"
"Kamehameha Schools",",Caring work environment, free food all the time"
"Kamehameha Schools",",Working with adults and young students/staff"
"Kamehameha Schools",",Great affordable school lunch, ability to exercise on campus"
"Kamehameha Schools",",Updated Technology"
"Kamehameha Schools",",Helping people"
"Rover.com","Flexible schedule; custom prices"
"Rover.com",",you get to interact with dogs and take care of them"
"Rover.com",",Make your own schedule, and pick your clients"
"Rover.com",",Long lunch break and friendly staff"
"Rover.com",",flexible schedule, work for yourself"
"Rover.com",",Stay at different houses"
"Rover.com",",Great Information is given to grow your business, customer support, marketing, insurance"
"Rover.com",",Furry friends everywhere, great people, fun times!"
"Rover.com",",Not having to get up and go to the office"
"Rover.com",",Free promotion, easy to use site"
"Rover.com",",Supportive, flexible, fun job"
"Rover.com",",Flexible, additional income, fun"
"Rover.com",",Companionship"
"Rover.com",",Dogs, active lifestyle, choose your own availability, control your own wages"
"Rover.com",",Work from home!"
"Red Ventures","Great environment, free food"
"Red Ventures",",Commission checks (you get what you are willing to work for)"
"Red Ventures",",Gourmet lunch on property for $4"
"Red Ventures",",Free discounted lunch flexible schedule"
"Red Ventures",",Quick, easy money, food truck, daily bonuses/prizes"
"Red Ventures",",free gym, basketball court and free food some times."
"Red Ventures",",Benefits, pay, facility"
"Red Ventures",",On site facilities to eat, work out and relax to play pool, ping pong or watch TV."
"Red Ventures",",Great pay"
"Red Ventures",",Great benefits, commission, and working with a great team"
"Red Ventures",",money, enviornment, the best benefits"
"Red Ventures",",Inexpensive food, fun people to work with"
"Red Ventures",",Culture, Opportunity to make good money"
"Red Ventures",",Win prizes"
"Trulia","compensation is ok, good events / activities, z benefits are great"
"Trulia",",Benefits, stocked kitchens, ping pong tables, and tons of sales contests"
"Trulia",",free lunches, ping pong, parties, catered lunches, gifts"
"Trulia",",Free food, Great benefits"
"Trulia",",Management, Benefits, Flexible Schedule"
"Trulia",",free lunch"
"Trulia",",close to home, flexible hours, competitive compensation."
"Trulia",",Culture, Teamwork Environment, Outstanding People, Benefits are unbelievable (in a good way)"
"Trulia",",Free breakfast, beverages and snacks, great pay and benefits, unlimited time off"
"Trulia",",Benefits, financial, work-life balance"
"UCB","Teamwork of my Team and fellow managers"
"UCB",",customers"
"UCB",",Management"
"UCB",",Good benefits"
"UCB",",Free gym, great family day"
"UCB",",great employees"
"UCB",",close to home"
"UCB",",healthcare, flex-time"
"UCB",",company car, bonus, and excellent benefits"
"UCB",",benefits ok"
"UCB",",bonus structure"
"Express","Quick placement, interviewers are very nice."
"Express",",fun busy hours"
"Express",",We are friendly and there to help"
"Express",",long hours"
"Express",",discounts"
"Express",",Bonus if job is completed before deadline"
"Express",",Got a decent pay."
"Express",",Successful company"
"Express",",people"
"Dillard's, Inc.","Good pay, benefits"
"Dillard's, Inc.",",Coworkers"
"Dillard's, Inc.",",Good base pay, discount, enjoyable, oppurtunity for advancement"
"Dillard's, Inc.",",fun place"
"Dillard's, Inc.",",discounts and rewards"
"Dillard's, Inc.",",Co-workers were nice, Nice area to work"
"Dillard's, Inc.",",n/a"
"Dillard's, Inc.",",Nice environment, good pay"
"Dillard's, Inc.",",employee discount"
"Dillard's, Inc.",",Great place to work"
"Norfolk Southern Corp","retirement"
"Norfolk Southern Corp",",The benefits were fair"
"Norfolk Southern Corp",",Riding a train."
"Norfolk Southern Corp",",benefits and pay"
"Norfolk Southern Corp",",Money"
"Norfolk Southern Corp",",benefits"
"Norfolk Southern Corp",",compenstions"
"Norfolk Southern Corp",",Pay, retirement"
"Macmillan Learning","relaxed atmosphere, no micro-management"
"Macmillan Learning",",Getting hands on experience on latest technologies."
"Demandbase","Snacks, catered meals, central location, benefits"
"Demandbase",",Friday lunches"
"Demandbase",",except for a few colleauges I connected with, not much"
"State Farm Mutual Automobile Insurance Company","Great culture"
"State Farm Mutual Automobile Insurance Company",",Benefits"
"State Farm Mutual Automobile Insurance Company",",paid holidays, weekends off, no overtime"
"State Farm Mutual Automobile Insurance Company",",pay, great boss and management, sales goals and commission. luncheons and holiday dinners. much room to grow."
"State Farm Mutual Automobile Insurance Company",",Team oriented"
"State Farm Mutual Automobile Insurance Company",",good pay, good benefits, and you can get a car with them for a good price"
"Dealer Tire","none"
"Dealer Tire",",Great co-workers, weekends off, work-life balance"
"Dealer Tire",",Company car, travel, and still family owned"
"Dealer Tire",",miney was good"
"Dealer Tire",",Flexible schedules, good pay"
"Dealer Tire",",Some good, honorable co-workers"
"Dealer Tire",",Car insurance flexible time"
"Dealer Tire",",Culture"
"Dealer Tire",",Nice office environment"
"Dealer Tire",",Discount on tires"
"Dealer Tire",",benefits, and job"
"Dealer Tire",",Breakroom with tv, work-life balance"
"Dealer Tire",",great pay"
"Dealer Tire",",Company car, insurance, monthly commissions"
"The Climate Corporation","Free lunches, great healthcare benefits, ability to work from home"
"The Climate Corporation",",Good benefits and compensation"
"Harvard Pilgrim Health Care","They feed you for free a lot, be prepared to gain 15 pounds"
"Harvard Pilgrim Health Care",",Holiday social events in other locations sponsored by company"
"Harvard Pilgrim Health Care",",Ability to work from home/ Great benefits"
"Harvard Pilgrim Health Care",",lots of financial incentives and rewards, good employee appreciation and recognition, great starting pay rate, room for advancement, on site gym"
"Harvard Pilgrim Health Care",",flexible hours and ability to work independantly"
"Harvard Pilgrim Health Care",",able to work with many intelligent people"
"Harvard Pilgrim Health Care",",Great Cafeteria, Good People, Awesome Workplace and Good HOLIDAY PAY!!"
"Harvard Pilgrim Health Care",",Fantastic incentives"
"Harvard Pilgrim Health Care",",hours. people"
"Dell","Travel Discount, work freely with minimal management"
"Dell",",great co workers, cafe on site, gym on site"
"Dell",",mileage pay, flexible work hours"
"Dell",",Flexible manager, co-workers appreciate my contributions"
"Dell",",30 minutes breaks lunch"
"Dell",",culture"
"Dell",",Team environment"
"Dell",",Pay"
"Bio-Rad, Inc.","Friendly People"
"Bio-Rad, Inc.",",Free Coffee"
"Bio-Rad, Inc.",",Friendly evironment"
"Bio-Rad, Inc.",",Friendly management, co-workers"
"Bio-Rad, Inc.",",Very intersting product. Intellectually stimulating."
"Bio-Rad, Inc.",",Nothing"
"Bio-Rad, Inc.",",Typical work environment"
"Bio-Rad, Inc.",",Bad"
"Bio-Rad, Inc.",",good benefits"
"Bio-Rad, Inc.",",Location"
"Bio-Rad, Inc.",",Poorly mgt"
"Bio-Rad, Inc.",",Great organization, overall"
"Bio-Rad, Inc.",",good benefits"
"RealNetworks","Lunch, view, co-workers, office"
"RealNetworks",",Free breakfast/snacks"
"RealNetworks",",Great benifits and time off"
"RealNetworks",",none"
"RealNetworks",",lunchroom with subsidized lunches, waterfront location"
"RealNetworks",",reston team, including team and management"
"University of Tennessee - Knoxville","free tuition"
"University of Tennessee - Knoxville",",Good programs for BA and MBA"
"University of Tennessee - Knoxville",",Fun"
"University of Tennessee - Knoxville",",Benefits"
"University of Tennessee - Knoxville",",Flexible work environments, lovely city (Knoxville), passionate coworkers"
"University of Tennessee - Knoxville",",Great learning experience"
"University of Tennessee - Knoxville",",Nice office"
"University of Tennessee - Knoxville",",Decent pay"
"University of Tennessee - Knoxville",",Wonderful atmosphere, fun coworkers, understanding management"
"Men's Wearhouse","management phenomenal, great discounts, sales opportunities"
"Men's Wearhouse",",Great introduction into the world of customer service and how to really help a customer."
"Men's Wearhouse",",i love my custormers"
"Men's Wearhouse",",discounts"
"Men's Wearhouse",",discount flexible hours"
"Men's Wearhouse",",fun"
"Men's Wearhouse",",occasional free pizza, 55% discount"
"Men's Wearhouse",",Like the employees I work with."
"Men's Wearhouse",",good food"
"Men's Wearhouse",",Great management, open communication, epic learning environment"
"Men's Wearhouse",",Free lunch saturdays"
"Men's Wearhouse",",Free lunch on the weekend"
"TE Connectivity","None"
"TE Connectivity",",None"
"TE Connectivity",",Great products"
"TE Connectivity",",Good Benefits"
"TE Connectivity",",It is another learning experience"
"TE Connectivity",",Good pay"
"TE Connectivity",",Nice people. Fast Paced."
"TE Connectivity",",newly remodled"
"TE Connectivity",",Great seniors"
"Experian","People"
"Experian",",Strong culture"
"Experian",",lots of fun"
"Experian",",people/customers"
"Experian",",Free healthy snacks on a weekly bases."
"Experian",",Cutting-edge technoloy and operations."
"Experian",",Lots of job opportunities across a global organization"
"Experian",",Free pot lucks"
"Experian",",Free fruit weekly and onsite gym"
"Experian",",Cutting-edge work if you're in the right position in the right department."
"Experian",",Benefits"
"Experian",",Good benefits, clean and modern facility"
"Experian",",The people"
"Experian",",You work in small team and get to learn and impact a lot."
"kyyba","Health benefits started right away."
"UT Southwestern Medical Center","friendly staff, healthcare"
"UT Southwestern Medical Center",",science"
"UT Southwestern Medical Center",",The lunch was taken out through payroll deductition and insurance was great"
"UT Southwestern Medical Center",",Excellent benefits good pay"
"UT Southwestern Medical Center",",Great resources"
"UT Southwestern Medical Center",",Great pay"
"UT Southwestern Medical Center",",i was great"
"UT Southwestern Medical Center",",Flexibility"
"UT Southwestern Medical Center",",There is always opportunity to grow."
"UT Southwestern Medical Center",",Benefits and pay"
"Seattle Genetics","Work environment"
"Seattle Genetics",",laid back co-workers, great benefits"
"VANTAGE WEST CREDIT UNION","Benefits - low employee costs and great 401k"
"VANTAGE WEST CREDIT UNION",",good 401K plan"
"VANTAGE WEST CREDIT UNION",",good management, and benefits"
"VANTAGE WEST CREDIT UNION",",401k matching, decent HSA healthplan"
"VANTAGE WEST CREDIT UNION",",affordable benefits"
"VANTAGE WEST CREDIT UNION",",benefits, paid holidays, paid vacation, schedule, tuition reimbursement"
"VANTAGE WEST CREDIT UNION",",Excellent employee matched 401K, and great employee benifits"
"VANTAGE WEST CREDIT UNION",",Good benefits and good on-going training ability"
"VANTAGE WEST CREDIT UNION",",Community involvement, several locations"
"VANTAGE WEST CREDIT UNION",",We get awarded when we go beyond expectation (as a branch)"
"VANTAGE WEST CREDIT UNION",",great work environment, great benefits, room for advancement"
"Medidata Solutions","Liberal PTO, flexible work from home, great people, worthy product, high pressure"
"Medidata Solutions",",Games room, showers, nice office space and flexible office hours"
"Medidata Solutions",",Work from Home, Helpful environment"
"Medidata Solutions",",Free tea/coffee points, Once a month bagel/fruit monday"
"Direct Energy","Always busy"
"Direct Energy",",none"
"Direct Energy",",Great work-life balance."
"Direct Energy",",Rewarding, Paid Training, Tenure"
"Direct Energy",",Great Pay"
"Direct Energy",",Good salary"
"Direct Energy",",Good work life balance."
"Cadent","Tenia Seguro Medico"
"Sarah Cannon Network","Great Mission statement that they live and work by, middle management is great. Health benefits are awesome."
"Sarah Cannon Network",",Flexible, understanding of need for work-life balance"
"Sarah Cannon Network",",Admirable mission for performance."
"Sarah Cannon Network",",benefits, time off, mission"
"Sarah Cannon Network",",free lunches, meeting new people from around the country"
"Sarah Cannon Network",",It's better (maybe) than unemployment"
"Sarah Cannon Network",",atmosphere is pleasant"
"Sarah Cannon Network",",Insurance coverage for your anti-depressant and hypertensive meds."
"Cold Spring Harbor Laboratory","great working hours, some nice hard working people, breaks"
"Cold Spring Harbor Laboratory",",Free lunches and dinners"
"Cold Spring Harbor Laboratory",",cafeteria on grounds"
"Cold Spring Harbor Laboratory",",discounted lunches and supplied multiple avenues for training"
"Cold Spring Harbor Laboratory",",great atmosphere; friendly people; interactive"
"General Dynamics Information Technology","great staff dedicated to exceeding expectations"
"General Dynamics Information Technology",",Four 10 hour work weeks. The highlight of the entire experience!"
"General Dynamics Information Technology",",Health coverage, opportunity to grow in the company, 401K."
"General Dynamics Information Technology",",Great Benefits"
"General Dynamics Information Technology",",none"
"General Dynamics Information Technology",",leadership"
"General Dynamics Information Technology",",Not really that many Pros"
"General Dynamics Information Technology",",Work-life balance"
"General Dynamics Information Technology",",Free healthcare, awesome pay"
"General Dynamics Information Technology",",good pay, weekends off, start off at 40 hrs"
"General Dynamics Information Technology",",Good pay"
"Liberty Personnel Services","Great perks! Win trips, cash prizes, car allowances, bonuses, and more"
"Liberty Personnel Services",",Unlimited earning potential, great incentives, great people, great environment"
"Liberty Personnel Services",",Unlimited earning potential, top notch recruiting tools and system, flex hours"
"Liberty Personnel Services",",Trips, Quarterly bonuses, Flexible Hours, Fun Work Environment, Professional, etc."
"Liberty Personnel Services",",you will be successful if you put in the time."
"Liberty Personnel Services",",people"
"Eliassen Group","Outings, snacks, lunches, etc."
"Eliassen Group",",People"
"Eliassen Group",",free lunches, out of work outings, free parking, work/life balance, great mangement"
"Eliassen Group",",Company outings, some free lunches/treats, great work/life balance"
"Eliassen Group",",Immediate recognition and appreciation for efforts that have noticable impact"
"Eliassen Group",",None"
"Eliassen Group",",Free Lunches, Free Parking, Awesome work environment, Great leadership team"
"Eliassen Group",",On time payment"
"Eliassen Group",",Free lunches"
"Eliassen Group",",Frequently paid for lunches, out of office events, highly motivating CEO/President"
"Eliassen Group",",leadership"
"Eliassen Group",",Free Team Lunches"
"Eliassen Group",",Quick and efficient staffing"
"Eliassen Group",",Free parking, Free snacks, quarterly bonuses, health care, fitness benefits"
"Columbia University","flexibility"
"Columbia University",",tuition benefit, talented people, good work/life balance"
"Columbia University",",Brilliant People"
"Columbia University",",Very smart and humble people"
"Columbia University",",Great social events"
"Columbia University",",Great location, academics and academic staff"
"Columbia University",",Great access to the best minds"
"Columbia University",",Networking, Resources, Education, Academic Environment"
"Netflix","Great benefits, guaranteed hours and OT"
"Netflix",",Benefits, Pay"
"Netflix",",Great food provided"
"Netflix",",Free Lunch, autonomy, respect, unlimited maternity and paternity leave, diversity"
"Netflix",",Benefits, Good Pay, Friendly Co-Workers"
"Netflix",",Free food, Netflix swag, freedom of choice"
"Netflix",",Relaxed Environment"
"Makino, Inc","Flexible schedule"
"Makino, Inc",",Everyday is a new and exciting job."
"Makino, Inc",",i was my own boss"
"Makino, Inc",",Well supported"
"Makino, Inc",",Hardly any supervision"
"Makino, Inc",",community involvement, on-site gym, on-site cafeteria, team oriented, friendly co-workers"
"Makino, Inc",",a wide variety of experiance in diffrent industrial settings"
"Makino, Inc",",Birthday lunches and socials"
"Makino, Inc",",cafeteria onsite; suburban"
"Synchrony Financial","Great work environment with more celebration of the lower employees than the high ranking ones."
"Synchrony Financial",",Free Lunches"
"Synchrony Financial",",Benefits, cafeteria"
"Synchrony Financial",",Decent time off, GREAT health insurance"
"Synchrony Financial",",You get paid every Friday"
"Synchrony Financial",",great benefits"
"Synchrony Financial",",Everything"
"Sabre","Vacations and distance from home"
"Sabre",",Great development oportunities"
"Sabre",",Location, green building, excellent benefits, many employees are young, young at heart, and open minded people"
"Sabre",",Easy job"
"Sabre",",New technology"
"Sabre",",Free food on occasion"
"Sabre",",Global company with broad base of great customers."
"Sabre",",Organic food"
"APPLECART","50% off food when on shift"
"Dexcom","Good pay, good friendly people to work with. sell a great product"
"Dexcom",",help people with diabetes"
"Dexcom",",Great product, free lunch end of every month"
"Dexcom",",steady work"
"Dexcom",",Self checkout for buying food"
"Dexcom",",Plenty of overtime, overtime, overtime"
"Dexcom",",Exciting, new, great management, great people"
"Dexcom",",Amazing product makes it easy to sell, unlimited overtime, great co-workers"
"Dexcom",",potlucks"
"Dexcom",",Self service vending room"
"Dexcom",",Food, coffee."
"Dexcom",",paid well"
"Dexcom",",1 hour lunch break"
"Wind Creek Hospitality","Decent pay and insurance"
"Wind Creek Hospitality",",discounted lunch"
"Wind Creek Hospitality",",Benefits"
"Wind Creek Hospitality",",Meet new people"
"Wind Creek Hospitality",",Health insurance package is wonderful"
"Wind Creek Hospitality",",cheap lunches, very nice people to work for"
"Wind Creek Hospitality",",Great benefits."
"Wind Creek Hospitality",",benifits"
"Wind Creek Hospitality",",good environment"
"Wind Creek Hospitality",",PTO, benefits, quaterly bonus!"
"Wind Creek Hospitality",",Benefits, managers, inexpensive employee dining room"
"Viacom","good enviorment to network and learn from fellow co workers"
"Viacom",",benefits"
"Viacom",",great environment, events, benefits for staff"
"Viacom",",good work enviornment"
"Viacom",",1515 has awesome food for lunch"
"Viacom",",none"
"Viacom",",familiy oriented, great healthcare"
"Viacom",",great benefits, great people to work with"
"Viacom",",great opportunity to networks, build professional relationships"
"Viacom",",Fun working environment and you get to meeting a lot of talentted people"
"DataXu","Free lunch, great work environment, excellent benefits"
"DataXu",",Weekly lunches"
"DataXu",",great people, great perks, growing fast!"
"General Mills","free products, good benifits"
"General Mills",",time flew by and good money"
"General Mills",",Benefits"
"General Mills",",Free food, amazing benefits, work life balance, vacation days, job security"
"General Mills",",Company store, caribou coffee, salon, work/life balance is excellent"
"General Mills",",People and time limit"
"General Mills",",Decent breaks"
"General Mills",",Flexible shift changes"
"General Mills",",Great Benefits, good flexible hours"
"General Mills",",lunch and breaks on time and good pay"
"Invesco","Good vacation time"
"Invesco",",Flexible hours"
"Invesco",",happy people"
"Invesco",",Culture, management"
"Invesco",",great mentoring"
"Invesco",",Great Transportation benefits"
"Invesco",",Friendly co-workers, career advancement opportunities"
"Invesco",",People are great, benefits are surperior"
"Invesco",",free parking"
"Invesco",",n/a"
"Invesco",",Bonus potential."
"Wunderman","flexible schedule"
"Wunderman",",come in late, paid lunches, fun people"
"Wunderman",",small park behind the workplace"
"Wunderman",",Flexible schedule (able to work from home), great pay and yes free lunches!"
"Wunderman",",the best technology"
"Wunderman",",My position is like an education in advertising."
"Wunderman",",Great people"
"Wunderman",",Working from home, Good Clients, enjoyable work enviroment"
"Wunderman",",Fun work environment, great talent"
"Wunderman",",nice atmosphere, great people"
"Wunderman",",the people! casual, open environment. i enjoy the fast paced work, i would hate to be in a job where i was bored. pto, great holiday time off"
"Wunderman",",bagel/doughnut monday and fruit tuesday"
