"company","con"
"CDPHP",",nothing"
"CDPHP",",Healthcare"
"CDPHP",",inflexibility depending on department and tough on families"
"CDPHP",",......"
"CDPHP",",high stress, constant change in demands, lots of mandatory OT, sporadically scheduled breaks"
"CDPHP",",Short breaks"
"CDPHP",",micro managed"
"CDPHP",",manangement"
"CDPHP",",not getting paid for overtime"
"CDK Global","healthcare, micromanagment"
"CDK Global",",In transition, lower pay grade, work culture is behind current trends"
"CDK Global",",None"
"CDK Global",",Long hours, Travel time"
"CDK Global",",Traffic, parking, poor leadership"
"CDK Global",",everything else"
"CDK Global",",Too much micro-managing goes on here, and breaks are far too short."
"CDK Global",",Poor benefits, unreasonable expectations by management"
"CDK Global",",No longer has a job site in Columbus, OH."
"CDK Global",",To many to list, look at summary"
"CDK Global",",Workload balance"
"OGSystems","building is cold in the winter, hot in summer, not designed very well"
"Spencer Ogden","changing hours around when day shift would work short hours"
"Spencer Ogden",",All of it"
"Spencer Ogden",",healthcare"
"Spencer Ogden",",Positive atmosphere when I was at the office was uncomfortable at first, but if you can accept it, it becomes a PRO."
"Spencer Ogden",",managment lies to employees, late on pay, no healthcare, no money"
"Gallup","the type of work is now transitioning into online surveys"
"Gallup",",Weak managers that don't use their own tools"
"Gallup",",Your time away from the computer drastically effected your pay"
"Gallup",",pay"
"Gallup",",Soft strategic leadership"
"Gallup",",pay, benefits, hours"
"Gallup",",repetitive"
"Gallup",",Recruiters not transparent, terrible work, no career advancement"
"Gallup",",hour requirments"
"Gallup",",Coworkers come and go."
"Gallup",",play favorites"
"Gallup",",dealing with rude customers"
"Gallup",",boring and pay is bad."
"GlaxoSmithKline","reorganization every two years, layoffs"
"GlaxoSmithKline",",Limited resources for some products."
"GlaxoSmithKline",",No travel, hotel, meal expenses paid for professional development/conferences"
"GlaxoSmithKline",",night shift, management, intelligence level"
"GlaxoSmithKline",",not much advancement"
"GlaxoSmithKline",",Short breaks"
"GlaxoSmithKline",",Won the Highest sales award for the year and then was laid off"
"GlaxoSmithKline",",Not enough senior/mature management personnel."
"Eaton","Not enough salesforce to compete with our competitors."
"Eaton",",Terrible shift managers."
"Eaton",",working 7 days"
"Eaton",",Salary could be better."
"Eaton",",short breaks"
"Eaton",",Unorganized, hard to advance"
"Eaton",",Not enough sand in the ""Sand Box"""
"Eaton",",insensitive company"
"Eaton",",High Stress"
"Meetup","shifts in management"
"Electronic Arts","High pressured position"
"Electronic Arts",",Frequent layoffs"
"Electronic Arts",",pay"
"Electronic Arts",",Limited advancement opportunites outside of customer service without the right degrees, experience or certifications"
"Electronic Arts",",Short breaks, monotonous work"
"Electronic Arts",",It moves very fast and you're not alwlays able to produce your best work."
"Electronic Arts",",Not many turn backs."
"USAA","VERY inexperienced managers"
"USAA",",short lunches"
"USAA",",Pay is low (even with the yearly bonus)"
"USAA",",stagnant development"
"USAA",",management no room for growth unless you relocate/job politics"
"USAA",",Wages is a bit on the low end for Desktop Support Analyst"
"USAA",",short breaks"
"USAA",",Could pay a little more"
"USAA",",It sometimes seemed my manager would forget what's it's like to actually Process, she only viewed us as numbers and who was high versus who was low."
"USAA",",high call volume"
"USAA",",None"
"Royal Caribbean Cruises Ltd.","long working hours no offdays"
"Royal Caribbean Cruises Ltd.",",management's favorites for promotions"
"Royal Caribbean Cruises Ltd.",",short breaks, work everyday"
"Royal Caribbean Cruises Ltd.",",long hours, contractual"
"Royal Caribbean Cruises Ltd.",",Sometimes long hours but it depends on the schedule"
"Royal Caribbean Cruises Ltd.",",long hours, less sleep, lots of trainings esp. safety."
"Royal Caribbean Cruises Ltd.",",Only favorites get promoted."
"Royal Caribbean Cruises Ltd.",",none"
"Royal Caribbean Cruises Ltd.",",8-10hours"
"Royal Caribbean Cruises Ltd.",",Long hours, no days off for a 6 month contract."
"Royal Caribbean Cruises Ltd.",",turn over of management"
"Royal Caribbean Cruises Ltd.",",limited medical cover"
"Royal Caribbean Cruises Ltd.",",Full time"
"Royal Caribbean Cruises Ltd.",",Long hours"
"Walmart eCommerce","Work life balance, a lot of politics"
"Walmart eCommerce",",Lack of training at all levels creates a plethora of issues."
"Walmart eCommerce",",Cannot sit down as greeter."
"Walmart eCommerce",",repetitive"
"Walmart eCommerce",",long hours"
"Walmart eCommerce",",management"
"Walmart eCommerce",",short breaks and strict"
"Walmart eCommerce",",Short breaks"
"Walmart eCommerce",",30 minute lunches, mangement, no advancement, pto"
"Walmart eCommerce",",barley any work"
"Walmart eCommerce",",alot"
"Walmart eCommerce",",compensation"
"University of Utah","Lack of broad mindedness"
"University of Utah",",Working in science labs around chemicals"
"University of Utah",",No Work Life Balance"
"University of Utah",",N/A"
"University of Utah",",no benefits"
"University of Utah",",Lack of raises or very little increase"
"University of Utah",",Low Pay"
"University of Utah",",Repetitive work, can get boring"
"University of Utah",",Parking is tricky at best"
"University of Utah",",worked hours"
"The Advisory Board Company","High stress levels due to meeting member SLA's."
"The Advisory Board Company",",management"
"The Advisory Board Company",",none"
"The Advisory Board Company",",none"
"The Advisory Board Company",",no work/life balance, micro-management, entry level is mostly just busy work and sales"
"The Advisory Board Company",",Outsource to Chennai, Overworked services in US"
"The Advisory Board Company",",Work life balance, Compensations"
"New York Institute of Technology","Terrible management, no room for advancement/raises, fake sense of being a ""team, managers are passive aggressive and bipolar, ""rules"" depend on how management feels in that moment at that time"
"New York Institute of Technology",",Time Management"
"New York Institute of Technology",",Lack of Professionalism"
"New York Institute of Technology",",Too busy"
"New York Institute of Technology",",healthcare"
"New York Institute of Technology",",I made just enough money to pay my bills over the summer."
"New York Institute of Technology",",No complaints"
"New York Institute of Technology",",bad Management"
"Comcast","BAD PAY"
"Comcast",",have to network consistently"
"Comcast",",n/a"
"Comcast",",short breaks"
"Comcast",",need to focus more of customer service"
"Comcast",",Unaware of customer needs"
"Comcast",",Some houses are filthy"
"Comcast",",every changing policies, micro managing, unhappy customers"
"Scientific Games","long hours"
"Scientific Games",",too many meetings"
"Scientific Games",",short breaks"
"Scientific Games",",too much overtime"
"Scientific Games",",pay was not the best."
"Scientific Games",",health is very bad, cut down vacations, have no plan of where they are going"
"Scientific Games",",couldn't play the lottery"
"Scientific Games",",Benefits"
"Scientific Games",",point systems not fair"
"Scientific Games",",Everything else. Don't get lured by pay it's not worth it"
"Veterans Medical Research Foundation","Management not friendly"
"Veterans Medical Research Foundation",",People don't stay too long, because the salaries are not high"
"Veterans Medical Research Foundation",",parking"
"Veterans Medical Research Foundation",",No schedule flexibility, antiquated management, systems, and polices, unprofessional and unhappy work environment, no room for career growth, time consuming shuttle to and from work"
"Veterans Medical Research Foundation",",lower than average pay and benefits"
"Veterans Medical Research Foundation",",expensive benefits, inappropriate management"
"Shell","slow to advance"
"Shell",",when winter came an hardly any work"
"Shell",",A lot of time out of the USA"
"Shell",",Sometimes due to work requirements work life balance is out."
"Shell",",no breaks"
"Shell",",Breaks in between customers"
"Shell",",Short breaks, no advancement"
"Shell",",none."
"Shell",",health care"
"Shell",",More Vacation Time every 5 years needs to be implimented."
"Shell",",none"
"Shell",",parking was too high"
"UnitedHealth Group","long hours standing outdoors in the summer"
"UnitedHealth Group",",job security"
"UnitedHealth Group",",under pay"
"UnitedHealth Group",",Subject to change in state/CMS guideline changes."
"UnitedHealth Group",",Not enough hours in the day."
"UnitedHealth Group",",Short breaks"
"UnitedHealth Group",",Could not get a good read on my 2 supervisors while I was working there"
"UnitedHealth Group",",Too much overtime"
"UnitedHealth Group",",No Job Security"
"UnitedHealth Group",",sometimes there was not work to dod"
"UnitedHealth Group",",mandatory overtme during open enrollment"
"Pfizer Inc.","Loss of products patents"
"Pfizer Inc.",",Expensive cafeteria"
"Pfizer Inc.",",Same as Endo."
"Pfizer Inc.",",Part of thousands of employees"
"Pfizer Inc.",",No cons"
"Pfizer Inc.",",not work/life balance"
"BB&T","each employee was a number"
"BB&T",",Pay is not competive, no room for advancement poor work life balance"
"BB&T",",Short break. Long hours and no respect for families."
"BB&T",",No Room for Advancement"
"BB&T",",Short-staffed, too much workload, no appreciation"
"BB&T",",livid customers, pay rate"
"BB&T",",Growth opportunities"
"BB&T",",Very short assignment."
"Asurion","doing the same thing everyday"
"Asurion",",production"
"Asurion",",Short Breaks, Bad Management"
"Asurion",",no upward movement from the entree level"
"Asurion",",Very busy"
"Asurion",",underpaid"
"Asurion",",Emotionally draining"
"Asurion",",Shorten Breaks. & Strict Dresscode"
"Asurion",",Compensation"
"Asurion",",Certain managers/supervisors, certain co-workers, metal detectors, needing badge to enter buidling."
"Asurion",",having to convince the customer that they need to protect their personal entertainment equipment"
"Asurion",",Monthly goals"
"Asurion",",Very demanding at times."
"TEKsystems","not enough continuity"
"TEKsystems",",Rarely Full-Time, poor job security, gaps in work"
"TEKsystems",",common lack of communication"
"TEKsystems",",None"
"TEKsystems",",Contractor no benefits"
"TEKsystems",",Not full time work."
"TEKsystems",",Contract ended"
"Pitney Bowes","Schedule, Hours"
"Pitney Bowes",",HANDS WOULD HURT"
"Pitney Bowes",",struggling with new business environment, everyone feels pressured"
"Pitney Bowes",",little pay"
"Pitney Bowes",",frequent shift changes at a moments notice"
"Pitney Bowes",",No support"
"Pitney Bowes",",A lot of overtime. Short staffed."
"Pitney Bowes",",job relocated"
"Pitney Bowes",",No advancement, poor leadership, low wages"
"Pitney Bowes",",Lack of support from Sr leaders"
"Pitney Bowes",",US Congress"
"Pitney Bowes",",Site manager was hardly ever on site"
"Birchbox","Terrible management, chooses favorites, no job security, not good corporate team"
"Montefiore Medical Center","working in a union environment"
"Montefiore Medical Center",",bronx parking"
"Montefiore Medical Center",",pay"
"Montefiore Medical Center",",Lack of advancement"
"Montefiore Medical Center",",lack company morale"
"ThriveHive","Lots of changes, recent corporate buy out, loss of startup culture"
"ThriveHive",",It's a startup, so work/life balance isn't really a thing."
"Merck","Limited time with HCPs to extend face to face interactions, was a challenge because of their patient load"
"Merck",",Self Starter"
"Merck",",Poor management, too many layoffs"
"Merck",",highly competitive, long hours, unbalanced schedules"
"Merck",",Layoffs"
"Merck",",unsettlement of being bumped and losing your job."
"Merck",",Banking and Gym on site."
"Merck",",The management demand unrealistic expectation from the employee"
"Merck",",Slow advancement for women"
"U.S. Bank","High Sress"
"U.S. Bank",",Requirements to move up"
"U.S. Bank",",no holiday pay"
"U.S. Bank",",changes with out notice"
"U.S. Bank",",High turnover and no concept of employee engagement."
"U.S. Bank",",Severe lack of communication in upper management."
"U.S. Bank",",Slow advancement"
"U.S. Bank",",job stress with regards to product sales."
"U.S. Bank",",Low pay, low incentive pay, Bad management, short staff, shady."
"United Airlines","Operation based greatly upon seniority. Union environment."
"United Airlines",",no cons"
"United Airlines",",Pay"
"United Airlines",",sometimes it can be really busy"
"United Airlines",",no work from home"
"United Airlines",",Time pressure."
"United Airlines",",24/7 operations"
"United Airlines",",Shorts breaks, Shorts lunches."
"United Airlines",",Working with unions, volatility of the industry"
"United Airlines",",The shifts are 12 hours or longer, You have to wait for the next shift to come in to be relieved of your desk."
"United Airlines",",none"
"United Airlines",",morale is very low."
"United Airlines",",Bad weather days"
"University of Maryland, Baltimore","Too little support staff"
"University of Maryland, Baltimore",",longer breaks"
"University of Maryland, Baltimore",",Management styles"
"University of Maryland, Baltimore",",no job security"
"University of Maryland, Baltimore",",Did not have a Learning management System"
"Rutgers University","I only interned there once a week, I wish I could have interned there five days a week."
"Rutgers University",",stands for a long time"
"Rutgers University",",none"
"Rutgers University",",none"
"Rutgers University",",High risk for burn-out: no or very shorts breaks, poor communication and little guidance from management, inadequate clinical supervision"
"Vulcan Inc.","N/A"
"KEMET Electronics Corporation","Layoffs"
"KEMET Electronics Corporation",",None"
"KEMET Electronics Corporation",",too many lay-offs, too little help, not enough training"
"KEMET Electronics Corporation",",Sometimes critical information was not communicated as it should have been."
"KEMET Electronics Corporation",",as business declined, people were let go which placed more work on less people."
"KEMET Electronics Corporation",",lay offs, mismanagement"
"Vencore","no path for growth without leaving"
"Vencore",",typical office personality conflicts"
"Vencore",",None"
"Vencore",",No professional growth"
"Vencore",",help desk not very helpful"
"Vencore",",PTO"
"Vencore",",A typical day at work was stimulating enjoyable and interesting"
"Vencore",",Inefficiency everywhere you turn."
"Vencore",",contract ended"
"Vencore",",managemnt poor"
"Vencore",",Low pay/benefits and limited room for advancement"
"Vencore",",The heat in the middle eastern countries"
"Domino's","No vacation time"
"Domino's",",Money is not consistent, wear on vehicle."
"Domino's",",No benefits, discount mediocre"
"Domino's",",Work load"
"Domino's",",No breaks"
"Domino's",",Sometimes away from family."
"Domino's",",No benefits, No respect."
"Domino's",",No breaks, no benefits, no opportunity to advance"
"Domino's",",no breaks, healthcare"
"Domino's",",not the best benifits"
"Domino's",",unsteady hours, Hard to get a raise"
"Domino's",",On your feet all day"
"Kamehameha Schools","Management needs some improvement"
"Kamehameha Schools",",large organization with lots of procedures and bureacracy"
"Kamehameha Schools",",short breaks"
"Kamehameha Schools",",Politics, communications"
"Kamehameha Schools",",All the changes and no communication from upper management since Dee Jay, Sylvia and Lauren left. Boo hoo. I'm sad. :("
"Kamehameha Schools",",had to sit in a chair most of the day"
"Kamehameha Schools",",Intense and long days"
"Kamehameha Schools",",Gossiping, Bullies, Establishing Clicks, Upper Management lacks education, experience, and business professionalism and maturity, time wasters get away with doing nothing"
"Kamehameha Schools",",Pay is low"
"Rover.com","Rover takes 20%"
"Rover.com",",no cons"
"Rover.com",",No benifits, have to figure out own taxes"
"Rover.com",",Hard to advance without a college degree"
"Rover.com",",a lot of responsibility"
"Rover.com",",20% goes to Rover"
"Rover.com",",Can take a bit to get your first client"
"Rover.com",",Company keeps $20% of your earnings, alot of competition!"
"Rover.com",",It can sometimes be restrictive as we don't like to leave them alone."
"Rover.com",",20% fee taken from jobs"
"Rover.com",",none at this time"
"Rover.com",",Lower pay for time spent due to highly competitive market of other sitters."
"Rover.com",",None"
"Rover.com",",Rover takes 20% of your earnings"
"Rover.com",",Must have a dog friendly house and yard"
"Red Ventures","Short Breaks"
"Red Ventures",",Too many to explain"
"Red Ventures",",Shortened lunches (when ot required, not a prob for me.)"
"Red Ventures",",Demotions are frequent and common due to compliance, commissions are not consistant and pay decreases, write ups are frequent and very stressful"
"Red Ventures",",hours/schedule, managment always lurking and harrassing"
"Red Ventures",",work under a lot of pressure, Anything you say outside of the agency's parameters can translate into a layoff"
"Red Ventures",",short breaks, stressful, job security"
"Red Ventures",",You are expected to work all holidays other than Thanksgiving and Christmas, Initial shifts include weekends and late hours, Compensation Plans change almost every month."
"Red Ventures",",Short breaks"
"Red Ventures",",no job security"
"Red Ventures",",no HR programs to help trauma victims keep their job"
"Red Ventures",",High pressure sales, micromanaging, VERY repetitive, call center"
"Red Ventures",",Perpetual Glass ceiling. You have to be with the ""IN"" crowd to advance."
"Red Ventures",",Short break time, not having weekends off or two days off in a row."
"Trulia","management, bureaucracy, job profiles not accurate, lot of yes man left"
"Trulia",",minimal opportunities to advance"
"Trulia",",turnover"
"Trulia",",Angry Clients / Merger"
"Trulia",",Little advancement oppurtunity"
"Trulia",",politics on promotion"
"Trulia",",Can't think of any. Trulia was a fabulous company to work for."
"Trulia",",If you aren't used to it, CHANGE. It is the only thing constant in this place. It wasn't a con for me, but it can be for those that are used to a linear sales organization"
"Trulia",",Fast-paced and competitive work environment"
"Trulia",",Low base pay"
"UCB","Lack of concern by owner"
"UCB",",No raises, favoritism, not a place to work if you are seriously looking for real money to make"
"UCB",",Short Career"
"UCB",",dealingf with attitude a lot"
"UCB",",no breaks, noise level"
"UCB",",travel, long training period"
"UCB",",no comment"
"UCB",",high turn over rate"
"Express","Not a career. Just a transition job, until you find a 'real' job."
"Express",",no cons"
"Express",",Not enough hours"
"Express",",10 minutes breaks"
"Express",",long endless days and messes"
"Express",",pay is less then the other lunch ladies in the school system."
"Express",",No breaks"
"Express",",no benefits"
"Express",",Didn't get the opportunity to work often"
"Express",",nothing"
"Dillard's, Inc.","None"
"Dillard's, Inc.",",Sales"
"Dillard's, Inc.",",long hours"
"Dillard's, Inc.",",not enough pay"
"Dillard's, Inc.",",pay cuts if you don't meet quota, people stealing your sales"
"Dillard's, Inc.",",Not enough hours."
"Dillard's, Inc.",",Management doesn't care about employees, Only sales goals, No control over treatment of employees by dept managers."
"Dillard's, Inc.",",n/a"
"Dillard's, Inc.",",No room for advancement"
"Dillard's, Inc.",",long hours, weekends and nights, terrible management, physical demands of standing for long periods of time without a break"
"Dillard's, Inc.",",None"
"Norfolk Southern Corp","pay"
"Norfolk Southern Corp",",Most of the boss, s was not qualified."
"Norfolk Southern Corp",",Terrible morale. Culture of intimidation."
"Norfolk Southern Corp",",hard work, worry about lay offs"
"Norfolk Southern Corp",",Bad management, irregular hours, people always watching you"
"Norfolk Southern Corp",",management"
"Norfolk Southern Corp",",little notice when to work"
"Norfolk Southern Corp",",Little to no job security"
"Macmillan Learning","Salary is decent but not great"
"Macmillan Learning",",Disapproval of providing the sponsorship"
"Demandbase","Hard to compete for talent in Silicon Valley. It kinda shows."
"Demandbase",",where to start..."
"State Farm Mutual Automobile Insurance Company","Not many growth opportunities and not very good management"
"State Farm Mutual Automobile Insurance Company",",Working in a cubicle was challenging"
"State Farm Mutual Automobile Insurance Company",",boring"
"State Farm Mutual Automobile Insurance Company",",not so pleasant co-workers, schedule flexibility tight, overwhelming flow of information for different kinds of policies."
"State Farm Mutual Automobile Insurance Company",",Short lunch breaks and long work shifts"
"State Farm Mutual Automobile Insurance Company",",management can be overwhelming at times"
"Dealer Tire","you never knew when you were going to break."
"Dealer Tire",",Unbalanced pay based on location, management are given promotions based on tenure and not qualifications, no real assistance with job growth"
"Dealer Tire",",no health insurance"
"Dealer Tire",",Down town location means dealing with traffic"
"Dealer Tire",",Too many to name. Read the review above..."
"Dealer Tire",",Goals micromanaging lack of transparency"
"Dealer Tire",",Cleveland"
"Dealer Tire",",Seeing lazy people stand around the majority of the day while I was non-stop working, some days barely enough time to eat lunch at my desk, no work/life balance, favoritism, located in downtown Cleveland (traffic is a nightmare!!)"
"Dealer Tire",",No promotions"
"Dealer Tire",",hard to learn at first"
"Dealer Tire",",some managers are micro managers"
"Dealer Tire",",Excessive daily reporting, micro-managed, poor management"
"The Climate Corporation","Difficult to move within company, even laterally"
"The Climate Corporation",",worklife balance in busy season, working for startup with lack of organization"
"Harvard Pilgrim Health Care","Days taken off such as funerals, or sickness was used against you at time of review."
"Harvard Pilgrim Health Care",",Short Breaks/ Highly Monitored/ Stressful, high pressure environment"
"Harvard Pilgrim Health Care",",location, minor lapses in communication"
"Harvard Pilgrim Health Care",",traffic jams and over 2 hour commutes"
"Harvard Pilgrim Health Care",",Difficult working in a Call Center"
"Harvard Pilgrim Health Care",",not a career"
"Dell","A lot of down time"
"Dell",",n/a"
"Dell",",Lack of paid vacation, but that's not Dell, that's a contractor's life"
"Dell",",N/a"
"Dell",",Bonus is now added in to your normal check causing a higher tax"
"Dell",",short breaks"
"Dell",",Outsourcing of IT jobs"
"Bio-Rad, Inc.","Unreasonable demands on hours free time."
"Bio-Rad, Inc.",",Inconsistene in decision making in management"
"Bio-Rad, Inc.",",Heavy lifting"
"Bio-Rad, Inc.",",Poor leadership on some teams"
"Bio-Rad, Inc.",",Small lunch room, no showers, no activities"
"Bio-Rad, Inc.",",Short staffed... work piles up in some areas creating a bottleneck on work flow"
"Bio-Rad, Inc.",",Unsupported"
"Bio-Rad, Inc.",",short breaks"
"Bio-Rad, Inc.",",Company pays way below market Salaries."
"Bio-Rad, Inc.",",Bad habits @life science"
"Bio-Rad, Inc.",",Contract employment"
"Bio-Rad, Inc.",",micromanagers, no growth"
"RealNetworks","None"
"RealNetworks",",Very bad management team"
"RealNetworks",",Lack of comunication."
"RealNetworks",",lay-offs"
"RealNetworks",",all things seattle"
"University of Tennessee - Knoxville","pay for parking"
"University of Tennessee - Knoxville",",not a lot of parking spots for students"
"University of Tennessee - Knoxville",",Long Days"
"University of Tennessee - Knoxville",",Clueless management!"
"University of Tennessee - Knoxville",",Academic politics, low graduate stipend (but relatively high compared to other universities)"
"University of Tennessee - Knoxville",",temporary"
"University of Tennessee - Knoxville",",Working in silos"
"University of Tennessee - Knoxville",",Stressful, unfriendly coworkers, No training, Too many coworkers that want to make management decisions."
"Men's Wearhouse","minimum wage not the best hours all the time"
"Men's Wearhouse",",Continual changing environment, stripping the fun out of the job and making it harder to sell well."
"Men's Wearhouse",",not enough pay"
"Men's Wearhouse",",poor management, drug abuse"
"Men's Wearhouse",",pay"
"Men's Wearhouse",",pay"
"Men's Wearhouse",",manager won't utilize your sick balance, didn't get paid for sick leave, uses sick balance only when confronted, corrupt management, dreadful closing duties"
"Men's Wearhouse",",Pay is getting worse!"
"Men's Wearhouse",",no benefits"
"Men's Wearhouse",",Retail can be brutal, but overall worth it"
"Men's Wearhouse",",Rigid timing"
"Men's Wearhouse",",No healthcare for part time"
"TE Connectivity","Not culture or growth"
"TE Connectivity",",Compensation & benefits"
"TE Connectivity",",No room for advancement"
"TE Connectivity",",Short breaks and health care policy has went down hill."
"TE Connectivity",",Few growth opportunities"
"TE Connectivity",",Short breaks. Clueless management. Favoritism."
"TE Connectivity",",see above"
"TE Connectivity",",None"
"Experian","compensation"
"Experian",",this company does not care if they ruin your name"
"Experian",",physical difficulties/a very few store employees' aggressive behaviors."
"Experian",",Sometimes work done after hours was taxing."
"Experian",",Comp and benefits below average."
"Experian",",Short breaks and service org approach"
"Experian",",Short breaks"
"Experian",",12 hour shifts from 10a - 10p"
"Experian",",No job security."
"Experian",",Teams are understaffed, low pay per position"
"Experian",",hours, pay, coworkers and management"
"Experian",",compensation"
"Experian",",Since you work in very small team, work pressure is kind of thing you would have to deal with"
"kyyba","Health benefits are expensive, I ended up taking Cobra from my previous position."
"UT Southwestern Medical Center","stifling sometimes"
"UT Southwestern Medical Center",",The fiscal year attendance it was the worst."
"UT Southwestern Medical Center",",Cannot think of any"
"UT Southwestern Medical Center",",Management are unfair sometimes"
"UT Southwestern Medical Center",",temp"
"UT Southwestern Medical Center",",Compensation"
"UT Southwestern Medical Center",",N/A"
"UT Southwestern Medical Center",",Short lunch breaks and bad management"
"Seattle Genetics","none"
"Seattle Genetics",",lack of management, left hand doesn't know what right hand is doing."
"VANTAGE WEST CREDIT UNION","Not allowed time off when you have it on the books."
"VANTAGE WEST CREDIT UNION",",None"
"VANTAGE WEST CREDIT UNION",",bad benefits, management, coworkers."
"VANTAGE WEST CREDIT UNION",",not always the best room for advancement"
"VANTAGE WEST CREDIT UNION",",Terrible management"
"VANTAGE WEST CREDIT UNION",",very stressful at times, many managers are incompetent, favortism"
"VANTAGE WEST CREDIT UNION",",management- like high school"
"VANTAGE WEST CREDIT UNION",",No breaks"
"VANTAGE WEST CREDIT UNION",",Smaller branches were expected to take more risks"
"VANTAGE WEST CREDIT UNION",",promotions"
"VANTAGE WEST CREDIT UNION",",Sometimes it's hard to reach back office to get questions answered when we needed it."
"Medidata Solutions","Management, Compensation, Long Hours, High Pressure"
"Medidata Solutions",",N/A"
"Medidata Solutions",",Long hours sitting in front of computer screen"
"Medidata Solutions",",Short staffed"
"Direct Energy","Company left the NY market"
"Direct Energy",",the job itself"
"Direct Energy",",None."
"Direct Energy",",Sales"
"Direct Energy",",Management"
"Direct Energy",",In the summer its very hot outside to walk all day. In the winter is too cold."
"Direct Energy",",Poor middle management"
"Cadent","health insurance"
"Cadent",",Horario de almuerzo y merienda"
"Sarah Cannon Network","Executive leadership is oblivious to the workers, yearly increases dont exist. Pay is bottom of the barrel."
"Sarah Cannon Network",",Overworked, underpaid"
"Sarah Cannon Network",",No cons to specify."
"Sarah Cannon Network",",compensation, no room for advancement, unable to use time off"
"Sarah Cannon Network",",workload is too bearing"
"Sarah Cannon Network",",Nepotism, chaos, lack of direction, no advancement, no more bonuses"
"Sarah Cannon Network",",no cons at this time"
"Sarah Cannon Network",",Underlying hostile work environment"
"Cold Spring Harbor Laboratory","too many list, low pay, no union, benefits are too much, need better retirement, some people arnt too nice"
"Cold Spring Harbor Laboratory",",Certain supplies can't be found because they are scattered between all floors."
"Cold Spring Harbor Laboratory",",no bonuses"
"Cold Spring Harbor Laboratory",",n/a"
"Cold Spring Harbor Laboratory",",Sometimes a bit difficult to get to know others in different labs."
"General Dynamics Information Technology","It didn't matter what a great job you did. Compensation was minimal."
"General Dynamics Information Technology",",The schedule I was assigned was different from the availability on my application."
"General Dynamics Information Technology",",Supervisor Team"
"General Dynamics Information Technology",",better employee screening"
"General Dynamics Information Technology",",opporunity to grow"
"General Dynamics Information Technology",",Can't make-up hours."
"General Dynamics Information Technology",",Alot of Cons, especially that management was not there for us. And not able to move up in the company."
"General Dynamics Information Technology",",no advancement for me"
"General Dynamics Information Technology",",Short breaks"
"General Dynamics Information Technology",",Upward mobility"
"General Dynamics Information Technology",",Breaks feel short, always busy"
"General Dynamics Information Technology",",timed on the calls"
"General Dynamics Information Technology",",Rude co-workers, inconsistent application of policy"
"Liberty Personnel Services","N/A"
"Liberty Personnel Services",",you are not guaranteed to make money."
"Liberty Personnel Services",",na"
"Eliassen Group","management needs to recognize and do anything to KEEP their quality performers, rather than having the ""everyone is replaceable"" mentality"
"Eliassen Group",",I can't think of any at the moment."
"Eliassen Group",",Far from Boston"
"Eliassen Group",",headquarters is too small (but moving to a new building soon!)"
"Eliassen Group",",Not all efforts to optimize database operations have noticable impacts"
"Eliassen Group",",Poor Management"
"Eliassen Group",",Parking lot- can be difficult to find spots; Building/office could use some updates"
"Eliassen Group",",None"
"Eliassen Group",",Long breaks"
"Eliassen Group",",As cliche as it sounds, I really cannot think of any."
"Eliassen Group",",Healthcare"
"Eliassen Group",",Consulting work, short term"
"Columbia University","lack of professional development planning and talent management"
"Columbia University",",Sad Students"
"Columbia University",",Stupid person"
"Columbia University",",none"
"Columbia University",",Poor leadership in administration and lack of collegiality, development and onboarding of staff."
"Columbia University",",Non-profit arm lacks commitment to student/client enhancement."
"Columbia University",",Food"
"Netflix","Culture is dead, don't value their agents as they used to."
"Netflix",",Communication"
"Netflix",",Pranks, Stats, Short-Breaks"
"Netflix",",Poor management, power tripping management, uneducated management, difficult hiring process"
"Netflix",",Inconsistent Management"
"Makino, Inc","no benefits, cant use gym"
"Makino, Inc",",A lot of travel and time away from home."
"Makino, Inc",",un thoughtful people"
"Makino, Inc",",Contract only"
"Makino, Inc",",long hours, travel"
"Makino, Inc",",Never Home"
"Makino, Inc",",Overly competitive atmosphere"
"Makino, Inc",",horrible work culture"
"Synchrony Financial","Poor service"
"Synchrony Financial",",Less money spent in equipment and advancement of processes for operations"
"Synchrony Financial",",Short breaks and lunches"
"Synchrony Financial",",heavy work load low pay"
"Synchrony Financial",",Don't treat employees as people that matter. Lower pay than normal."
"Synchrony Financial",",Call volume is insane"
"Synchrony Financial",",Horrible management/pay"
"Synchrony Financial",",Long Cafe Hours"
"Sabre","Management and what seemed like a lack of funds to help employees better themselves."
"Sabre",",Extensive travel required"
"Sabre",",everything else"
"Sabre",",boring"
"Sabre",",Not enough time to learn"
"Sabre",",System crashing, insufficient information to provide clients"
"Sabre",",Little balance and sparse leader development"
"Sabre",",Cliques, incompetent managers, forgetting about all customers"
"APPLECART","Long hours, very unsociable"
"Dexcom","no parking, traffic sucksin that area, feels like college campus"
"Dexcom",",Not enough salary for work quantity"
"Dexcom",",High goals, not realistically based"
"Dexcom",",early hours"
"Dexcom",",Breaks are not long enough"
"Dexcom",",Not hiring nor promoting within hiring management who worked at a robotic call centers"
"Dexcom",",insurance companies often lag behind new technology"
"Dexcom",",All about the numbers, commission scale does not reward well"
"Dexcom",",nasty managers"
"Dexcom",",Dress code, micro management, endless paperwork."
"Dexcom",",poor organizational structure"
"Dexcom",",Some people are not consistant with there time/schedules"
"Wind Creek Hospitality","Management, HR, hours, people"
