"company","position","salary","worklife","compensation","jobsecurity","management","culture","company.x","review","company.y","position","company.x.1","pro","company.y.1","con"
NA,NA,NA,NA,NA,NA,NA,NA,"DECISIVE ANALYTICS CORPORATION",",DAC is a company with a great team of individuals who work together to get the job done.","Dillard's, Inc.",",Clinique Business Manager",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"DECISIVE ANALYTICS CORPORATION",",All position levels are valued, including internships.","Dillard's, Inc.",",Shoe Salesman/clerk",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"DECISIVE ANALYTICS CORPORATION",",The most enjoyable part of working at DAC is getting to know your co-workers. DAC provides great opportunities for this through lunches, happy hours, an ultimate frisbee team, etc.","Norfolk Southern Corp","Assistant Foreman",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"DECISIVE ANALYTICS CORPORATION",",Great company for new professionals (recent college graduates), or seasoned professionals.","Norfolk Southern Corp",",yardmaster",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"DECISIVE ANALYTICS CORPORATION",",I really enjoy working at Decisive Analytics Corporation. As a software engineer, my day-to-day involves a lot of sitting in front of a computer, but the lifestyle at DAC makes it all worth it! The fact that we're a small business means better benefits and a fun, relaxed atmosphere. We do regular happy hours, have an annual Christmas party, golf outing, and training meeting, which last year was held in the Bahamas! Also, we get discounted tickets to sporting events usually for front row or club seating.","Norfolk Southern Corp",",Accounting Intern",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton","Great place to launch career and build technical abilities ","Norfolk Southern Corp",",Locomotive Engineer, Conductor & Mentor",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"TriHealth",",Not a supportive place to work. I loved my co workers, but management began to take favorites....  I went above and beyond, but still found no appreciation.","Lam Research",",Equipment Engineer","Scientific Games",",Good pay","KEMET Electronics Corporation","Layoffs"
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",People passionate about what they do; work long hours with little reward","Norfolk Southern Corp",",Locomotive Engineer",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Grant Thornton is happy to be at the top of the mid-sized public accounting firms.  Employees learn a lot and get a lot of experience with the diverse clients.","Norfolk Southern Corp",",Operations Research & Predictive Analytics Intern",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Interns weren't given much responsibility","Norfolk Southern Corp",",Java Developer",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",mostly sat and waited for work opportunities","Norfolk Southern Corp",",PC/LAN Administrator",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",too many employees and not enough work ","Amedisys",",Business Development Manager","TD Bank",",free checking account","PerkinElmer",",Culture shift. Improvement and additional funding needed in R&D."
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",didn't learn as much as I expected starting my career","Intel",",Validation Design Lead","Logic20/20","The people","NVIDIA",",There might be Cons but I didn't find any"
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Great consulting opportunities in growing public sector. This company is becoming a force in the public sector and offers a lot of opportunities to grow and be part of the company's growth.","Norfolk Southern Corp",",Carmen/welder/painter",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Great culture","Norfolk Southern Corp",",Freight Conductor",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Good facilities ","Norfolk Southern Corp",",Mechanical Supervisor",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",amazing benefits","Norfolk Southern Corp",",Conductor/Switchman",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"TriHealth",",The mission and values are in alignment with my own.  My management team is amazing and cutting edge for creating a positive work environment.","Lam Research",",Production Assembly Technician","Veterans Medical Research Foundation","Breakfast and coffee every Friday","KEMET Electronics Corporation",",None"
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Flexibility","Norfolk Southern Corp",",Conductor",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Good partners","Norfolk Southern Corp",",Conductor",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Teamwork","Norfolk Southern Corp",",Locomotive Machinist",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Good company structure","Norfolk Southern Corp",",Conductor",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Competitive paying rates","Norfolk Southern Corp",",Electrician",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Managers offer constructive feedback","Norfolk Southern Corp",",Crew Dispatcher",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Great way to get experience in public accounting. The work culture could have been better but there were a lot of learning opportunities within the firm","Intel",",Global Account Manager / Solution Provider Manager","TriHealth",",Co-workers were great","GrubHub",",Some Dispatchers, Mileage, gas, use your personal car"
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",I have been with the firm and I am not happy with the main focus being on utilization. I don't have anything else to say. I would like a work life balance.","Norfolk Southern Corp",",Carman/Welder",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Grant Thornton lacks in opportunity and camaraderie.  Most recently, Human Resources has hired a great number of recent college graduates, but not enough projects to place them on. These individuals are provided leadership roles without much work experience.  They also provide inadequate direction, which is also apparent at the leadership level as well.  Experienced hires a often placed on opportunities that are not compatible with their skill set, and has resulted in a high turn over of knowledgeable professionals.","Norfolk Southern Corp",",Transportation Intern",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",The disparity of between experience and inexperience creates an environment that lacks genuine camaraderie, and more often seen as a threatening situation, even observed at the management level.  Grant Thornton's CLEARRLY slogan does not come close to being adapted on the job, in particular the aspect of mutual Respect.","Norfolk Southern Corp",",Journey Man Railway Carmen",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"TriHealth",",I really enjoy working for TriHealth. The people I work with make it easier to work in a such a high stress environment and management is very helpful, even when delivering news that could potentially upset employees.","CGI Group",",IA Policy Administrator","ExxonMobil",",steady hours","Time Inc",",Compensation, micro managed"
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",I like this firm, good culture. I like the ppl here. Everyone support each other. GT provides very good learning opportunity, people here grow very fast.","Macmillan Learning","Salesforce Administrator/Platform Support Analyst",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Grant Thornton does a very great job at making sure that their interns are getting a full perspective of what it would be like to work there full-time. It is very informative and I learned a lot in just the 8 weeks of my internship.","Macmillan Learning",",Software Developer",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Thoroughly enjoyed my experience at Grant Thornton and I could not say more positive things about the people and work environment they provided. I am glad I was able to start my career here and have no regrets choosing GT over a big 4 firm.","Demandbase","Data Analyst",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Grant Thornton is a great place to start a career.  The employees are bright and you will gain a lot of diverse experience.  They also provide a lot of opportunities to learn new things.","Demandbase",",Strategic Marketing Development, Web Optimization",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Typical day during busy season for an audit associate/senior associate:","Demandbase",",Data Analyst",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",8:30am - 7:30pm","State Farm Mutual Automobile Insurance Company","Claims Processor",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Responsible for carrying out fieldwork and performing audit testing. Responsible for guidance of staff members in completing their work. Responsible for direct communication with client and other engagement team members (Managers, Partners, ect).","State Farm Mutual Automobile Insurance Company",",Human Resource Business Partner",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Co-workers were excellent to work with; young, smart, helpful. Definitely the best part about this job are the people you work with.","Intel",",Manager/Technician","American Electric Power (AEP)","Good Benefits","NVIDIA",",Can't think of any"
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Hardest part of the job was pressure to complete work by deadlines and pressure from management. There is always a ""life or death"" type atmosphere with any assignment. ","State Farm Mutual Automobile Insurance Company",",Receptionist/Customer Service",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",No work life balance - the expectation is to always be available to work, even on weekends, holidays, and vacations.","State Farm Mutual Automobile Insurance Company",",Sales Representative",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"TriHealth",",My co-workers are highly educated and professional. Upper management is knows things are not as they should be and do not show their faces or support often.","Lam Research",",Assembler III","Veterans Medical Research Foundation",",Great life-work balance","KEMET Electronics Corporation",",too many lay-offs, too little help, not enough training"
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Great firm to work for but personally public accounting can be boring work if you don't get on the right clients. I would suggest staying in public for a few years then jumping ship.","State Farm Mutual Automobile Insurance Company",",Claim Associate",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",The Accounting Department is an environment different from the other groups at the firm.  I enjoy the work, it is challenging, but the work/ life balance gets challenging during certain peak times.  Advancement in this department is close to non existent, the advancement opportunities are either leave the department or leave the firm.  The talent pool in this department is top notch.  It's a great place to get your feet wet, and then advance in another company.","State Farm Mutual Automobile Insurance Company",",Multi- State Licensed Claims Adjuster",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",It's a good place if you want to be an expert in accounting. Sometimes expectations are so high even you do not know how the job will be done, they will blame you for it.","State Farm Mutual Automobile Insurance Company",",Insurance Agent",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",As Audit Associate for Grant Thornton our work environment changed on a semi-regular basis. Working at client sites allowed us to directly collaborate with staff and exercise communication skills. My work was directly supervised by a senior associate, however, tracking and recording my progress was entirely my responsibility. This final step taught me how to be thorough in my written communication. ","State Farm Mutual Automobile Insurance Company",",Performance Test Lead",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",  Management accessibility was one of the greatest tools to have as an associate. Learning a new skill involves asking a lot of questions, and my superiors never seemed to tire of training. Working as a close team we developed strong interpersonal skills and became a unit working as one.","State Farm Mutual Automobile Insurance Company",",Underwriting Assistant",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",The company overhired its interns. it had to lay off staff to get the new people get into the job. it needs to think twice before it hires so many people.","State Farm Mutual Automobile Insurance Company",",Customer Care Center Representative",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",The work environment while not travelling was not productive.  There was no cubicles to use for privacy. Excellent co-workers at the office and on the road.","State Farm Mutual Automobile Insurance Company",",Receptionist/Billing Specialist",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",Only for young people fresh out of college with no children or outside responsibilities. If this does not describe you, do not apply.","State Farm Mutual Automobile Insurance Company",",Claims Specialist",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Grant Thornton",",GT is a good company to work for if you want to work in small clients. If you want a more challenging job then join one of the big four.","Intel",",Logistics Program Manager","American Electric Power (AEP)",",Good pay","NVIDIA",",Lots of walking"
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters","Highly Professional","State Farm Mutual Automobile Insurance Company",",P&C Insurance Agent",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"GrubHub","1- App crashes almost everyday. They ask you delete the existing one and download again. ","Lam Research",",consultant building and assembling","Dia&Co",",Positive environment","EZCORP",",If you value your family, they wont keep you long"
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",Device Anywhere - tool learned","State Farm Mutual Automobile Insurance Company",",ILR Associate",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",Tight deadlines","State Farm Mutual Automobile Insurance Company",",ILR Claims Associate",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",Parties and team lunch","State Farm Mutual Automobile Insurance Company",",Claims Associate",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",We use celebrate the INDIAN Festivals every month and every one we'll have fun and most of them will participate in all the activities","State Farm Mutual Automobile Insurance Company",",Project Lead Consultant",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",Had a great experience but was let go during product restructuring. Great work/life balance. Lots of flexibility. Great benefits.","State Farm Mutual Automobile Insurance Company",",Receptionist",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",I have been associated with TR since last 5 years and the Business process and the system complexities have made me learn the best processes in the industry.","State Farm Mutual Automobile Insurance Company",",Account Representative",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",Great place to work.  Learned how to file different reports for multiple states taxes, and IRS forms.  The best part of the job was all the different functions within the tax department.","State Farm Mutual Automobile Insurance Company",",Fire - Underwriting Service Assistant",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",The work environment is supportive, but you are overloaded with work.  It is expected you stay to get your work completed to avoid getting behind. The work/life balance doesn't seem to be a priority, although you do get plenty of vacation time.  You may have to work on days off to catch up on work.","State Farm Mutual Automobile Insurance Company",",Agent Team Member/Sales Specialist",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",It is a lax environment, but it can get stressful with the expectations and upset clients.  I do like the recognition and appreciation because management knows it is a hard job.","Dealer Tire","Driver/Warehouse",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",I don't like all of the junk food everywhere. It doesn't seem like health is much of the culture or priority.","Intel",",Product Validation Engineer Technician","American Electric Power (AEP)",",Great pay and benifits","NVIDIA",",Often there is high work load"
NA,NA,NA,NA,NA,NA,NA,NA,"GrubHub",",2- They send you 4-5 miles away from your location. You drive but you don't get paid for gas. They only pay for the gas you used between the restaurant and customer.  In other words (because you don't get paid until you reach the restaurant), you pay your gas expenses out of your pocket. No need to mention about car depreciation :)","Lam Research",",QuickBase Application Administrator","Veterans Medical Research Foundation",",co-workers, work-life balance","KEMET Electronics Corporation",",Sometimes critical information was not communicated as it should have been."
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",An excellent place to work. I wanted to work more in my field of study, that's why I changed careers. Wonderful benefits, opportunities, job environment, and experience.","Dealer Tire",",Driver/ Warehouse Associate",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",With Tax Software, the person entering an amount on a Line number has to know how that line will calculate the amount they entered. The customers are NOT trained on the software because their company will not take the time out to train them. This puts more pressure on the Product support rep to explain to the client how a line calculates when it should already be understood (This is something that should be done in the software itself but it is not). Therefore, a 10 minute call will be last for 30-45 minutes because the product support rep has to explain to the client how the line calculates - this is in addition to the actual problem that the customer called about.  During busy season, the same customers call 4-6 times a day. This could easily be remedied if there was an icon next to each line that the client could click on and it would explain how the line functions but because the software is outdated, this cannot be done.","Dealer Tire",",Tire Service Advisor",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",Over the last 2 - 3 years Thomson has been eliminating staff positions.  ","Dealer Tire",",Warehouse associate/Driver",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",At one point there were 15 computer operators ( 5 per shift ) Now there are only 5 operators covering 7 days.","Dealer Tire",",Field Ops",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",It is a team work effort which is a very big plus. ","Dealer Tire",",Driver/Delivery",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",The hardest part of the job is covering 7 days with 5 people","Dealer Tire",",Consultant IT Project Manager",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",Loved the people who worked there. The work culture was great everyone was always helpful. The job was very taxing, but we made it fun.","Dealer Tire",",Account Manager",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",This place is boring, you feel like a drone most days. The actual facility is fairly nice but it is dull. Benefits were decent and work life balance was good.","Dealer Tire",",Driver",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",Thomson Reuters is a great company i love working there but they only hired a temporary only but i love working there the people there is very nice and its kind a hard to work there but i enjoyed myself working there.","Dealer Tire",",Account Manager",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",The quality of this company has drastically gone down over the years.  ""Too Big to Fail"" type of company as nothing gets done in a reasonable time and the quality has gone way down.","Dealer Tire",",SAM",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"GrubHub",",3- Let's say your shift is between 11 AM to 5 PM, and you don't want to accept a delivery which is created 4:57 that shows on your statement as REJECTED. Your acceptance rate goes bad. When acceptance rate is below %75 they don't contribute for min. guaranteed payment .","Lam Research",",Sr. Field Service Engineer","Veterans Medical Research Foundation",",none","KEMET Electronics Corporation",",as business declined, people were let go which placed more work on less people."
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",Unfortunately, although this job paid well, the company was unorganized.  The new employees weren't given a logon ID for about the first month.  We had to read about the company and the procedures the entire first month.  This was hard to understand not knowing anything about the job.","Intel",",Database Analyst","American Electric Power (AEP)",",Good pay and working conditions","NVIDIA",",No career oppty."
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",The management in my department was very family oriented and very fair.  Very willing to work with you on any level needed. My department was ""one big family"".","Dealer Tire",",Accounting",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",There are companies that care about their employees. This one used to, now it's all about the money. It started 2 years ago with major layoffs, then the conversion of outsourcing began. Employees were either let go, or converted to contractors. Part-time contractors were limited to 35 hours a week, with no vacation or benefits. Those who were fortunate enough to be full-time contractors found their pay reduced, and their heath benefits go up 35%. Would not recommend this company to my worse enemy!","Dealer Tire",",Strategic Operations Specialist",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",My position at Thomson Reuters dealing with different issues daily. Account related issues for our clients including invoices, invoicing portals, ACH, wires.","Dealer Tire",",Warehouse Associate/Driver",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",The most enjoyable part of the job ,  Is the Benefits !  And also the wages are good. Has good working hours.  1st and 2nd shift are 6:30am to 2:30pm and 2:30 to 10:30pm.","Dealer Tire",",Regional Sales Manager",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",Initially, every day was typical as I was new to the Inter-company accounting, lot of learning and got expertise in it.","Dealer Tire",",Warehouse associate/Driver",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",Professional management, learnt the management skills from Thomson Reuters","Dealer Tire",",Regional Sales Manager",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",Talented co-workers, every one has a different thing in them.","Dealer Tire",",Driver",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",My first transition, dealing with UK counterparts directly, understanding the knowledge transfer initially was the tough job.","Dealer Tire",",Benefits Specialist",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",Stabilizing the process in six months of taking over the process","Dealer Tire",",Team Lead Warehouse",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Squarespace",",The health benefits are far and away better than any other company you'll find. Period. The same is true for the financial benefits (401k, life insurance, etc.).","ATOS","Business Service Delivery Manager MetLife Account","Rangam Consultants Inc.",",Limited supervision","Siemens AG",",Loss of focus on employee"
NA,NA,NA,NA,NA,NA,NA,NA,"GrubHub",",4- New delivery order may pop up when you are on the way for delivery. You either reject or accept it otherwise you can't inform grubhub that you delivered the existing order. It sucks especially when you drive. It is like texting when you drive.","Lam Research",",Qliksense/Qlikview Architect & Onsite Coordinator","Veterans Medical Research Foundation",",opportunities to learn and grow","KEMET Electronics Corporation",",lay offs, mismanagement"
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",Very challenging and equally as rewarding.  Overall a really great place to work.  The earning potential is fantastic but the hours can be long.  It is difficult to find a balanced work/life schedule.","Dealer Tire",",Account Manager",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Thomson Reuters",",Work culture is amazing and growth opportunities are unlimited. I learned so much from colleagues and senior management. Best experience ever. I will surely miss the teams.","Intel",",Engineering Technician","American Electric Power (AEP)",",Great place to work","NVIDIA",",No free lunch/breakfast, many departments still work in cubicle farms"
NA,NA,NA,NA,NA,NA,NA,NA,"aclu","Great company pleasure working there. Lots of work keeping me busy and active. Managers are nice and reachable. Pension and 401k match. Hardest not able to know what the future holds. No promise of employment, to many changes.","The Climate Corporation","Operations Analyst",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"aclu",",a typical day relied on a bike ride to work from the house, always being punctual only to excitedly come to people that I always looked forward to seeing.","The Climate Corporation",",District Sales Manager of Southwest -Illinois",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"aclu",",we had a canvassing group that exceeded any others in sales and unification within the group.","Harvard Pilgrim Health Care","Customer Service Representative",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"aclu",",sometimes i myself managed the canvassing group, it was incredible the fluidity within the group that we allowed each other the capacity to officiate. ","Harvard Pilgrim Health Care",",ASSOCIATE CUSTOMER SERVICE SPECIALIST",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"aclu",",the most enjoyable part of the day was working with my team knowing that we would get off work and hang out, talk about the day that just transpired.","Harvard Pilgrim Health Care",",Member Services Representative",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"aclu",",working for the American Civil Liberties Union entailed knowledge of the organization, memorizing wraps and being able to present the information in a presentable manner to other organizations.  I learned how to best sell to people by providing the background and legitimacy of the organization but also how the donations would in turn benefit the donors as well as the civil rights they were donating for.","Harvard Pilgrim Health Care",",Senior Software Engineer",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"aclu",",The hardest part of the job was being able to present this information in a timely manner to people i have never met before or had just begun meeting at the job.","Harvard Pilgrim Health Care",",Data Analyst, Trouble shooter",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"aclu",",The most enjoyable part was witnessing the affect all our lobbying had on legislation, with the ability to assist in getting civil rights bills passed (same-sex marriage) and how it involved all the employees and donors and the significance we had had on each other as a collective group.","Harvard Pilgrim Health Care",",Senior Member Service Associate",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"GrubHub",",Its a good job for felons and those who want a driving job or someone who likes working alone and the company is going thru Texas with delivery jobs in Houston as well as Austin and San Antonio","Lam Research",",process engineer intern","Veterans Medical Research Foundation",",psychology experience","Vencore","no path for growth without leaving"
NA,NA,NA,NA,NA,NA,NA,NA,"aclu",",lobbying for civil rights legislation.","Harvard Pilgrim Health Care",",MEMBER SERVICE REPRESENTATIVE",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"aclu",",great co-workers, was commission based however, so was more of an individual experience.","Harvard Pilgrim Health Care",",AMBULATORY PHARMACY EXTERNSHIP",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"American Academy of Orthopaedic Surgeons","Great place to work and gain experience. It is not common to move up very quickly at the Academy, but it is certainly possible depending who you work for within the Academy. The Academy has great benefits and job security. They just moved into a brand new building and it is great. Everyone in the company is very nice and easy to get along with.","Intel",",Mechanical Technician","American Electric Power (AEP)",",great place to work and great co workers","OUTFRONT media","CBS was bought out by OUTFRONT."
NA,NA,NA,NA,NA,NA,NA,NA,"American Academy of Orthopaedic Surgeons",",Great work/life balance. Excellent benefits (Health Insurance, Life Insurance, Retirement Plan, Paid Vacation and sick time). Good group of people on staff.","Harvard Pilgrim Health Care",",Sr. Member Services Representative",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"American Academy of Orthopaedic Surgeons",",While working at the academy I experienced alot of rude, unprofessional, unethical and lack of diversity.","Harvard Pilgrim Health Care",",Associate",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"American Academy of Orthopaedic Surgeons",",The hardest part of my job was getting through the day to day hacking of my computer.  Getting my daily responsibilities completed was extremely difficult to the hacking of my computer.","Harvard Pilgrim Health Care",",Administrative Assistant",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"American Academy of Orthopaedic Surgeons",",My co-workers appeared to be friendly however; they were back stabbers.  ","Harvard Pilgrim Health Care",",DataStage Developer",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"American Academy of Orthopaedic Surgeons",",The academy lacks diversity and upper management is very rude.","Harvard Pilgrim Health Care",",MANAGER OF NETWORK SERVICES",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"American Academy of Orthopaedic Surgeons",",There are some really great people that work for AAOS. But, if you're young, don't expect to move up. There's no where to go. It's safe and comfortable...","Harvard Pilgrim Health Care",",Senior Member Service Representative",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"American Academy of Orthopaedic Surgeons",",I enjoyed the position, many details to keep track of and lot's of travel required.","Harvard Pilgrim Health Care",",Sr Business Analyst, Financial Planning & Analysis",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"GrubHub",",GrubHub is a fun friendly work environment. Always something to do for the employees. As I know it's a fairly new company it could have it's Ups and Downs.","Lam Research",",Receptionist","Shell","good pay","Vencore",",typical office personality conflicts"
NA,NA,NA,NA,NA,NA,NA,NA,"Logic20/20","Logic is very strategic about building the practice with candidates that are bright and fit the culture of the company.  ","Harvard Pilgrim Health Care",",Associate Customer Service Specialist",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Logic20/20",",With few exceptions, great management who really care and try to do the right thing.","Harvard Pilgrim Health Care",",High Dollar, outpatient, Member submission,",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Logic20/20",",This is the place for people who want to work hard and also spend time getting to know their co-workers.","Harvard Pilgrim Health Care",",RN",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"Logic20/20",",Strong leadership, great company culture, great growth opportunities.","Intel",",Project Manager/ Supply chain development lead","American Electric Power (AEP)",",Very safety conscience","OUTFRONT media",",Management and 1 hour drive."
NA,NA,NA,NA,NA,NA,NA,NA,"American Electric Power (AEP)","A great safety culture, caring management.  Opportunities for advancement.   Tulsa office has cafeteria and gym.   Computer and people skills are both valued.","Harvard Pilgrim Health Care",",Nurse case manager",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"American Electric Power (AEP)",",Good company to work for. Worked on river boat. Stayed gone 21 days and then home 21 days. Compensation was decent. Insurance and benefits were good as well. Retirement and 401k","Harvard Pilgrim Health Care",",Senior Business Systems Analyst",NA,NA,NA,NA
