,Source,gMag,gSent,gentity1,gentity1salience,gentity1type,gentity2,gentity2salience,gentity2type,gentity3,gentity3salience,gentity3type,gentity4,gentity4salience,gentity4type,gentity5,gentity5salience,gentity5type,gtopic1,gtopic2,gtopic3,gtopic4,gtopic5,id,lenArticle,lenGoogleAPIentities,lenGoogleAPItokens,lenTextRazorAPIcoarseTopics,lenTextrazorAPIentailments,lenTextrazorAPIentities,lenTextrazorAPIproperties,lenTextrazorAPIrelations,lenTextrazorAPIsentences,lenTextrazorAPItopics,tentity1,tentity1salience,tentity1type,tentity2,tentity2salience,tentity2type,tentity3,tentity3salience,tentity3type,tentity4,tentity4salience,tentity4type,tentity5,tentity5salience,tentity5type
662,cnnbasic,0.6,0.6,Trump,0.37986723,OTHER,Conway: Media,0.3338673,OTHER,terrorStories,0.14452145,OTHER,terror,0.105834454,OTHER,Conway: Media,0.03590956,OTHER,Trump family,Donald Trump,American families of German ancestry,American political people,American families of Scottish ancestry,420029123,109,226,218,107,18287,1680,69,8110,8110,7692,,,,,,,,,,,,,,,
663,foxbasic,4.4,-0.2,Steve Bannon,0.3661881,PERSON,Trump,0.20191078,PERSON,Reince Priebus,0.05084464,PERSON,White House,0.030056633,PERSON,chairman,0.023139818,PERSON,Joint Chiefs of Staff,Donald Trump,United States National Security Council,Stephen Bannon,Government,426229798,2692,4334,5384,658,883262,55393,6275,162526,162526,32146,Tim Kaine,0.5802,Agent,John McCain,0.5546,Agent,Reince Priebus,0.5464,Agent,Joint Chiefs of Staff,0.5233,Agent,Goldman Sachs,0.4925,Agent
664,reutersbasic,5.6,-0.3,Donald Trump,0.5450144,PERSON,Wisconsin.Trump,0.08455305,PERSON,Reince Priebus,0.083396114,PERSON,Republican National Committee,0.03130865,PERSON,women,0.013022789,PERSON,Donald Trump,Republican Party (United States),American political people,Politics,Politics of the United States,445942818,5268,7226,10536,661,2289537,89440,9111,332009,332009,28671,"Donald Trump presidential campaign, 2016",1.0,,Reince Priebus,0.9467,Agent,Ted Cruz,0.8722,Agent,Donald Trump,0.8608,Agent,John Kasich,0.8489,Agent
665,cnnbasic,12.5,-0.1,No one,0.5317913,PERSON,Donald Trump,0.062129613,PERSON,Guadalupe Garcia de Rayos,0.04541776,PERSON,United States,0.023183532,PERSON,executive order,0.02143624,PERSON,Donald Trump,Illegal immigration to the United States,Illegal immigration,Deportation,Immigration,449919793,5901,7089,11802,658,2213576,84939,9692,359092,359092,29583,Deferred Action for Childhood Arrivals,0.7062,,Illegal immigration,0.6684,,Donald Trump,0.6511,Agent,U.S. Immigration and Customs Enforcement,0.5415,Agent,Felony,0.5302,
666,cnnbasic,10.1,0.0,NATO,0.55591404,ORGANIZATION,Theresa May,0.072883956,ORGANIZATION,Trump,0.062163025,ORGANIZATION,U.K.,0.04298206,ORGANIZATION,United States,0.02915734,ORGANIZATION,NATO,Russia,United States,United Kingdom,International relations,45209479,3188,5028,6376,659,909255,79221,6041,189471,189471,37312,NATO,0.8521,Agent,Russia,0.62,Place,Ukraine,0.6121,Place,Estonia,0.5502,Place,United States,0.5494,Place
667,cnnbasic,0.6,-0.6,racistPresident Donald Trump Franken,0.5621478,PERSON,Calling Warren 'Pocahontas,0.27747503,PERSON,Calling Warren 'Pocahontas,0.16037722,PERSON,,,PERSON,,,PERSON,Trump family,Donald Trump,American political people,United States presidential candidates,American families of Scottish ancestry,469742895,115,158,230,107,5316,2273,143,7492,7492,7639,,,,,,,,,,,,,,,
668,cnnbasic,2.7,0.0,Donald Trump,0.09224357,PERSON,US,0.08321068,PERSON,Afghanistan,0.072552636,PERSON,Iraq,0.06943511,PERSON,men,0.06405363,PERSON,Donald Trump,Afghanistan,Iraq,United States,Qatar,471196332,3812,6583,7624,653,1393224,94448,8182,223411,223411,48418,Qatar,0.7538,Place,NATO,0.6703,Agent,George W. Bush,0.6598,Agent,Iraq,0.561,Place,Yemen,0.5503,Place
669,foxbasic,4.6,0.0,Revolutionary Guard,0.23693635,ORGANIZATION,Iran,0.10437834,ORGANIZATION,White House,0.06797385,ORGANIZATION,Iraq,0.05174508,ORGANIZATION,American,0.039610382,ORGANIZATION,Army of the Guardians of the Islamic Revolution,Diplomacy,International relations,Politics of the Middle East,Politics,477923840,2775,3957,5550,660,1084045,61421,4857,168861,168861,45156,Army of the Guardians of the Islamic Revolution,1.0,Agent,Quds Force,1.0,Agent,Ali Khamenei,0.8102,Agent,Iranian Revolution,0.725,Event,Muslim Brotherhood,0.6686,Agent
670,cnnbasic,8.5,0.0,France,0.22633165,LOCATION,Donald Trump,0.09840586,LOCATION,European,0.068819776,LOCATION,many,0.029163202,LOCATION,politicians,0.028298117,LOCATION,France,Immigration,Opposition to immigration,Donald Trump,Europe,483010164,6212,10096,12424,652,2144349,107523,13177,376835,376835,39725,Brexit,0.7918,,Marine Le Pen,0.7784,Agent,France,0.6615,Place,United Kingdom,0.6015,Place,Immigration,0.5898,
671,cnnbasic,12.1,-0.5,August Flentje,0.17108072,PERSON,Donald Trump,0.072038114,PERSON,judges,0.050567504,PERSON,court,0.04911969,PERSON,power,0.04353802,PERSON,Donald Trump,President of the United States,Lawyer,Judge,United States,500028043,6634,8944,13268,652,2700948,113280,12711,404167,404167,35528,Lawyer,0.7235,,Rudy Giuliani,0.7102,Agent,Donald Trump,0.7101,Agent,Injunction,0.6174,,Judge,0.5505,
672,cnnbasic,4.6,0.1,music,0.13424721,WORK_OF_ART,Iraq,0.057261348,WORK_OF_ART,Iran,0.057261348,WORK_OF_ART,Libya,0.057261348,WORK_OF_ART,Somalia,0.057261348,WORK_OF_ART,Politics,Politics of Syria,Politics of the Middle East,Syria,Conflicts,521564160,1005,2095,2010,644,314882,16987,2188,59024,59024,34615,Syria,0.3937,Place,Iraq,0.306,Place,Yemen,0.259,Place,Iran,0.2586,Place,Libya,0.1773,Place
673,cnnbasic,0.9,-0.4,Federica Mogherini,0.5167421,PERSON,administration officials,0.079007536,PERSON,Iran,0.070088625,PERSON,implementation,0.063137814,PERSON,France,0.045417596,PERSON,Joint Comprehensive Plan of Action,International relations,National security,Global politics,Diplomacy,542466464,1164,1757,2328,659,509499,30627,2096,78550,78550,30062,Mike Pence,0.541,Agent,Federica Mogherini,0.5244,Agent,President of the United States,0.4092,Agent,Donald Trump,0.3752,Agent,Vice President of the United States,0.2609,
674,cnnbasic,0.7,-0.7,Franken,0.2132994,PERSON,jab,0.18677293,PERSON,Trump,0.18345903,PERSON,Pocahontas,0.14556621,PERSON,Check Franken,0.09329751,PERSON,Donald Trump,Trump family,American families of German ancestry,American families of Scottish ancestry,American political people,551810177,99,328,198,3,12602,1698,286,6659,6659,4891,,,,,,,,,,,,,,,
675,cnnbasic,0.4,0.4,James Clapper,0.52166826,PERSON,banPresident Trump,0.21569932,PERSON,Trump,0.17385778,PERSON,travel ban,0.05700305,PERSON,travel ban,0.031771574,PERSON,Trump family,Donald Trump,Political positions of American politicians,American families of German ancestry,American families of Scottish ancestry,565376332,117,221,234,3,12852,1411,398,7102,7102,2857,,,,,,,,,,,,,,,
676,cnnbasic,6.0,0.0,Donald Trump,0.16125557,PERSON,Grant Gosselin,0.041354023,PERSON,Students,0.03946328,PERSON,Wheaton,0.038872965,PERSON,Subra Suresh,0.03534904,PERSON,United States,Donald Trump,Wheaton College (Illinois),Massachusetts,International student,565493057,3803,7076,7606,654,1136955,78929,9731,229215,229215,34468,Columbia University,0.5917,Agent,Donald Trump,0.5912,Agent,Barack Obama,0.5682,Agent,United States,0.5354,Place,Massachusetts Institute of Technology,0.4985,Agent
677,cnnbasic,4.0,-0.2,Donald Trump,0.13099608,PERSON,9th Circuit Court of Appeals,0.09484462,PERSON,government,0.046726465,PERSON,restraining order,0.044482414,PERSON,judges,0.034215868,PERSON,Lawsuit,United States Court of Appeals for the Ninth Circuit,Injunction,Supreme Court of the United States,Lawyer,571652644,2989,4337,5978,659,1125248,56688,8039,174589,174589,28815,Lawsuit,0.7867,,Injunction,0.7748,,United States district court,0.5752,,United States Court of Appeals for the Ninth Circuit,0.5662,,Judge,0.5382,
678,reutersbasic,3.7,0.0,Fahimeh Kashkooli,0.47118482,PERSON,daughter,0.07131545,PERSON,airport,0.068606436,PERSON,United States,0.05759803,PERSON,travel restrictions,0.03490002,PERSON,United States,Airport,Government,Travel visa,Law,574142322,3224,4027,6448,648,1056590,52938,6750,200319,200319,33204,United States courts of appeals,0.3865,,United States,0.3368,Place,Iran,0.2908,Place,John F. Kennedy International Airport,0.2891,Place,Congenital disorder,0.2391,Disease
679,cnnbasic,13.4,0.0,Trump,0.5216385,PERSON,Japanese,0.1673902,PERSON,United States,0.060171094,PERSON,Shinzo Abe,0.056521393,PERSON,China,0.010902179,PERSON,Donald Trump,United States,Trans-Pacific Partnership,Japan,Currency intervention,581365005,5123,6453,10246,659,2086086,146334,11197,338580,338580,28018,Shinzō Abe,0.9145,Agent,Trans-Pacific Partnership,0.8319,,Tarō Asō,0.6714,Agent,Japanese yen,0.6588,Currency,United States,0.5822,Place
680,reutersbasic,6.7,-0.1,Donald Trump,0.1685529,PERSON,Super Bowl,0.14332782,PERSON,America,0.09571442,PERSON,brands,0.05445514,PERSON,viewers,0.027664509,PERSON,Advertising,Super Bowl,Donald Trump,Super Bowl commercials,Budweiser,58477712,2872,5043,5744,663,762192,63681,7473,152124,152124,31554,Budweiser,0.506,Food,Anheuser-Busch,0.4585,Agent,Donald Trump,0.4241,Agent,Super Bowl,0.423,Event,Super Bowl XLVIII,0.4006,
681,cnnbasic,0.2,0.2,Trump,0.49088198,PERSON,airline,0.2855204,PERSON,execsVideos,0.1271009,PERSON,airline execs,0.09649673,PERSON,,,PERSON,Trump family,Donald Trump,Political positions of American politicians,American families of German ancestry,American families of Scottish ancestry,595806361,84,185,168,3,25569,1503,3,4804,4804,2856,,,,,,,,,,,,,,,
682,cnnbasic,10.5,-0.2,Republican Party,0.40854415,PERSON,Affordable Care Act,0.33067885,PERSON,Donald Trump,0.05399935,PERSON,Jim Jordan,0.016975874,PERSON,Mark Meadows,0.01059647,PERSON,Patient Protection and Affordable Care Act,Republican Party (United States),Donald Trump,Politics of the United States,Politics,610658028,5419,6073,10838,651,2195947,64084,10721,333169,333169,30082,Patient Protection and Affordable Care Act,0.9856,,Paul Ryan,0.8397,Agent,Republican Party (United States),0.7193,Agent,Barack Obama,0.706,Agent,Donald Trump,0.7005,Agent
683,foxbasic,1.6,-0.8,Michael Flynn,0.56215644,PERSON,administration,0.10416556,PERSON,sanctions,0.051411048,PERSON,official,0.04729579,PERSON,United States.,0.0236813,PERSON,International relations,Government,Politics,National security,Foreign policy,616781080,853,1244,1706,657,317311,13790,939,46273,46273,31548,Russia,0.141,Place,,,,,,,,,,,,
684,cnnbasic,0.4,0.4,Pence,0.42633843,PERSON,defender,0.30900407,PERSON,defender,0.11284826,PERSON,TrumpPresident Donald Trump Pence,0.093997106,PERSON,Trump,0.05781214,PERSON,Trump family,Donald Trump,American politicians,United States presidential campaigns,American families of German ancestry,624482209,99,282,198,219,2012,2615,334,4150,4150,15186,,,,,,,,,,,,,,,
685,cnnbasic,6.9,-0.4,Hagadera,0.13100469,LOCATION,government,0.10080613,LOCATION,Somalia,0.07882352,LOCATION,Kenyan,0.056362912,LOCATION,John Mativo,0.033254243,LOCATION,Dadaab,Somalia,Refugee,Kenya,Politics,624983297,4626,7508,9252,652,1360442,85769,11157,270164,270164,41945,Dadaab,0.9038,Place,Al-Shabaab (militant group),0.8962,,Hassan Sheikh Mohamud,0.8126,Agent,Somalia,0.6776,Place,Refugee,0.6041,EthnicGroup
686,cnnbasic,5.1,-0.2,leader,0.14411867,PERSON,Kjell Magne Bondevik,0.13405347,PERSON,CNN,0.047704484,PERSON,Iranian,0.047386263,PERSON,president,0.04733689,PERSON,International relations,Politics,Government,Law,Iran,632538026,2623,3778,5246,659,1005806,41828,5427,152925,152925,32594,Iran,0.4066,Place,Immigration,0.395,,Norway,0.3752,Place,CNN,0.3645,Agent,Mexico,0.3096,Place
687,cnnbasic,8.2,-0.3,Conway,0.37575457,LOCATION,Donald Trump,0.21995954,LOCATION,interview,0.07741659,LOCATION,news,0.036509454,LOCATION,Kellyanne Conway,0.024729768,LOCATION,Donald Trump,CNN,President of the United States,Politics,Hillary Clinton,639524243,4966,6459,9932,655,2027756,66863,9237,321722,321722,32022,Donald Trump,0.7423,Agent,Hillary Clinton,0.7285,Agent,CNN,0.6433,Agent,Iraq War,0.5694,Event,The New York Times,0.5667,Work
688,foxbasic,5.0,-0.5,John McCain,0.33575317,PERSON,troops,0.11375895,PERSON,service,0.0903653,PERSON,American,0.07945081,PERSON,soldiers,0.07616931,PERSON,John McCain,Politics,International security,Conflicts,National security,6421436,1997,2696,3994,662,897501,28736,2366,140715,140715,39891,Al-Qaeda,0.2938,,Ted Kennedy,0.2745,Agent,Yemen,0.2453,Place,Bell Boeing V-22 Osprey,0.2326,Product,,,
689,cnnbasic,12.8,0.0,United States,0.21676193,LOCATION,Donald Trump,0.14935814,LOCATION,tech companies,0.11983709,LOCATION,Amazon,0.04575011,LOCATION,Ninth Circuit Court of Appeals,0.029915532,LOCATION,Donald Trump,Motion in United States law,United States,Immigration,Lawsuit,647754336,3574,6499,7148,659,1212868,79479,7781,217268,217268,35853,Donald Trump,0.5066,Agent,Peter Thiel,0.5058,Agent,Facebook,0.4995,Work,Supreme Court of the United States,0.4936,Place,United States,0.4846,Place
690,cnnbasic,36.1,0.1,Donald Trump,0.6384574,PERSON,Beattyville,0.07012445,PERSON,Barbara Puckett,0.042976618,PERSON,Kentucky,0.012393352,PERSON,Amber Hayes,0.010421093,PERSON,Donald Trump,Kentucky,"Beattyville, Kentucky",United States,Barack Obama,679996564,8759,11614,17518,654,3319619,134634,17398,590062,590062,34413,Hillary Clinton,0.6375,Agent,Donald Trump,0.6143,Agent,Jimmy Carter,0.6073,Agent,Poverty,0.5929,,Barack Obama,0.5736,Agent
691,cnnbasic,1.9,0.0,Benjamin Netanyahu.,0.34733757,PERSON,Donald Trump,0.18765178,PERSON,White House,0.10777592,PERSON,State Department,0.03770014,PERSON,administration,0.024725433,PERSON,Benjamin Netanyahu,Donald Trump,"Amona, Mateh Binyamin",Israel,Politics of Israel,694101755,3064,4121,6128,660,1091600,63570,6384,185742,185742,33068,Benjamin Netanyahu,0.8012,Agent,Israeli settlement,0.7177,,Barack Obama,0.5378,Agent,Donald Trump,0.4983,Agent,Israel,0.4769,Place
692,reutersbasic,4.6,-0.1,Trump,0.24427098,PERSON,United States,0.20807324,PERSON,brief,0.02881475,PERSON,companies,0.02304541,PERSON,executive order,0.016323704,PERSON,United States,Donald Trump,Immigration,Lawyer,Uber (company),696772225,4459,7270,8918,658,1909946,90116,8405,262676,262676,36354,Donald Trump,0.6333,Agent,Apple Inc.,0.5972,Agent,Supreme Court of the United States,0.5906,Place,United States,0.5797,Place,Lawsuit,0.5457,
693,foxbasic,15.2,0.2,New England Patriots,0.16154273,LOCATION,Tom Brady,0.08258711,LOCATION,Martellus Bennett,0.05486396,LOCATION,SUPER BOWL,0.051359136,LOCATION,Robert Kraft,0.044790957,LOCATION,New England Patriots,Super Bowl,Atlanta Falcons,San Diego Chargers,National Football League seasons,705874921,5696,9472,11392,665,1588909,110282,12372,369501,369501,22495,San Diego Chargers,0.9403,Agent,Tom Brady,0.9101,Agent,The Greatest Show on Turf,0.8261,Agent,Atlanta Falcons,0.8251,Agent,LaDainian Tomlinson,0.8079,Agent
694,cnnbasic,11.5,-0.3,United States,0.133611,LOCATION,people,0.07900644,LOCATION,Immigration and Customs Enforcement,0.07440338,LOCATION,John Kelly,0.06427999,LOCATION,Mexican,0.035928883,LOCATION,Illegal immigration to the United States,Illegal immigration,Immigration,Crime,Politics,709362669,6557,9137,13114,658,2449625,119928,12325,388690,388690,34302,Mexico–United States border,0.9346,,Illegal immigration,0.8121,,U.S. Immigration and Customs Enforcement,0.7545,Agent,Donald Trump,0.6072,Agent,Crime,0.6037,
695,reutersbasic,3.7,0.0,Patrick Harker,0.5505571,PERSON,policy,0.03310966,PERSON,Fed,0.032117862,PERSON,growth,0.030837264,PERSON,interest rates,0.021972574,PERSON,Federal Reserve System,Financial crisis of 2007–2008,Donald Trump,Wall Street,Economic growth,714082487,2488,3138,4976,657,1332302,31825,4802,162470,162470,28489,Inflation,0.8742,,Financial crisis of 2007–2008,0.8648,,Tax,0.7267,,Economic growth,0.6977,,Gross domestic product,0.5144,
696,reutersbasic,4.9,-0.2,mother,0.15201053,PERSON,Guadalupe Garcia de Rayos,0.14493193,PERSON,attorney,0.10457618,PERSON,United States.,0.08185531,PERSON,Donald Trump,0.06292767,PERSON,Illegal immigration to the United States,Arrest,Law enforcement,Politics,Criminal justice,727936524,2466,3497,4932,661,718137,51196,3309,146330,146330,28616,U.S. Immigration and Customs Enforcement,0.5275,Agent,Arizona,0.4083,Place,Donald Trump,0.4031,Agent,Identity theft,0.3955,,Felony,0.3847,
697,cnnbasic,9.6,-0.2,Vladimir Putin,0.41001627,PERSON,Vladimir Kara-Murza,0.3107646,PERSON,wife,0.06699559,PERSON,Russian,0.02434297,PERSON,Evgenia,0.018927403,PERSON,Vladimir Vladimirovich Kara-Murza,Vladimir Putin,Russia,Politics,Government,731088192,4291,5609,8582,650,1275031,81341,9509,260968,260968,35723,Boris Nemtsov,0.8144,Agent,Vladimir Putin,0.5939,Agent,John McCain,0.5333,Agent,Donald Trump,0.5167,Agent,Bill O'Reilly (political commentator),0.5129,Agent
698,cnnbasic,18.3,0.0,Ivanka Trump,0.608848,PERSON,daughter,0.08402912,PERSON,Nordstroms,0.04850874,PERSON,president,0.03259588,PERSON,company,0.01708071,PERSON,Donald Trump,Twitter,Ivanka Trump,Nordstrom,Ethics,751730743,5025,6656,10050,658,1675630,76749,8600,304511,304511,35634,Twitter,0.7726,Work,Barack Obama,0.4967,Agent,United States,0.3861,Place,,,,,,
699,cnnbasic,5.4,0.0,Donald Trump,0.24991786,PERSON,North Korean,0.22139773,PERSON,Shinzo Abe,0.06938334,PERSON,missile,0.05452944,PERSON,missile test,0.041572187,PERSON,North Korea,South Korea,Missile,Intercontinental ballistic missile,Ballistic missile,769593545,4440,6545,8880,658,1748334,127406,11356,268887,268887,33194,Shinzō Abe,0.7605,Agent,Intercontinental ballistic missile,0.7119,,North Korea,0.7097,Place,Pyongyang,0.5955,Place,South Korea,0.5684,Place
700,reutersbasic,5.2,0.0,United States,0.19653778,LOCATION,Iranian,0.102834,LOCATION,sanctions,0.035836313,LOCATION,crude supplies,0.035836313,LOCATION,Oil prices,0.035836313,LOCATION,World oil market chronology from 2003,Petroleum,OPEC,Petroleum industry,Natural gas,772269426,2600,4151,5200,665,758138,60003,6035,157746,157746,31023,OPEC,1.0,Agent,Sanctions against Iran,0.8662,,Petroleum,0.8245,,Brent Crude,0.7735,,West Texas Intermediate,0.7266,
701,cnnbasic,4.6,0.0,Qassim al-Rimi,0.17168505,PERSON,al Qaeda in the Arabian Peninsula,0.15378486,PERSON,John Thomas,0.069251984,PERSON,US,0.056424316,PERSON,intelligence,0.04883616,PERSON,Al-Qaeda in the Arabian Peninsula,Al-Qaeda,Conflicts,Military,International security,779875961,3423,4381,6846,660,1279778,58114,6819,205368,205368,47653,Al-Qaeda in the Arabian Peninsula,0.9533,,Anwar al-Awlaki,0.8014,Agent,Al-Qaeda,0.7192,,Unmanned combat aerial vehicle,0.5243,,United States Navy SEALs,0.5237,Agent
702,foxbasic,1.0,-0.1,Jason Chaffetz,0.2543763,PERSON,Donald Trump,0.23072535,PERSON,tax returns,0.053757325,PERSON,constituents,0.0461149,PERSON,town hall,0.035167098,PERSON,Donald Trump,Jason Chaffetz,Politics of the United States,Politics,United States,782966762,2924,4453,5848,652,959059,49862,4817,176980,176980,27289,Jason Chaffetz,0.7878,Agent,Utah,0.5542,Place,Republican Party (United States),0.5312,Agent,Barack Obama,0.5311,Agent,Donald Trump,0.4948,Agent
703,cnnbasic,4.0,-0.3,Bill Maher,0.23097013,PERSON,Trump,0.16955869,PERSON,man,0.16169572,PERSON,Van Jones,0.09163583,PERSON,The Messy Truth,0.06639926,PERSON,Television series,Entertainment,Television programs,Bill Maher,Television,786814219,1598,1815,3196,653,603048,13631,1818,117401,117401,24983,,,,,,,,,,,,,,,
704,cnnbasic,5.0,-0.1,al Qaeda in the Arabian Peninsula,0.26401484,ORGANIZATION,US,0.12354017,ORGANIZATION,Qassim al-Rimi,0.06470809,ORGANIZATION,intelligence,0.04423517,ORGANIZATION,Donald Trump,0.03391235,ORGANIZATION,Al-Qaeda in the Arabian Peninsula,Al-Qaeda,Politics,Military science,Human rights abuses,794131889,2958,4013,5916,661,1141152,49833,6516,177435,177435,46360,Al-Qaeda in the Arabian Peninsula,1.0,,Anwar al-Awlaki,0.7466,Agent,Al-Qaeda,0.7216,,United States Navy SEALs,0.54,Agent,Unmanned combat aerial vehicle,0.5075,
705,cnnbasic,0.2,-0.2,Trump,0.22741076,PERSON,Conway,0.18873806,PERSON,claims,0.18341617,PERSON,media,0.12675244,PERSON,claims,0.081775874,PERSON,Donald Trump,Trump family,American families of German ancestry,American families of Scottish ancestry,Families from New York,795844681,158,285,316,437,72092,1102,443,9293,9293,15409,,,,,,,,,,,,,,,
706,reutersbasic,3.3,-0.2,Donald Trump,0.19023071,PERSON,district,0.1651996,PERSON,wall,0.09645336,PERSON,Will Hurd,0.07316065,PERSON,report,0.057295375,PERSON,Donald Trump,Republican Party (United States),United States Department of Homeland Security,United States Senate,Democratic Party (United States),797790949,2899,5232,5798,651,945316,63208,6668,166098,166098,33683,Mexico–United States border,0.7497,,United States Department of Homeland Security,0.6202,Agent,Elizabeth Warren,0.5897,Agent,Paul Ryan,0.5861,Agent,Mitch McConnell,0.5838,Agent
707,cnnbasic,13.0,0.0,Trump,0.6072475,PERSON,Japanese,0.21598502,PERSON,Shinzo Abe,0.042665403,PERSON,United States,0.016326103,PERSON,China,0.0066359146,PERSON,Donald Trump,Japan,United States,Shinzō Abe,Government,803519132,4951,6904,9902,655,1773810,136267,8758,308946,308946,33759,Shinzō Abe,0.8404,Agent,Trans-Pacific Partnership,0.7193,,World War II,0.5896,Event,Barack Obama,0.5887,Agent,Atomic bombings of Hiroshima and Nagasaki,0.5775,Event
708,cnnbasic,0.5,0.5,Donald Trump,0.33560336,PERSON,Will Hurd,0.2897047,PERSON,banVideos,0.28373367,PERSON,travel ban,0.05913274,PERSON,Erin Burnett Outfront Will Hurd,0.03182553,PERSON,Donald Trump,Trump family,American families of German ancestry,American families of Scottish ancestry,Families from New York,808879001,110,235,220,3,2688,3060,519,5332,5332,20783,,,,,,,,,,,,,,,
709,cnnbasic,0.2,-0.2,Melissa McCarthy,0.62564427,PERSON,Trump,0.12619455,PERSON,Sean Spicer,0.08751691,PERSON,impression,0.0852736,PERSON,SNL,0.07537067,PERSON,Saturday Night Live,American sketch comedy television shows,Television sketch shows,Saturday Night Live seasons,American variety television series,809758474,114,340,228,3,3955,1850,343,6582,6582,6959,,,,,,,,,,,,,,,
710,reutersbasic,2.3,-0.3,dollar,0.30272442,OTHER,uncertainty,0.057032146,OTHER,greenback,0.033759434,OTHER,elections,0.03211343,OTHER,euro,0.03001334,OTHER,Euro,Economy,Finance,World economy,Money,811226851,2523,3966,5046,658,696662,46887,6725,150005,150005,26437,Euro,0.5802,Currency,Eurozone,0.38,,Foreign-exchange reserves,0.3624,,Netherlands,0.3284,Place,Greece,0.3169,Place
711,cnnbasic,2.8,-0.2,Donald Trump,0.18671432,PERSON,John Bercow,0.1575693,PERSON,House of Commons,0.056644045,PERSON,address,0.055160813,PERSON,Speaker,0.043657314,PERSON,Palace of Westminster,Parliament of the United Kingdom,House of Commons of the United Kingdom,Speaker of the House of Commons (United Kingdom),Donald Trump,813135688,3130,4569,6260,657,1053263,64199,6095,194334,194334,29482,Parliament of the United Kingdom,0.8266,Agent,Theresa May,0.7837,Agent,Palace of Westminster,0.7385,Place,John Bercow,0.719,Agent,Donald Trump,0.6096,Agent
712,foxbasic,12.6,0.0,Tom Brady,0.24263024,PERSON,Many,0.13160796,PERSON,The Super Bowl,0.12843738,PERSON,Donald Trump,0.071266815,PERSON,celebration,0.046700403,PERSON,Donald Trump,Tom Brady,Super Bowl,American football,National Football League,814806562,5769,7032,11538,647,2312302,51922,12262,393887,393887,17588,San Francisco 49ers,0.5506,Agent,Colin Kaepernick,0.5318,Agent,Donald Trump,0.4912,Agent,Tom Brady,0.4804,Agent,New England Patriots,0.4327,Agent
713,foxbasic,4.3,-0.1,Donald Trump,0.17760386,PERSON,employees,0.06499018,PERSON,Jim Lewis,0.056231707,PERSON,employees,0.050165333,PERSON,executive order,0.04824382,PERSON,Twitter,Donald Trump,President of the United States,Government,Politics,831805122,3928,5878,7856,659,1824388,62054,6822,251632,251632,45268,Twitter,0.9093,Work,Facebook,0.7231,Work,United States Environmental Protection Agency,0.6699,Agent,Computer security,0.6461,,Donald Trump,0.6349,Agent
714,cnnbasic,0.4,0.4,Donald Trump,0.6965175,PERSON,Tapper,0.07491591,PERSON,tweets,0.072766475,PERSON,window,0.05001558,PERSON,soulPresident,0.032421917,PERSON,Trump family,Donald Trump,American families of German ancestry,American families of Scottish ancestry,Families from New York,876312065,113,299,226,3,1955,1697,230,6467,6467,13319,,,,,,,,,,,,,,,
715,cnnbasic,14.2,-0.4,Funding,0.38254088,OTHER,government,0.06514725,OTHER,Attorney General,0.03471733,OTHER,responders,0.031987503,OTHER,New York,0.02524326,OTHER,Consumer Financial Protection Bureau,Lawsuit,September 11 attacks,Loan,Dodd–Frank Wall Street Reform and Consumer Protection Act,880525349,4424,5834,8848,658,2050707,62563,6625,253257,253257,31844,Dodd–Frank Wall Street Reform and Consumer Protection Act,0.7717,,September 11 attacks,0.6119,,Consumer Financial Protection Bureau,0.5512,Agent,Lawsuit,0.5377,,Class action,0.5358,
716,reutersbasic,2.7,-0.1,Donald Trump,0.47813383,PERSON,Reince Priebus,0.0455241,PERSON,step,0.038843572,PERSON,executive order,0.025299879,PERSON,travel ban order,0.025299879,PERSON,United States Court of Appeals for the Ninth Circuit,Donald Trump,Supreme Court of the United States,Government,Law,889899362,3044,5109,6088,661,1225456,63650,6966,192150,192150,34728,Supreme Court of the United States,0.6939,Place,Donald Trump,0.5486,Agent,United States,0.4876,Place,United States Department of Homeland Security,0.473,Agent,En banc,0.4534,
717,cnnbasic,9.9,0.0,Donald Trump,0.22259173,PERSON,everything,0.057144944,PERSON,U.S.,0.05463969,PERSON,Wells Fargo,0.04150059,PERSON,risks,0.033249315,PERSON,Donald Trump,United States,Wall Street,Economy,Economics,902426138,3397,4212,6794,656,1375708,55754,6424,208944,208944,29935,Recession,1.0,,Macroeconomics,0.8883,,Inflation,0.8094,,Patient Protection and Affordable Care Act,0.8088,,Economics,0.7984,
718,cnnbasic,11.9,0.0,carriers,0.14141054,ORGANIZATION,United States,0.13239153,ORGANIZATION,Trump,0.12255994,ORGANIZATION,agreements,0.091146514,ORGANIZATION,Qatar Airways,0.048062623,ORGANIZATION,Airline,Emirates (airline),Qatar Airways,Donald Trump,Etihad Airways,910584503,4204,6684,8408,659,1443828,113122,7592,253860,253860,25242,Emirates (airline),0.7929,Agent,Ryanair,0.7921,Agent,Etihad Airways,0.7359,Agent,United Airlines,0.6765,Agent,Airline,0.6763,
